,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/AP/MIN/36384/2019,AP ANT MIN 05 2019 988,Chintalacheruvu Mosaic Chips Mine,SMT D SAOJINI DEVI,EC Granted - Processed offline,EC,
2,2,SIA/AP/MIN/216739/2021,AP  CTR MIN  6 2021 3277,D.Amaranadha Reddy - 2.992 (RM&BS),SRI D.AMARANADHAREDDY-2.992 HECTS,EC Granted,EC,
3,3,SIA/AP/MIN/179522/2020,AP MIN    KRI  09 2021 3976,M/S SRI PAVAN GRANITE METAL WORKS,SRI PAVAN GRANITE METAL WORKS,EC Granted,EC,
4,4,SIA/AP/MIN/129287/2019,AP WG MIN  12 2019 1531,KUMARADEVAM,"CHAIRMAN, DLSC DISTRICT COLLECTOR, WEST GODAVARI",EC Granted - Processed offline,EC,
5,5,SIA/AP/MIN/47813/2019,AP WG MIN  12 2019 1527,Khandavalli Sand Reach,"CHAIRMAN, DLSC DISTRICT COLLECTOR, WEST GODAVARI",EC Granted - Processed offline,EC,
6,6,SIA/AP/MIN/129283/2019,AP ANT MIN  12 2019 1493,M/s. Sandeep Minerals (P) Ltd.,M/S. SANDEEP MINERALS (P) LTD.,EC Granted - Processed offline,EC,
7,7,SIA/AP/MIN/131176/2019,AP SKLM MIN  12 2019 1521,M/s Star Granites Prop Sri Madina Gopala Krishna,STAR GRANITES PROP SRI.MADINA GOPALA KRISHNA,EC Granted - Processed offline,EC,
8,8,SIA/AP/MIN/127157/2019,AP SKLM MIN 11 2019 1445,Venkatapuram Sand Reach,MEMBER CONVENER DY. DIRECTOR OF MINES,EC Granted - Processed offline,EC,
9,9,SIA/AP/MIN/128218/2019,AP WG MIN  11 2019 1463,"Prakkilanka  4.75Ha. Sand Reach Proposed by M/s. Chairman, DLSC - Eluru",MS CHAIRMAN DLSC,EC Granted - Processed offline,EC,
10,10,SIA/AP/MIN/128300/2019,AP NLR MIN  11 2019 1484,M/s. Green Mining Company,M/S GREEN MINING COMPANY,EC Granted - Processed offline,EC,
1,11,SIA/AP/MIN/205950/2021,AP   NLR  MIN  3 2021 3047,"M/s SASHANK NAIDU MINING & CO (Mica, Quartz and Feldspar 3.193 Ha )",M/S SASHANK NAIDU MINING & CO,EC Granted,EC,
2,12,SIA/AP/IND3/247447/2021,AP IND SKLM12 2021 3795,Vivimed Labs limited,VIVIMED LABS LIMITED,EC Granted,EC,
3,13,SIA/AP/MIN/247449/2021,AP MIN EG 12 2021 3796,Velicheru/2021-23 Sand Reach Of M/s. Jaiprakash Power Ventures Limited,M/S. JAIPRAKASH POWER VENTURES LIMITED,EC Granted,EC,
4,14,SIA/AP/MIN/204146/2021,,Sri Durga Devi Stone Crusher,SRI DURGA DEVI STONE CRUSHERS,WithdrawEC,EC,
5,15,SIA/AP/MIN/206098/2021,AP   WG MIN   3 2021 3054,"Feldspar, Quartz and Mica Mine over an extent of 4.993 Ha.",M/S DIVYA SREE MINES AND MINERALS,EC Granted,EC,
6,16,SIA/AP/IND3/247812/2021,AP IND KRI  12 2021 3823,Proposed to establish Bulk Drugs & Drug Intermediates Manufacturing Unit by M/s. Varshichem,VARSHICHEM,EC Granted,EC,
7,17,SIA/AP/MIN/206396/2021,AP   CTR MIN   3 2021 3057,"M/s B S G Constructions, (Road Metal, Building Stone & Gravel Extent : 4.980 Hectares)",M/S B S G CONSTRUCTIONS,EC Granted,EC,
8,18,SIA/AP/MIN/240443/2021,AP ANT MIN 11 2021 3629,M/s. Jai Prakash Power Ventures Limited (Proposed Ordinary Sand Mine in Chennampalli Sand Reach of Penna River),JAI PRAKASH POWER VENTURES LIMITED,EC Granted,EC,
9,19,SIA/AP/MIN/255503/2022,AP MIN   PKM 02 2022 3944,M/s Sri Surya M.P.Macs.Ltd (3.879 Ha of Duvva Matti),SRI SURYA MULTIPURPOSE AIDEO COOPERATIVE SOCIETY LTD,EC Granted,EC,
10,20,SIA/AP/MIN/180026/2020,AP CTR  MIN 10 2020 2272,Sri C. Suresh,SRI C. SURESH,EC Granted,EC,
1,21,SIA/AP/MIN/33737/2019,AP EG MIN 03 2019 909,K.V.V.N.Bhyrava Krishna,SRI K.V.V.N.BHYRAVA KRISHNA,EC Granted - Processed offline,EC,
2,22,SIA/AP/MIN/33859/2019,AP SKM MIN 03 2019 874,"ASSISTANT DIRECTOR OF MINES AND GEOLOGY, SRIKAKULAM",ASSISTANT DIRECTOR OF MINES AND GEOLOGY SRIKAKULAM,EC Granted,EC,
3,23,SIA/AP/MIS/102769/2019,AP CTR CON 04 2019 990,"Proposed expansion of Residential Apartments at Temple Town, Sy. No 623/3C & 8A/1D, Chintalachenu Village, Renigunta Road, Tirupati, Chittoor District, Andhra Pradesh.",VASUNDHARA CONSTRUCTIONS PRIVATE LIMITED,EC Granted - Processed offline,EC,
4,24,SIA/AP/MIN/253994/2022,AP MIN    SKLM 02  2022 3972,Sri Veeramachaneni Sai Prasadh -colour granite @ 13063.6 m3/Year@,SRI VEERAMACHANENI SAI PRASADH,EC Granted,EC,
5,25,SIA/AP/MIN/254123/2022,AP MIN ANT 01 2022 3931,M/s. Shivanandhi Minerals,KURUBA PADMAVATHI,EC Granted,EC,
6,26,SIA/AP/MIN/220655/2021,AP  SKLM MIN    7 2021 3358,M/s Siddhan Enterprises,M/S SIDDHAN ENTERPRISES,EC Granted,EC,
7,27,SIA/AP/MIN/33181/2019,AP CTR MIN 03 2019 877,"4.000 Ha. of Colour Granite & Black Granite Quarry  (Sri V.Srinivasan, Sy No. 1/1  of Diguvapalli  Village, Chowdepalli   Mandal, Chittoor  District, Andhra Pradesh)",SRI V SRINIVASAN,EC Granted,EC,
8,28,SIA/AP/MIN/146560/2020,AP CTR MIN   03 2020 1751,M/s R.R.K Granites (Colour Granites),M/S R.R.K GRANITES -4.00 HECT,Delisted,EC,
9,29,SIA/AP/MIN/182248/2020,AP WG MIN 11 2020 2281,Nadipudi  1 Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,
10,30,SIA/AP/MIN/184155/2020,AP  GNT  MIN 11 2020 2417,Didugu-III Sand Reach -4.775Ha.,SAND REACHES,EC Granted - Processed offline,EC,
1,31,SIA/AP/IND2/32737/2017,AP KDP IND 09 2017 436,"Proposed augmentation in LPG Bulk Storage capacity at LPG Bottling Plant at Kadapa, Andhra Pradesh by M/s Indian Oil Corporation Ltd.","INDIAN OIL CORPORATION LIMITED, KADAPA",EC Granted - Processed offline,EC,
2,32,SIA/AP/MIN/32772/2019,AP PKM MIN 03 2019 856,"3.238 Ha. of Colour Granite Mine,  (Sri I. Chinna Elumalai, Sy No. 532/B (Part) of Konidena Village, Ballikuruva  Mandal, Prakasam District, Andhra Pradesh)",SRI IRUSAPPAN CHINNA ELUMALAI,EC Granted,EC,
3,33,SIA/AP/IND2/171029/2020,AP CTR IND11 2020 2288,Expansion of Active Pharma Ingredients (Bulk drug & Intermediates) manufacturing unit from 180.73 TPA to 2466.4 TPA in phased manner by M/s. Malladi Drugs and Pharmaceuticals Limited – Unit V,MALLADI DRUGS & PHARMACEUTICALS LTD. (UNIT 5),EC Granted - Processed offline,EC,
4,34,SIA/AP/MIN/171227/2020,AP ANT  MIN 09 2020 2103,Sri Kaipa Parthasarathi Reddy,SRI KAIPA PARTHASARATHI REDDY,Delisted,EC,
5,35,SIA/AP/MIN/239456/2021,AP ANT MIN 11 2021 3605,K. Srinivasa Rao,K. SRINIVASA  RAO,EC Granted,EC,
6,36,SIA/AP/MIN/239507/2021,AP KDP MIN 11 2021 3606,M/s. Prasanthi Granites,PRASANTHI GRANITES,EC Granted,EC,
7,37,SIA/AP/MIN/247662/2021,AP MIN EG  12 2021 3832,Vemagiri-Kadiyapulanka/2021-14 Sand Reach,JP POWER VENTURES LTD,EC Granted,EC,
8,38,SIA/AP/MIN/248202/2021,AP MIN KNL 12 2021 3840,Smt. G. Danamma,G.DANAMMA,EC Granted,EC,
9,39,SIA/AP/MIN/35547/2019,AP KDP MIN 04 2019 957,Sri. P. Sudhakar,SRI. P. SUDHAKAR,EC Granted - Processed offline,EC,
10,40,SIA/AP/MIN/36087/2019,AP SKM MIN 05 2019 972,P Ramana Murthy-Lessee,PATHIVADA RAMANA MURTHY LESSEE,EC Granted - Processed offline,EC,
1,41,SIA/AP/MIN/45871/2019,AP EG MIN 11 2019 1384,Gravel Quarry of  Sri G. Satyanarayana,SRI G. SATYANARAYANA,EC Granted - Processed offline,EC,
2,42,SIA/AP/MIN/128092/2019,AP WG MIN  11 2019 1461,Prakkilanka 1.82Ha. Sand Reach,MS CHAIRMAN DLSC,EC Granted - Processed offline,EC,
3,43,SIA/AP/MIN/39431/2019,,Mekalacheruvu White Quartz Mine,SRI P GURURAJ,WithdrawEC,EC,
4,44,SIA/AP/MIN/39760/2019,AP KNL MIN 07 2019 1185,Sri. L. Madhukar Reddy,SRI. L. MADHUKAR REDDY,EC Granted - Processed offline,EC,
5,45,SIA/AP/MIN/190538/2020,,Smt B.Venkayamma (Lime Sotne (Minor-5.06 Ac)),B.VENKAYAMMA,Delisted,EC,
6,46,SIA/AP/MIN/186480/2020,AP GNT  MIN  12  2020 2637,4.910 Ha. of Ambadipudi Sand Reach,GUNTUR SAND REACHES,EC Granted - Processed offline,EC,
7,47,SIA/AP/MIN/194263/2021,AP CTR MIN 1  2021 2794,Sri B. Praveen Kumar,SRI. B. PRAVEEN KUMAR.,EC Granted,EC,
8,48,SIA/AP/MIN/33638/2019,AP EG MIN 03 2019 904,Ordinary Sand Mine of  Kapileswarapuram,ASST DIRECTOR OF MINES AND GEOLOGY,EC Granted,EC,
9,49,SIA/AP/MIS/51073/2020,AP KDP IND 02 2020 1723,"Proposed Common Bio-medical Waste Treatment Facility at Mega Industrial Park, Phase- I, Kopparthy, YSR Kadapa District, Andhra Pradesh",RAYALASEEMA ENVIRON CARE,EC Granted,EC,
10,50,SIA/AP/MIN/201284/2021,AP CTR MIN 3 2021 2958,Smt. P. Chinthamani,SMT. P. CHINTHAMANI -  BLACK GRANITE QUARRY,EC Granted,EC,
1,51,SIA/AP/MIN/242103/2021,AP EG  MIN 11 2021 3687,GOPALAPURAM/2021-17 SAND REACH,JP POWER VENTURES LTD,EC Granted,EC,
2,52,SIA/AP/MIN/243617/2021,AP WG  MIN 12  2021 3749,Usulumarru Sand Reach,JP POWER VENTURES LTD W.G.DT,EC Granted,EC,
3,53,SIA/AP/MIN/36384/2019,AP ANT MIN 05 2019 988,Chintalacheruvu Mosaic Chips Mine,SMT D SAOJINI DEVI,EC Granted - Processed offline,EC,
4,54,SIA/AP/MIN/207736/2021,AP     KNL MIN    4 2021 3102,Sri J. Anjaneya,SRI J ANJANEYA,EC Granted,EC,
5,55,SIA/AP/MIN/186845/2020,AP CTR MIN  12  2020 2648,"M/s Sri Garuda Earth Movers ,Prop : N.Yoganandha reddy","GARUDA EARTH MOVERS ,PROP: N .YOGANANDHA REDDY",EC Granted - Processed offline,EC,
6,56,SIA/AP/MIN/186872/2020,AP WG MIN  12  2020 2649,"Sri Sai Sudheer Granite Metals, Prop: Smt D.Rajeswari",SRI SAI SUHEER GRANITE METALS,Rejection Letter Granted,EC,
7,57,SIA/AP/MIN/43566/2019,AP SKM MIN 09 2019 1288,M/s. V. B. R. Infrastructures,M/S. V. B. R. INFRASTRUCTURES,EC Granted - Processed offline,EC,
8,58,SIA/AP/MIS/119807/2019,AP EG CON 09 2019 1293,M/s. SRI LUXMI TULASI DEVLOPERS LLP,SRI LUXMI TULASI DEVELOPERS LLP,EC Granted - Processed offline,EC,
9,59,SIA/AP/MIN/161504/2020,,M/S Sri Siva Sai Mines & Minerals (Ext 1.121 Hectares),M/S SRI SIVA SAI MINES & MINERALS,Delisted,EC,
10,60,SIA/AP/MIN/202122/2021,AP CTR MIN 3 2021 2972,M/s. Sai Granites,M/S. SAI GRANITES - 3.97 HA,EC Granted,EC,
1,61,SIA/AP/MIN/222234/2021,,Sri B.Giribabu,SRI B.GIRIBABU,WithdrawEC,EC,
2,62,SIA/AP/MIN/41101/2019,AP ANT MIN 08 2019 1091,Proposed Ordinary Sand Mine in Ajjaiahdoddi Sand Reach,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
3,63,SIA/AP/MIN/41103/2019,AP ANT MIN 08 2019 1093,Proposed Ordinary Sand Mine in Kannepalli Sand Reach - I,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
4,64,SIA/AP/MIN/41353/2019,AP EG MIN 08 2019 1135,Jonnawada - 4 Sand reach,ASST DIRECTOR OF MINES AND GEOLOGY,EC Granted - Processed offline,EC,
5,65,SIA/AP/MIN/127433/2019,AP GNT MIN 11 2019 1454,Sri Pasam Venkateswara Reddy-0.405 Ha of Lime Stone Quarry,SRI PASAM VENKATESWARA REDDY,EC Granted - Processed offline,EC,
6,66,SIA/AP/MIN/41310/1900,AP CTR MIN 08 2019 1165,Sri K. Madhusudhan Reddy,SRI K. MADHUSUDHAN REDDY,Agenda Uploaded by SEAC,EC,
7,67,SIA/AP/MIN/43637/1900,AP NLR MIN 10 2019 1335,Smt. Pudiparthi Radhika,SMT. PUDIPARTHI RADHIKA,EC Granted - Processed offline,EC,
8,68,SIA/AP/MIN/43913/2019,AP ANT MIN 09 2019 1295,Sri. G. Satyanarayana Reddy,SRI G SATYANARAYANA REDDY,EC Granted - Processed offline,EC,
