,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/AP/MIN/33670/2019,AP EG MIN 03 2019 907,Ordinary Sand Reach of Pasuvullanka,ASST DIRECTOR OF MINES AND GEOLOGY,EC Granted - Processed offline,EC,, 
1,2,2,SIA/AP/IND2/64390/2020,AP IND NLR 07 2020 2033,"Proposed Captive Resin Plant with a Production Capacity of 62,287.5 TPA (188.75 TPD) for Manufacturing of High Pressure Laminates, Plain Particle Board, Pre-Laminated Boards and UV Coated Boards (Particle boards, MDF, HPL Sheets & Compact Boards) at Plot No. 19, 19 A & 19 A-1, Industrial Park, Naidupeta, APIIC, Menakuru Village, Naidupeta Mandal, SPSR Nellore District, Andhra Pradesh",GREENLAM SOUTH LIMITED,EC Granted,EC,, 
2,3,3,SIA/AP/MIN/217724/2021,AP  VZM MIN 7 2021 3296,M/s. Chiranjeevi Black Stone Crusher,M/S. CHIRANJEEVI BLACK STONE CRUSHER,EC Granted,EC,, 
3,4,4,SIA/AP/IND2/151499/2020,AP NLR IND   04 2020  1780,M/s. Venkata Narayana Active Ingredients Private Limited,VENKATA NARAYANA ACTIVE INGREDIENTS PVT LTD,EC Granted - Processed offline,EC,, 
4,5,5,SIA/AP/MIN/151565/2020,AP MIN EG 05 2020 1829,Vakalagaruvu Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,, 
5,6,6,SIA/AP/MIS/201089/2021,AP GNT MIN 3 2020 2587,M/s. Capital Business Park LLP,M/S. CAPITAL BUSINESS PARK LLP,EC Granted,EC,, 
6,7,7,SIA/AP/MIN/201123/2021,AP  KNL  MIN 3  2021 2955,Y.Mahadevappa,Y.MAHADEVAPPA,EC Granted,EC,, 
7,8,8,SIA/AP/MIN/250659/2022,AP  MIN CTR  01 2022 3880,"M/s. ARR & Co.,",A R R & CO,EC Granted,EC,, 
8,9,9,SIA/AP/MIN/249075/2021,AP MIN NLR 12 2021 3849,M/s Priyanka Minerals,M/S   PRIYANKA  MINERALS,EC Granted,EC,, 
9,10,10,SIA/AP/MIN/271686/2022,AP MIN ANT 05 2022 4259,M/s. Sri Sai Balaji Granites – Black Granite Quarry,SRI SAI BALAJI GRANITES,EC Granted,EC,, 
10,11,1,SIA/AP/MIN/261767/2022,AP MIN  KDP 03 2022 4056,C Seetharami Reddy Baryte Mine,SEETHARAMIREDDY CHILEKAMPALLI,EC Granted,EC,, 
11,12,2,SIA/AP/MIN/261779/2022,AP MIN  KNL 03 2022 4060,M/s. Diamond Nano Microns Private Limited  – 4.993 Ha,DIAMOND NANO MICRONS PRIVATE LIMITED,EC Granted,EC,, 
12,13,3,SIA/AP/MIN/186035/2020,AP KRI  MIN  12  2020 2606,ADMG-VIJAYAWADA (Peddapulipaka-3 sand reach),ADMG-VIJAYAWADA(PEDDAPULIPAKA SAND REACH),EC Granted - Processed offline,EC,, 
13,14,4,SIA/AP/MIN/186065/2020,AP GNTMIN  12  2020 2607,4.680 Ha. of Dharanikota - 7 Sand Reach,GUNTUR SAND REACHES,EC Granted - Processed offline,EC,, 
14,15,5,SIA/AP/MIN/186769/2020,AP KRI  MIN  12  2020 2640,Admg Vijayawada (Lankapalli -5 Sand reach),ADMG VIJAYAWADA 4.168,EC Granted - Processed offline,EC,, 
15,16,6,SIA/AP/MIN/43819/2019,AP VSP MIN 09 2019 1290,SRI S.PRAKASH,SRI S PRAKASH,EC Granted - Processed offline,EC,, 
16,17,7,SIA/AP/MIN/158754/2020,AP MIN WG  06 2020 1903,Ballipadu Sand Reach,MS CHAIRMAN DLSC,EC Granted - Processed offline,EC,, 
17,18,8,SIA/AP/MIN/159407/2020,AP MIN SKLM  06 2020 1906,Buchipeta sand Reach,"MEMBER DLSC,ADM&G, SIKAKULAM",EC Granted - Processed offline,EC,, 
