,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/BR/IND/18661/2017,,Bihar,Patna,Fatwah,Date of Submission for TOR: 28 Aug 2018,Date of Submission for EC: 06 Jun 2020 ,Industrial Projects - 1,SHIVSHIVA STEEL PVT LTD,Delisted
1,SIA/BR/MIN/57976/2019,,Bihar,Sheikhpura,Chewara,Date of Submission for TOR: ,Date of Submission for EC: 04 Nov 2020 ,Non-Coal Mining,NATRAJ IRON & CASTINGS PVT. LTD,Query raised by SEIAA and pending at PP
2,SIA/BR/MIN/66109/2017,SIA/1(a)/592/18,Bihar,Jamui,Khaira,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
3,SIA/BR/MIN/66116/2017,SIA/1(a)/576/18,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
4,SIA/BR/MIN/66119/2017,SIA/1(a)/595/18,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 30 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
5,SIA/BR/MIN/66261/2017,SIA/1(a)/573/18,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
6,SIA/BR/IND3/249128/2021,SIA/5(f)/1852/2021,Bihar,East Champaran,No Data,Date of Submission for EC: 13 Jan 2022 ,Date of Ec Granted : 03 Mar 2022,Industrial Projects - 3,M/S BRAVO PHARMACEUTICALS PVT. LTD.,EC Granted
7,SIA/BR/MIS/290795/2022,SIA/8(a)/2046(EXP)/2022,Bihar,Patna,Bihta,Date of Submission for EC: 29 Aug 2022 ,Date of Ec Granted : 26 Sep 2022,INFRA-2,M/S ANSHUL HOMES PVT. LTD.,EC Granted
8,SIA/BR/MIN/31368/2015,SIA/1(a)/14/2015,Bihar,Siwan,Maharajganj,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2015 ,Non-Coal Mining,BEDAMI DEVI,Delisted
9,SIA/BR/MIN/131294/2019,,Bihar,Rohtas,Dehri,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2019 ,Non-Coal Mining,M/S TARA INT UDYOG PRAT:-IFTAKHARAHMAD,Delisted
10,SIA/BR/MIS/251608/2022,SIA/8(a)/1854/2022,Bihar,Buxar,Chausa,Date of Submission for EC: 14 Jan 2022 ,Date of Ec Granted : 06 May 2022,INFRA-2,MINI SMART TOWNSHIP OF BTPP BUXAR,EC Granted
11,SIA/BR/MIS/272191/2022,SIA/8(a)/2033/2022,Bihar,Nalanda,Rajgir,Date of Submission for EC: 27 Jun 2022 ,Date of Ec Granted : 02 Aug 2022,INFRA-2, SAMAJIK KALYAN SANSTHA,EC Granted
12,SIA/BR/MIN/160331/2020,,Bihar,Samastipur,Shivaji Nagar,Date of Submission for TOR: ,Date of Submission for EC: 08 Jul 2020 ,Non-Coal Mining,BSCPL INFRASTRUCTURE LTD MAUZA KAJIDUMRA AREA 12.01 AC,Delisted
13,SIA/BR/MIN/136729/2020,,Bihar,Gopalganj,Thawe,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2020 ,Non-Coal Mining,"M/S. A.M. INT UDYOG, PROP- SUMAN DEVI",Delisted
14,SIA/BR/MIN/136793/2020,,Bihar,Gaya,Fatehpur,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2020 ,Non-Coal Mining,M/S A.R INT UDYOG,Delisted
15,SIA/BR/MIN/35740/2019,,Bihar,Patna,Mokameh,Date of Submission for TOR: ,Date of Submission for EC: 04 May 2019 ,Non-Coal Mining,MS SHIVA BRICKS,Query raised by SEIAA and pending at PP
16,SIA/BR/MIN/66128/2017,SIA/1(a)/574/18,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
17,SIA/BR/MIN/66180/2017,,Bihar,Jamui,Chakai,Date of Submission for TOR: ,Date of Submission for EC: 10 Dec 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
18,SIA/BR/MIN/66260/2017,,Bihar,Jamui,Sono,Date of Submission for TOR: ,Date of Submission for EC: 10 Dec 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
19,SIA/BR/MIN/135084/2020,,Bihar,East Champaran,No Data,Date of Submission for TOR: ,Date of Submission for EC: 04 Jan 2020 ,Non-Coal Mining,"MOTIHARI SAND DEPOSIT OF EAST CHAMPARAN, BIHAR,  APPLICANT- SHRI VINAY KUMAR",Delisted
20,SIA/BR/MIS/132872/2019,SIA/8(a)/992/2020,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for EC: 09 Mar 2020 ,Date of Ec Granted : 21 Sep 2020,INFRA-2,M/S SHANTI KRISHNA KANHAIYA CONSTRUCTIONS AND DEVELOPERS PVT. LTD,EC Granted
21,SIA/BR/MIN/133292/2019,,Bihar,Patna,Dhanarua,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2019 ,Non-Coal Mining,SADAN KISHOR PRASAD,Delisted
22,SIA/BR/NCP/63443/2017,,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for TOR: ,Date of Submission for EC: 31 Mar 2017 ,INFRA-1,BIHAR RAJYA PUL NIRMAN NIGAM LIMITED,Delisted
23,SIA/BR/MIN/31472/2019,SIA/1(a)/639/19,Bihar,Bhojpur,Sahar,Date of Submission for EC: 07 Dec 2019 ,Date of Ec Granted : 22 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
24,SIA/BR/MIN/144609/2020,,Bihar,Vaishali,Hajipur,Date of Submission for TOR: ,Date of Submission for EC: 22 Feb 2020 ,Non-Coal Mining,M/S BIJA RAY,Delisted
25,SIA/BR/MIN/48478/2016,,Bihar,Bhagalpur,Colgong,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,MS SAINIK FOOD PVT LTD,Delisted
26,SIA/BR/IND1/415859/2023,,Bihar,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2023 ,Industrial Projects - 1,BALMUKUND CONCAST LIMITED,Delisted
27,SIA/BR/MIN/70404/2017,SIA/1(a)/529/18,Bihar,Sheikhpura,Sheikhpura,Date of Submission for TOR: ,Date of Submission for EC: 10 May 2018 ,Non-Coal Mining,RAJ KUMAR SINGH,Delisted
28,SIA/BR/NCP/65471/2017,SIA/8(a)/506/17,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for EC: 16 Jun 2017 ,Date of Ec Granted : 30 Jun 2017,INFRA-1,MUNDESHWARY MULTICON,EC Granted
29,SIA/BR/MIN/136583/2020,,Bihar,Katihar,Pranpur,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2020 ,Non-Coal Mining,BOSS BRICKS,Delisted
30,SIA/BR/MIN/69940/2017,,Bihar,Gaya,Mohanpur,Date of Submission for TOR: ,Date of Submission for EC: 28 Sep 2017 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
31,SIA/BR/MIN/129794/2019,,Bihar,Bhojpur,Garhani,Date of Submission for TOR: ,Date of Submission for EC: 05 Dec 2019 ,Non-Coal Mining,M/S PRANAM EATA,Delisted
32,SIA/BR/MIN/133330/2019,,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for TOR: ,Date of Submission for EC: 25 Dec 2019 ,Non-Coal Mining,M/S- S.B.M BRICKS,Delisted
33,SIA/BR/NCP/92289/2019,,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2019 ,INFRA-1,BUILDING CONSTRUCTION DEPARTMENT,Delisted
34,SIA/BR/MIN/137847/2020,,Bihar,Nalanda,Islampur,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2020 ,Non-Coal Mining,M/S RESHMI INT UDYOG PROP ABHISHEK KUMAR,Delisted
35,SIA/BR/MIN/131096/2019,,Bihar,Patna,Bakhtiarpur,Date of Submission for TOR: ,Date of Submission for EC: 12 Dec 2019 ,Non-Coal Mining,M/S. RADHA BRICKS (MAHESH SHA),Delisted
36,SIA/BR/MIN/417379/2023,,Bihar,,,Date of Submission for TOR: ,Date of Submission for EC: 07 Mar 2023 ,Non-Coal Mining,IDIO CONSTRUCTION AND INDUSTRIES INDIA LTD,Under examination of SEIAA
37,SIA/BR/MIN/161171/2020,,Bihar,Araria,Raniganj,Date of Submission for TOR: ,Date of Submission for EC: 01 Aug 2020 ,Non-Coal Mining,ATA BRICKS PROP UMESH SHARMA,Delisted
38,SIA/BR/MIN/64380/2017,SIA/1(a)/489/17,Bihar,Gaya,Neem Chak Bathani,Date of Submission for EC: 08 Jun 2017 ,Date of Ec Granted : 22 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
39,SIA/BR/MIN/66064/2017,,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 06 Oct 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
40,SIA/BR/MIN/66070/2017,SIA/1(a)/555/18,Bihar,Jamui,Gidhaur,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
41,SIA/BR/MIN/148804/2020,,Bihar,Buxar,Dumraon,Date of Submission for TOR: ,Date of Submission for EC: 14 Mar 2020 ,Non-Coal Mining,M/S ROYAL INT UDYOG,Delisted
42,SIA/BR/NCP/64052/2017,,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for TOR: ,Date of Submission for EC: 19 Apr 2017 ,INFRA-1,MERIDIAN CONSTRUCTION INDIA LIMITED,Delisted
43,SIA/BR/MIN/36017/2019,,Bihar,Patna,Bihta,Date of Submission for TOR: ,Date of Submission for EC: 10 May 2019 ,Non-Coal Mining,MS JPS BRICKS,Query raised by SEIAA and pending at PP
44,SIA/BR/MIN/136306/2020,,Bihar,West Champaran,Majhaulia,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2020 ,Non-Coal Mining,M/S F. B. I. BRICKS,Delisted
45,SIA/BR/MIN/41235/2019,SIA/1(a)/588/18,Bihar,Jamui,Sono,Date of Submission for EC: 05 Sep 2019 ,Date of Ec Granted : 24 Oct 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
46,SIA/BR/MIN/41127/2019,SIA/1(a)/578/18,Bihar,Jamui,Jhajha,Date of Submission for EC: 05 Sep 2019 ,Date of Ec Granted : 06 Nov 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
47,SIA/BR/IND2/253126/2022,SIA/1(b)/2037/2022,Bihar,Samastipur,Kalyanpur,Date of Submission for EC: 27 May 2022 ,Date of Ec Granted : 03 Aug 2022,Industrial Projects - 2,"HSE, FRONTIER BASINS, ONGC, DEHRADUN",EC Granted
48,SIA/BR/MIN/148587/2020,,Bihar,Bhojpur,Barhara,Date of Submission for TOR: ,Date of Submission for EC: 13 Mar 2020 ,Non-Coal Mining,M/S GANGA-2 BRICKS,Delisted
