"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1","SIA/BR/IND/18661/2017","","SHIVSHIVA STEEL PVT LTD","SHIVSHIVA STEEL PVT LTD","Delisted","EC",NA
"2","SIA/BR/MIN/57976/2019","","Natraj Iron & Castings Pvt. Ltd.  Stone Mining Project at village: Chakandara / Barari, block- chewra, district- Sheikhpura, State: Bihar","NATRAJ IRON & CASTINGS PVT. LTD","Pending at PP due to eds","EC",NA
"3","SIA/BR/MIN/66109/2017","SIA/1(a)/592/18","Sand mining Project at Bhour Sand ghat on River Kiul","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"4","SIA/BR/MIN/66116/2017","SIA/1(a)/576/18","Sand Mining Project at Katauna Ghat on Kiul River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"5","SIA/BR/MIN/66119/2017","SIA/1(a)/595/18","Lotun & Ratanpur Balu Ghat on Kiul River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"6","SIA/BR/MIN/66261/2017","SIA/1(a)/573/18","Sand Mining Project at Manjhway sand ghat on River Kiul","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"7","SIA/BR/IND3/249128/2021","SIA/5(f)/1852/2021","Setting up a Pharmaceutical Formulation Unit for manufacturing of Vitamins,Tablet, Capsules, Dry Syrups, Liquids, Ointments and Dry Powders M/S Bravo Pharmaceuticals Pvt Ltd","M/S BRAVO PHARMACEUTICALS PVT. LTD.","EC Granted","EC",NA
"8","SIA/BR/MIS/290795/2022","SIA/8(a)/2046(EXP)/2022","Proposed Expansion of Residential Building “H2O City”","M/S ANSHUL HOMES PVT. LTD.","EC Granted","EC",NA
"9","SIA/BR/MIN/31368/2015","SIA/1(a)/14/2015","S.P. Int Udyog","BEDAMI DEVI","Delisted","EC",NA
"10","SIA/BR/MIN/131294/2019","","JAMUHAR M/S TARA INT UDYOG with production capacity 6153.84 TPA at Thana No.- 155, Khata No. 131. Plot No. 2191 &2201. Area, 3.27 Ac, 1.32 Ha, Mauza - Jamuhar, P.S. + Circle - Dehri on Sone, District-","M/S TARA INT UDYOG PRAT:-IFTAKHARAHMAD","Delisted","EC",NA
"11","SIA/BR/MIS/251608/2022","SIA/8(a)/1854/2022","Mini smart Township of BTPP Buxar","MINI SMART TOWNSHIP OF BTPP BUXAR","EC Granted","EC",NA
"12","SIA/BR/MIS/272191/2022","SIA/8(a)/2033/2022","Medical & Allied Sciences Campus (KK Medical College & Hospital) A Unit of Samajik Kalyan Sanstha","SAMAJIK KALYAN SANSTHA","EC Granted","EC",NA
"13","SIA/BR/MIN/160331/2020","","ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA KAJIDUMRA","BSCPL INFRASTRUCTURE LTD MAUZA KAJIDUMRA AREA 12.01 AC","Delisted","EC",NA
"14","SIA/BR/MIN/136729/2020","","BRICK EARTH MINING PROJECT FOR M/S. A.M. INT UDYOG, MAUZA-BRARI JAGDISH, UCHAKAGAON, THAWE, GOPALGANJ, AREA- 2.78 Ac, 1.13 Ha","M/S. A.M. INT UDYOG, PROP- SUMAN DEVI","Delisted","EC",NA
"15","SIA/BR/MIN/136793/2020","","M/S A.R INT UDYOG","M/S A.R INT UDYOG","Delisted","EC",NA
"16","SIA/BR/MIN/35740/2019","","Brick Earth Mining Project of Area 3.47 Acres or 1.40 Hectare for M/s Shiva  Bricks at Mauza- Maranchi Bariyar, Village- Maranchi, P.O- Maranchi, P.S- Maranchi, Block  - Mokama, District- Patna, State","MS SHIVA BRICKS","Pending at PP due to eds","EC",NA
"17","SIA/BR/MIN/66128/2017","SIA/1(a)/574/18","Sand Mining Project at Khairma Pul Par Sand Ghat on River Kiul","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"18","SIA/BR/MIN/66180/2017","","Sand Mining Project at Maldevdih-Baliadabar Sand Ghat on Ajay River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"19","SIA/BR/MIN/66260/2017","","Sand Mining Project at Mandhata Sand Ghat on Barnar River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
