,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/CG/MIN/43867/2019,OL/EC/MIN/RAJNANDGAON/986,Shashikala Gupta,SHASHIKALA GUPTA,EC Granted,EC,
2,2,SIA/CG/MIN/33966/2015,OL/EC/SandMINE/DURG/207,Basni Sand Mine,SARPANCH BASNI,EC Granted,EC,
3,3,SIA/CG/MIN/127473/2019,,R Andrew Maniraj Kotni Sand Mine,KOTNI SAND MINE,Delisted,EC,
4,4,SIA/CG/MIN/127754/2019,OL/EC/MIN/RAJANANDGAON/1274,Smt.Aruna Jogewar,SMT ARUNA JOGEWAR,EC Granted,EC,
5,5,SIA/CG/MIN/142833/2020,OL/EC/MIN/KONDAGAON/1170,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,EC Granted,EC,
6,6,SIA/CG/MIN/143295/2020,OL/EC/MIN/RAJNANDGAON/1176,Shivlal Chakradhari Joratarai Limestone Mine,SHIVLAL CHAKRADHARI,EC Granted,EC,
7,7,SIA/CG/MIN/56113/2016,,DINESH KUMAR RUPRELA STONE MINE,DINESH KUMAR RUPRELA STONE MINE,Delisted,EC,
8,8,SIA/CG/MIN/41012/2016,OL/EC/SANDMINE/SURAJPUR/312,Kamalpur Sand Mine,SARPANCH KAMALPUR,EC Granted,EC,
9,9,SIA/CG/MIN/216927/2021,OL/EC/MIN/BASTAR/1722,M/s SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG,M/S SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG  1.50 HA,EC Granted,EC,
10,10,SIA/CG/MIN/174001/2020,OL/EC/MIN/KJ_CHAMPA/1399,Tanaud sand mine of Pitambar Agrawal,TANAUD SAND MINE OF PITAMBAR AGRAWAL,EC Granted,EC,
1,11,SIA/CG/MIN/150569/2020,OL/EC/MIN/RAJNANDGAON/1276,Anita Sahu,ANITA SAHU,Rejection Letter Granted,EC,
2,12,SIA/CG/MIN/402745/2022,OL/EC/MIN/BALODABAZAR/2164,Dhabadhi Limestone Quarry Pro-Sanjay Agrawal,ASHUTOSH SANYASHI MINING CONSULTANCY,For further consideration(SEAC),EC,
3,13,SIA/CG/INFRA2/423097/2023,OL/EC/INFRA2/RAIPUR/2344,Shivay Infra,RAJESH KUKREJA,EC Granted,EC,
4,14,SIA/CG/MIN/422942/2023,OL/EC/MIN/KANKER/2355,Bhuigaon sand mine,AMESH NETAM,EC Granted,EC,
5,15,SIA/CG/MIN/443671/2023,OL/EC/MIN/BALODA_BAZAR/2665,M/s Singhania Enterprises,SINGHANIA ENTERPRISES,Under examination of SEIAA after SEAC,EC,
6,16,SIA/CG/MIN/146617/2020,OL/EC/MIN/KORIYA/1218,Harchoka sand mine of Ajitesh Sahu,HARCHOKA SAND MINE OF AJITESH SAHU,EC Granted,EC,
7,17,SIA/CG/MIN/76070/2018,OL/EC/MIN/DURG/736,Pitora Limestone Mine,TEKENDRA CHANDRAKAR,EC Granted,EC,
8,18,SIA/CG/MIN/37017/2019,OL/EC/MIN/JASHPUR/891,"Sand Excavation Project of Ramdev Nayak (Sachiv), Gram Panchayat Duldula, Village – Duldula, Tehsil – Duldula, District– Jashpur (C.G.)",RAMDEV NAYAK,Rejection Letter Granted,EC,
9,19,SIA/CG/MIN/180088/2020,OL/EC/MIN/KORBA/1433,Konkona Ordinary Stone Temporary Permit Quarry  (1),KONKONA ORDINARY STONE TEMPORARY PERMIT QUARRY  (1),EC Granted,EC,
10,20,SIA/CG/MIN/136125/2020,OL/EC/STONE_MINE/JASHPUR/1124,Stone Mine of Making Gitti of Shri Vijay Kumar Gupta,VIJAY KUMAR GUPTA.,EC Granted,EC,
1,21,SIA/CG/MIN/221813/2021,OL/EC/MIN/DHAMTARI/1752,PAIKBHATA CRUSHER STONE QUARRY,PAIKBHATA CRUSHER STONE QUARRY 1.20 HA,EC Granted,EC,
2,22,SIA/CG/MIN/35946/2015,,Quartz Mine,DINESH SHARMA,Delisted,EC,
3,23,SIA/CG/MIN/31820/2015,OL/EC/SANDMINE/KORBA/75,,MUNICIPAL CORPORATION KATGHORA,EC Granted,EC,
4,24,SIA/CG/MIN/32068/2015,,Karhikachhar sand Mining,PANCHAYAT SACHIV,Delisted,EC,
5,25,SIA/CG/MIN/40563/2019,,Radhapur Sand Mining,GRAM PANCHAYAT RADHAPUR,Delisted,EC,
6,26,SIA/CG/MIN/67299/2017,OL/EC/LIME_STONE/BALODABAZAAR/627,Bitkuli Limestone Mine 3.603 H,ASHOK KUMAR JOHN,EC Granted - Processed offline,EC,
7,27,SIA/CG/MIN/42230/2016,OL/EC/SANDMINE/DURG/329,Danganiya B Sand Mine,SARPANCH DANGANIYA B,Delisted,EC,
8,28,SIA/CG/MIN/243432/2021,OL/EC/MIN/BALODABAZAR/1844,Rajesh Agrawal Limestone Quarry,ASHUTOSH SANYASHI MINING CONSULTANCY,Under examination of SEIAA after SEAC,EC,
9,29,SIA/CG/MIN/61361/2021,OL/EC/MIN/RAIGARH/1575,"Proposed Gudeli Limestone Mining Project;, Area3.113 Hect.; Production Capacity of Limestone : 11,75,061.25 tonnes Near Village:- Gudeli, Tehsil:- Sarangarh, District:- Raigarh (C.G.). of M/s. Shri Nitin Singhal",NITIN SINGHAL,EC Granted,EC,
10,30,SIA/CG/MIN/400843/2022,OL/EC/MIN/KORIYA/2158,Crusher Stone Quarry,KRISHNA TIWARI,Agenda Uploaded by SEAC,EC,
1,31,SIA/CG/MIN/274914/2022,OL/EC/MIN/KORIYA/2053,Bhandarpara ordinary stone Quarry,SUBHASH VERMA,For further consideration(SEAC),EC,
2,32,SIA/CG/MIN/430554/2023,OL/EC/MIN/BALOD/2486,SHRI DINESH CHAND NAKHAT,DINESH NAKHAT,For further consideration(SEAC),EC,
3,33,SIA/CG/MIN/145537/2020,OL/EC/MIN/MUNGELI/1209,Jamunahi Sand Mine,GANGA PRASAD KASHYAP,EC Granted,EC,
4,34,SIA/CG/MIN/44167/2017,OL/EC/MIN/RAJNANDGAON/1019,Narayan Das Lohani Lime Stone Quarry,NARAYAN DAS LOHANI,EC Granted,EC,
5,35,SIA/CG/MIN/44263/2019,OL/EC/MIN/KOREA/969A,M/S RAMNIWAS PODDAR ORDINARY STONE MINE SAINDA KORIYA,M/S RAMNIWAS PODDAR ORDINARY STONE MINE SAINDA KORIYA,EC Granted,EC,
