State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Haryana,13,1,2019,10,4,0,1,PARDEEP CHAUDHARY,M,INC,57948,58,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,45.26,no,5931,4.63,2.7,AEHR9685,National Party,3482,TRUE,4,INLD,3863,KALKA,TRUE,FALSE,2,TRUE,FALSE,TRUE,Graduate,Business,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,2,LATIKA SHARMA,F,BJP,52017,54,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,40.63,no,44278,34.58,2.7,AEHR11889,National Party,1605,TRUE,2,BJP,1605,KALKA,TRUE,TRUE,1,FALSE,TRUE,TRUE,Graduate Professional,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,3,KIRAN CHAUDHARY,F,JNJP,7739,38,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,6.04,yes,2776,2.17,2.7,AEHR300927,Local Party,18457,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Agriculture,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,4,SATINDER SINGH,M,INLD,4963,49,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,3.88,yes,2390,1.87,2.7,AEHR301720,State-based Party,3863,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Agriculture,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,5,ASHWANI NAGRA,M,BSP,2573,35,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,2.01,yes,1836,1.43,2.7,AEHR300246,State-based Party (Other State),16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,6,NOTA,,NOTA,737,,,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.58,,53,0.04,2.7,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,7,UMESH KUMAR,M,IND,684,29,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.53,yes,238,0.19,2.7,AEHR301991,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,8,PARVEEN KUMAR,M,AAAP,446,38,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.35,yes,52,0.04,2.7,AEHR301327,State-based Party (Other State),13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Business,Unspecified,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,9,CHARAN SINGH,M,SHPP,394,62,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.31,yes,38,0.03,2.7,AEHR300436,Local Party,24551,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,Shop Keeper,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,10,VIDYA RANI,F,IND,356,66,SC,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.28,yes,182,0.14,2.7,AEHR302017,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Illiterate,Labourer or Daily Wage,,,,State Assembly Election (AE)
Haryana,13,1,2019,10,4,0,11,MEENAKSHI SHARMA,F,JanSP,174,59,GEN,128031,176698,KALKA,GEN,PANCHKULA,AMBALA DIVISION,10,72.46,0.14,yes,0,0,2.7,AEHR301116,Local Party,4541,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Education,School Teacher,,,State Assembly Election (AE)
