State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Jharkhand,4,1,2019,12,4,0,1,Anant Kumar Ojha,M,BJP,88904,46,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,42.26,no,12372,5.88,3.12,AEJH100074,National Party,1605,TRUE,2,BJP,1605,RAJMAHAL,TRUE,TRUE,2,FALSE,TRUE,TRUE,Graduate,Politics,,Agriculture,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,2,Md. Tajuddin,M,AJSUP,76532,46,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,36.38,no,51913,24.67,3.12,AEJH101253,Local Party,8958,TRUE,3,JMM,4653,RAJMAHAL,TRUE,FALSE,0,TRUE,FALSE,TRUE,12th Pass,Business,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,3,Ketabuddin Sekh,M,JMM,24619,36,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,11.7,yes,20793,9.88,3.12,AEBH104979,State-based Party,4653,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,Social Work,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,4,Pradip Kumar Singh,M,BSP,3826,43,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,1.82,yes,1209,0.57,3.12,AEBH104980,State-based Party (Other State),16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Business,,Politics,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,5,Gopal Chandra Mandal,M,IND,2617,53,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,1.24,yes,3,0,3.12,AEBH104981,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Liberal Profession or Professional,Author,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,6,Nitya Nand Gupta,M,IND,2614,39,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,1.24,yes,1193,0.57,3.12,AEBH104982,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,Social Work,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,7,Rajkishor Yadav,M,IND,1421,46,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.68,yes,73,0.03,3.12,AEBH104983,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,Agriculture,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,8,Pranjit Kumar,M,IND,1348,52,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.64,yes,447,0.21,3.12,AEBH104984,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,9,Ravindra Prasad Sah,M,IND,901,40,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.43,yes,39,0.02,3.12,AEBH104985,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,10,NASIMA KHANAM,F,AIMIM,862,44,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.41,yes,41,0.02,3.12,AEBH104986,State-based Party (Other State),706,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Other,Household,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,11,NOTA,,NOTA,821,,,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.39,,12,0.01,3.12,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,12,Nand Lal Sah,M,IND,809,50,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.38,yes,210,0.1,3.12,AEBH104987,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Agriculture,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,13,Col. Bhagwan Yadav,M,RPPRINAT,599,64,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.28,yes,5,0,3.12,AEBH104988,Local Party,24545,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Retired or Pension,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,14,Rajkumar Yadav,M,JVM,594,48,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.28,yes,17,0.01,3.12,AEBH104989,Local Party,4736,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,Social Work,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,15,Ajay Kuamr Das,M,IND,577,35,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.27,yes,23,0.01,3.12,AEBH104990,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Other,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,16,Sheo Prasad Thakur,M,IND,554,77,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.26,yes,2,0,3.12,AEBH104991,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Agriculture,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,17,Ramsagar Singh,M,RJBP,552,52,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.26,yes,32,0.02,3.12,AEBH104992,Local Party,6582,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Business,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,18,Sanjay Kumar Mandal(Bachu),M,LJP,520,46,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.25,yes,113,0.05,3.12,AEBH104993,State-based Party,5029,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,19,Rameshwar Mandal,M,PPID,407,62,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.19,yes,73,0.03,3.12,AEBH104994,Local Party,6054,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Retired or Pension,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,20,Sanjay Kr. Pandey,M,SHS,334,54,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.16,yes,28,0.01,3.12,AEBH104995,State-based Party (Other State),18691,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,Agricultural Business,Agriculture,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,21,Binod Kumar Yadav,M,IND,306,41,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.15,yes,44,0.02,3.12,AEBH104996,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Jharkhand,4,1,2019,12,4,0,22,Saddam Hussain Advocate,M,IND,262,27,GEN,210394,301867,RAJMAHAL,GEN,SAHEBGANJ,SANTHAL PARGANA DIVISION,23,69.7,0.12,yes,42,0.02,3.12,AEBH104997,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Lawyer,Agriculture,,State Assembly Election (AE)
