State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Odisha,16,1,2019,4,4,0,1,BIJAYA RANJAN SINGH BARIHA,MALE,BJD,83299,61,ST,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,41.29,no,5734,2.84,2.86,AEOD6851,State-based Party,9079,TRUE,7,BJD,9079,PADAMPUR,TRUE,TRUE,5,FALSE,FALSE,TRUE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Odisha,16,1,2019,4,4,0,2,PRADIP PUROHIT,MALE,BJP,77565,53,GENERAL,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,38.45,no,44778,22.2,2.86,AEOD4433,National Party,1605,TRUE,4,BJP,1605,PADAMPUR,TRUE,TRUE,1,FALSE,TRUE,TRUE,10th Pass,Politics,Party Worker,Agriculture,,State Assembly Election (AE)
Odisha,16,1,2019,4,4,0,3,SATYA BHUSAN SAHU,MALE,INC,32787,66,GENERAL,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,16.25,yes,28275,14.02,2.86,AEOD8430,National Party,3482,TRUE,8,INC,3482,PADAMPUR,TRUE,TRUE,3,FALSE,FALSE,FALSE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Odisha,16,1,2019,4,4,0,4,RAJU GHIBELA,MALE,IND,4512,43,GENERAL,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,2.24,yes,2278,1.13,2.86,AEOD81517,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,Agriculture,,State Assembly Election (AE)
Odisha,16,1,2019,4,4,0,5,NOTA,,NOTA,2234,,,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,1.11,,902,0.45,2.86,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Odisha,16,1,2019,4,4,0,6,TANKADHARA KANTA,MALE,BSP,1332,55,SC,201729,255445,PADAMPUR,GEN,BARGARH,NORTH DIVISION,5,78.97,0.66,yes,0,0,2.86,AEOD6,State-based Party (Other State),16651,TRUE,2,BSP,16651,PADAMPUR,TRUE,TRUE,0,FALSE,FALSE,TRUE,8th Pass,Business,,,,State Assembly Election (AE)
Odisha,16,2,2019,4,4,0,1,NAVEEN PATNAIK,MALE,BJD,110604,72,GENERAL,185024,232190,BIJEPUR,GEN,BARGARH,NORTH DIVISION,6,79.69,59.78,no,57122,30.87,2.22,AEOD4163,State-based Party,9079,FALSE,5,BJD,9079,HINJILI,FALSE,TRUE,5,FALSE,TRUE,TRUE,Graduate,Business,Private Company,Politics,,State Assembly Election (AE)
Odisha,16,2,2019,4,4,0,2,SANAT KUMAR GARTIA,MALE,BJP,53482,53,GENERAL,185024,232190,BIJEPUR,GEN,BARGARH,NORTH DIVISION,6,79.69,28.91,no,39138,21.15,2.22,AEOD84494,National Party,1605,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,Social Work,,State Assembly Election (AE)
Odisha,16,2,2019,4,4,0,3,RIPUNATH SETH,MALE,INC,14344,63,SC,185024,232190,BIJEPUR,GEN,BARGARH,NORTH DIVISION,6,79.69,7.75,yes,11512,6.22,2.22,AEOD3554,National Party,3482,FALSE,5,INC,3482,BHATLI,FALSE,TRUE,1,FALSE,FALSE,FALSE,Graduate Professional,Politics,Ex MLA,Agriculture,,State Assembly Election (AE)
Odisha,16,2,2019,4,4,0,4,PURNA CHANDRA PANDA,MALE,IND,2832,41,GENERAL,185024,232190,BIJEPUR,GEN,BARGARH,NORTH DIVISION,6,79.69,1.53,yes,1157,0.63,2.22,AEOD81519,Independents,10809,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Agriculture,,,,State Assembly Election (AE)
