,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/AP/MIN/33670/2019,AP EG MIN 03 2019 907,Ordinary Sand Reach of Pasuvullanka,Andhra Pradesh,East Godavari,I. Polavaram,Date of Submission for EC: 26 Mar 2019 ,Date of Ec Granted : 29 Jun 2019,Non-Coal Mining,ASST DIRECTOR OF MINES AND GEOLOGY,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/33670/2019&pid=54265,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/33670/2019&type=EC&ID=54265
1,SIA/AP/IND2/64390/2020,AP IND NLR 07 2020 2033,"Proposed Captive Resin Plant with a Production Capacity of 62,287.5 TPA (188.75 TPD) for Manufacturing of High Pressure Laminates, Plain Particle Board, Pre-Laminated Boards and UV Coated Boards (Particle boards, MDF, HPL Sheets & Compact Boards) at Plot No. 19, 19 A & 19 A-1, Industrial Park, Naidupeta, APIIC, Menakuru Village, Naidupeta Mandal, SPSR Nellore District, Andhra Pradesh",Andhra Pradesh,Nellore,Naidupet,Date of Submission for EC: 14 Jul 2021 ,Date of Ec Granted : 06 Jan 2022,Industrial Projects - 2,GREENLAM SOUTH LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/IND2/64390/2020&pid=188893,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/64390/2020&type=EC&ID=188893
2,SIA/AP/MIN/217724/2021,AP  VZM MIN 7 2021 3296,M/s. Chiranjeevi Black Stone Crusher,Andhra Pradesh,Vizianagaram,Vepada,Date of Submission for EC: 01 Jul 2021 ,Date of Ec Granted : 18 Oct 2021,Non-Coal Mining,M/S. CHIRANJEEVI BLACK STONE CRUSHER,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/217724/2021&pid=188867,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/217724/2021&type=EC&ID=188867
3,SIA/AP/IND2/151499/2020,AP NLR IND   04 2020  1780,M/s. Venkata Narayana Active Ingredients Private Limited,Andhra Pradesh,Nellore,Vinjamur,Date of Submission for EC: 14 Apr 2020 ,Date of Ec Granted : 08 Dec 2020,Industrial Projects - 2,VENKATA NARAYANA ACTIVE INGREDIENTS PVT LTD,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/IND2/151499/2020&pid=102294,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/151499/2020&type=EC&ID=102294
4,SIA/AP/MIN/151565/2020,AP MIN EG 05 2020 1829,Vakalagaruvu Sand Reach,Andhra Pradesh,East Godavari,Ambajipeta,Date of Submission for EC: 31 May 2020 ,Date of Ec Granted : 08 Jul 2020,Non-Coal Mining,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/151565/2020&pid=102319,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/151565/2020&type=EC&ID=102319
5,SIA/AP/MIS/201089/2021,AP GNT MIN 3 2020 2587,M/s. Capital Business Park LLP,Andhra Pradesh,Guntur,Tadepalle,Date of Submission for EC: 21 Mar 2022 ,Date of Ec Granted : 02 Aug 2022,INFRA-2,M/S. CAPITAL BUSINESS PARK LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIS/201089/2021&pid=168090,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIS/201089/2021&type=EC&ID=168090
6,SIA/AP/MIN/201123/2021,AP  KNL  MIN 3  2021 2955,Y.Mahadevappa,Andhra Pradesh,Kurnool,Adoni,Date of Submission for EC: 02 Mar 2021 ,Date of Ec Granted : 31 Aug 2021,Non-Coal Mining,Y.MAHADEVAPPA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/201123/2021&pid=168096,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/201123/2021&type=EC&ID=168096
7,SIA/AP/MIN/250659/2022,AP  MIN CTR  01 2022 3880,"M/s. ARR & Co.,",Andhra Pradesh,Chittoor,Punganur,Date of Submission for EC: 08 Jan 2022 ,Date of Ec Granted : 24 Mar 2022,Non-Coal Mining, A R R & CO,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/250659/2022&pid=197627,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/250659/2022&type=EC&ID=197627
8,SIA/AP/MIN/249075/2021,AP MIN NLR 12 2021 3849,M/s Priyanka Minerals,Andhra Pradesh,Nellore,Chillakur,Date of Submission for EC: 31 Dec 2021 ,Date of Ec Granted : 18 Mar 2022,Non-Coal Mining,M/S   PRIYANKA  MINERALS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/249075/2021&pid=196176,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/249075/2021&type=EC&ID=196176
9,SIA/AP/MIN/271686/2022,AP MIN ANT 05 2022 4259,M/s. Sri Sai Balaji Granites – Black Granite Quarry,Andhra Pradesh,Anantapur,Settur,Date of Submission for EC: 07 May 2022 ,Date of Ec Granted : 27 Jul 2022,Non-Coal Mining, SRI SAI BALAJI GRANITES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/271686/2022&pid=203056,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/271686/2022&type=EC&ID=203056
