,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/BR/MIN/34679/2019,,Proposed Sand Mining Project of area 5.0 ha at Jaymangla Manoj   Ghat Simariya on Ganga River of District- Begusarai of State- Bihar,Bihar,Begusarai,Barauni,Date of Submission for TOR: ,Date of Submission for EC: 12 Apr 2019 ,Non-Coal Mining,RADHA SWAMI AUTOMOBILES,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/34679/2019&pid=54750,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/34679/2019&type=EC&ID=54750
1,SIA/BR/MIN/34086/2019,,Dina patti Sand Ghat on Parwana River,Bihar,Supaul,Pipra,Date of Submission for TOR: ,Date of Submission for EC: 02 Apr 2019 ,Non-Coal Mining,SUJEET KUMAR,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/34086/2019&pid=54482,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/34086/2019&type=EC&ID=54482
2,SIA/BR/IND/32752/2018,SIA/3(a)/532/18,Kamper Concast Ltd,Bihar,Patna,Bihta,Date of Submission for TOR: ,Date of Submission for EC: 17 Mar 2019 ,Industrial Projects - 1,KAMPER CONCAST LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/IND/32752/2018&pid=53799,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/32752/2018&type=EC&ID=53799
3,SIA/BR/MIS/272191/2022,SIA/8(a)/2033/2022,Medical & Allied Sciences Campus (KK Medical College & Hospital) A Unit of Samajik Kalyan Sanstha,Bihar,Nalanda,Rajgir,Date of Submission for EC: 27 Jun 2022 ,Date of Ec Granted : 02 Aug 2022,INFRA-2, SAMAJIK KALYAN SANSTHA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIS/272191/2022&pid=203177,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/272191/2022&type=EC&ID=203177
4,SIA/BR/MIN/137921/2020,,"Brick Earth Mining Project at Village- Barki Hardiya, P.o.- Barki Hardiya, P.S.- Jagdishpur, Dist.- Bhojpur (Bihar)",Bihar,Bhojpur,Jagdishpur,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2020 ,Non-Coal Mining,M/S- MAHAL INT UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/137921/2020&pid=85982,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/137921/2020&type=EC&ID=85982
5,SIA/BR/MIN/138625/2020,,"LACHHMINIYA SAND GHAT (SAPTGANDHI RIVER), APPLICANT- MR. SUJEET KUMAR, AREA- 0.8 HA., VILLAGE- LACHHMINIYA, DISTRICT- SUPAUL (BIHAR)",Bihar,Supaul,Supaul,Date of Submission for TOR: ,Date of Submission for EC: 24 Jan 2020 ,Non-Coal Mining,"MR. SUJEET KUMAR, DISTRICT- SUPAUL, BIHAR",Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/138625/2020&pid=86154,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138625/2020&type=EC&ID=86154
6,SIA/BR/MIN/138332/2020,,"Vrindavan (Khasra No. 4668, 4680, 4876, 4783, 4772, 4782, 4779, 4776, 4760, 4761, 4778, 4773, 4777, 4779, 4762, 4380, 4783 ) soil brick mining project.",Bihar,East Champaran,No Data,Date of Submission for TOR: ,Date of Submission for EC: 23 Jan 2020 ,Non-Coal Mining,M/S LAXMI INT UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/138332/2020&pid=86073,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138332/2020&type=EC&ID=86073
7,SIA/BR/MIS/66584/2021,21-55/2021-IA-III,"Proposed Residential Building “Kashyap Green City, Phase-2” by Kashyap Green Homes Pvt. Ltd.",Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for TOR: ,Date of Submission for EC: 11 Aug 2021 ,INFRA-2,KASHYAP GREEN CITY PHASE-2,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIS/66584/2021&pid=190124,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/66584/2021&type=EC&ID=190124
8,SIA/BR/MIN/30938/2019,SIA/1(a)/545/18,"Maliya Sand Ghat Mining Project of Area 24.5 ha of Lakhisarai District, Bihar on Kiul River",Bihar,Lakhisarai,Lakhisarai,Date of Submission for EC: 02 Sep 2019 ,Date of Ec Granted : 06 Nov 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/30938/2019&pid=63084,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/30938/2019&type=EC&ID=63084
9,SIA/BR/MIN/138815/2020,,ORDINAY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA BALHA MANSI KHAGARIA,Bihar,Khagaria,Mansi,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2020 ,Non-Coal Mining,BSCPL INFRASTRUCTURE LTD. MAUZA BALHA AREA 11.95 AC 4.83,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/138815/2020&pid=86202,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138815/2020&type=EC&ID=86202
