Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/HR/NCP/69824/2017,SEIAA/HR/17/ 351 dated 25.09.2017,Haryana,Rewari,Rewari,Date of Submission for EC: 25 Sep 2017 ,Date of Ec Granted : 28 Dec 2017,INFRA-1,MG HOUSING PVT. LTD.,EC Granted - Processed offline
SIA/HR/MIS/112727/2019,SEIAA/HR/19/187,Haryana,Rewari,Rewari,Date of Submission for EC: 30 Jul 2019 ,Date of Ec Granted : 13 Nov 2019,INFRA-2,"KULDEEP, DEEPAK AND OTHERS",EC Granted
SIA/HR/MIS/152478/2020,,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 06 Jul 2020 ,INFRA-2,M/S TOSHNIWAL BROTHERS (DELHI) PVT. LTD.,Delisted
SIA/HR/MIS/199240/2021,File No. SEIAA/HR/2021/410 has been assigned. Hard,Haryana,Panchkula,Panchkula,Date of Submission for EC: 03 Jun 2021 ,Date of Ec Granted : 26 Nov 2021,INFRA-2,"NATIONAL INSTITUTE OF AYURVEDA, MINISTRY OF AYUSH, GOVERNMENT OF INDIA",EC Granted
SIA/HR/NCP/56227/2016,File no. SEIAA/HR/16/277 dated 17.06.2016. Hard co,Haryana,Gurgaon,Sohna,Date of Submission for EC: 16 Jun 2016 ,Date of Ec Granted : 09 Mar 2017,INFRA-1,ST PATRICKS REALTY PRIVATE LIMITED,EC Granted
SIA/HR/MIS/266567/2022,SEIAA/HR/2022/164,Haryana,Gurgaon,Manesar,Date of Submission for EC: 08 Apr 2022 ,Date of Ec Granted : 17 Nov 2022,INFRA-2, TOP HAVEN DEVELOPERS PRIVATE LIMITED,EC Granted
SIA/HR/INFRA2/410414/2022,SEIAA/HR/2022/286,Haryana,,,Date of Submission for TOR: ,Date of Submission for EC: 14 Dec 2022 ,INFRA-2, PROMINENT PROPBUILD LLP,
SIA/HR/MIS/116969/2019,SEIAA/HR/19/203 hard copy to be submitted,Haryana,Jhajjar,Bahadurgarh,Date of Submission for EC: 03 Oct 2019 ,Date of Ec Granted : 03 Jun 2020,INFRA-2,MS ANTARIKSH WAREHOUSING AND LOGISTIC PARKS PRIVATE LIMITED,EC Granted - Processed offline
SIA/HR/MIS/117158/2019,SEIAA/HR/19/205,Haryana,Mewat,Taoru,Date of Submission for EC: 14 Oct 2019 ,Date of Ec Granted : 13 Feb 2020,INFRA-2,GOKALDASWAREHOUSING CORPORATION,EC Granted - Processed offline
SIA/HR/MIS/61593/2021,SEIAA/HR/19/38,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 17 Jul 2021 ,Date of Ec Granted : 06 Dec 2021,INFRA-2,M/S  ARDEE INFRASTRUCTURE PVT. LTD.,EC Granted
SIA/HR/MIS/246115/2021,SEIAA/HR/2022/506,Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2022 ,INFRA-2,M/S CHINTELS INDIA PRIVATE LIMITED,Agenda Uploaded by SEAC
SIA/HR/MIN/33595/2015,,Haryana,Jind,Narwana,Date of Submission for TOR: ,Date of Submission for EC: 02 Dec 2015 ,Non-Coal Mining,GARG BHATTA COMPANY,Delisted
SIA/HR/MIS/179712/2020,SEIAA/HR/2020/339,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 09 Nov 2020 ,Date of Ec Granted : 26 Apr 2021,INFRA-2,VERTICAL LOGISTIC PARKS LLP,EC Granted
SIA/HR/NCP/30695/2015,SEIAA/HR/15/244 dated 26.11.2015 in the name of M/,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 25 Nov 2015 ,Date of Ec Granted : 16 Sep 2016,INFRA-1,PURSARTH APPARELS PRIVATE LIMITED,EC Granted
SIA/HR/MIS/124351/2019,SEIAA/HR/19/227 hard copy to be submitted,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 24 Nov 2019 ,Date of Ec Granted : 03 Sep 2020,INFRA-2,FRENCH BUILD MART PVT LTD,EC Granted
SIA/HR/NCP/73340/2018,SEIAA/HR/18/400 dated 09.04.2018. Please submit th,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 03 Apr 2018 ,Date of Ec Granted : 02 May 2019,INFRA-1,M/S ALTON BUILDTECH INDIA PVT. LTD,EC Granted - Processed offline
SIA/HR/MIS/103143/2019,"SEIAA/HR/19/142

Hard copy to be submitted",Haryana,Gurgaon,Manesar,Date of Submission for EC: 26 Apr 2019 ,Date of Ec Granted : 16 Jul 2019,INFRA-2,ROSEVIEW PROMOTERS PVT LTD,EC Granted
SIA/HR/NCP/18465/2016,SEIAA/HR/16/290 dated 14.09.2016,Haryana,Gurgaon,Manesar,Date of Submission for EC: 07 Feb 2017 ,Date of Ec Granted : 31 Jul 2017,INFRA-1,RAHEJA DEVELOPERS LTD.,EC Granted
SIA/HR/NCP/2527/2014,,Haryana,Gurgaon,Sohna,Date of Submission for TOR: ,Date of Submission for EC: 28 Sep 2015 ,INFRA-1,IREO PVT LTD,Delisted
SIA/HR/NCP/70960/2017,,Haryana,Panchkula,Kalka,Date of Submission for TOR: ,Date of Submission for EC: 03 Nov 2020 ,INFRA-1,AMARNATH AGGARWAL INVESTMENTS P LIMITED,Delisted
SIA/HR/NCP/25726/2018,SEIAA/HR/18/ 407 dated 23.04.2018.,Haryana,Sirsa,Sirsa,Date of Submission for TOR: ,Date of Submission for EC: 08 Feb 2018 ,INFRA-1,HARYANA URBAN DEVELOPMENT AUTHORITY DIV NO II,Delisted
SIA/HR/NCP/69779/2017,SEIAA/HR/17/ 350 dated 25.09.2017,Haryana,Rewari,Rewari,Date of Submission for EC: 23 Sep 2017 ,Date of Ec Granted : 28 Dec 2017,INFRA-1,MG HOUSING PVT. LTD.,EC Granted - Processed offline
SIA/HR/MIS/68492/2021,SEIAA/HR/2021/491,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 10 Dec 2021 ,Date of Ec Granted : 25 Sep 2022,INFRA-2,RAMPRASTHA PROMOTERS & DEVELOPERS PVT LTD,EC Granted
SIA/HR/INFRA2/413200/2023,SEIAA/HR/2023/298,Haryana,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,INFRA-2,AMARJEET DHILLON,Agenda Uploaded by SEIAA
