,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/JH/MIN/42798/2019,EC/SEIAA/2018-19/2202/2019,Baliapatra Stone Deposit,Jharkhand,Pakaur,Maheshpur,Date of Submission for EC: 13 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,BALIAPATRA STONE DEPOSIT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/42798/2019&pid=63539,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42798/2019&type=EC&ID=63539
1,SIA/JH/MIN/43360/2019,EC/SEIAA/2018-19/2217/2019,"Stone Deposit of Telo-M/s Kirty Enterprises by (partners-Yogendra Prasad,Arjun Prasad & Suresh Prasad)",Jharkhand,Bokaro,Nawadih,Date of Submission for EC: 04 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,KIRTY ENTERPRISES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/43360/2019&pid=64928,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/43360/2019&type=EC&ID=64928
2,SIA/JH/MIN/202551/2021,,Betakocha Brick Clay Mining M/s Anil Bricks Brick Clay Mining Project,Jharkhand,East Singhbhum,No Data,Date of Submission for TOR: ,Date of Submission for EC: 09 Mar 2021 ,Non-Coal Mining,M/S ANIL  BRICKS,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/202551/2021&pid=172382,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/202551/2021&type=EC&ID=172382
3,SIA/JH/MIS/232876/2021,EC/SEIAA/2021-22/2459/2021,Nand Vatika Greens,Jharkhand,Ranchi,Ormanjhi,Date of Submission for EC: 20 Oct 2021 ,Date of Ec Granted : 01 Nov 2021,INFRA-2,NAND VATIKA DEVELOPERS PVT. LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIS/232876/2021&pid=191950,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/232876/2021&type=EC&ID=191950
4,SIA/JH/MIN/232899/2021,EC/SEIAA/2021-22/2462/2021,Kukukala stone mine (1.32Ha),Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 19 Oct 2021 ,Date of Ec Granted : 31 Oct 2021,Non-Coal Mining,M/S MALA KUMAR ENGINEERS PVT. LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/232899/2021&pid=191953,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/232899/2021&type=EC&ID=191953
5,SIA/JH/MIN/38294/2019,EC/SEIAA/2018-19/2139/2018,Chino Stone Mine,Jharkhand,Giridih,Dumri,Date of Submission for EC: 04 Jul 2019 ,Date of Ec Granted : 23 Sep 2019,Non-Coal Mining,DILIP BUILDCON LIMITED CHINO STONE MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/38294/2019&pid=56978,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/38294/2019&type=EC&ID=56978
6,SIA/JH/MIN/209893/2021,EC/SEIAA/2021-22/2325/2021,MUSNA STONE MINE OF M/S ADITY STONE,Jharkhand,Dumka,Gopikandar,Date of Submission for EC: 17 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,MUSNA STONE MINE OF M/S ADITY STONE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/209893/2021&pid=182270,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/209893/2021&type=EC&ID=182270
7,SIA/JH/MIN/208510/2021,,Ajanta-1 Brick Field,Jharkhand,Sahibganj,Barharwa,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2021 ,Non-Coal Mining,AJANTA-1 BRICK FIELD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/208510/2021&pid=178014,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/208510/2021&type=EC&ID=178014
8,SIA/JH/MIN/208617/2021,,"Demba Stone Deposit of M/s Amit Kumar Gupta & Vinod Yadav, Area 10.50 Acres",Jharkhand,Sahibganj,Mandro,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2021 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/208617/2021&pid=178037,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/208617/2021&type=EC&ID=178037
9,SIA/JH/MIN/35736/2009,,M/s J.S.M.D.C.Ltd,Jharkhand,Hazaribag,Barkagaon,Date of Submission for TOR: ,Date of Submission for EC: 04 May 2019 ,Non-Coal Mining,MS JSMDC RANCHI,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/35736/2009&pid=55391,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/35736/2009&type=EC&ID=55391
