Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/KL/MIN/71043/2017,1168/EC/SEIAA/KL/2017,Kerala,Ernakulam,Muvattupuzha,Date of Submission for TOR: ,Date of Submission for EC: 20 Nov 2017 ,Non-Coal Mining,HANNA ROCK PRODUCTS PVT LTD,Accepted By SEAC - EC ISSUED IN 81 SEIAA
SIA/KL/IND2/19689/2016,1064/EC3/2016/SEIAA,Maharashtra,Raigad,Shrivardhan,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2017 ,Industrial Projects - 2,INDIAN OIL CORPORATION KERALA STATE OFFICE,Accepted By SEAC - EC ISSUED IN 79 SEIAA
SIA/KL/MIN/44123/2019,1495/EC2/2019/SEIAA,Kerala,Kottayam,Kanjirappally,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 19 Jul 2022,Non-Coal Mining,THOMSUN AGGREGATES,EC Granted
SIA/KL/MIN/193502/2021,,Kerala,Malappuram,Ernad,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2021 ,Non-Coal Mining,CHALIYAR RIVER BASIN,Delisted
SIA/KL/MIN/166510/2020,1811/EC3/2020/SEIAA,Kerala,Ernakulam,Muvattupuzha,Date of Submission for EC: 19 Oct 2020 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,M/S CHATTUPARA GRANITES PRIVATE LIMITED,EC Granted
SIA/KL/MIN/208451/2021,(Old ToR Proposal No./File No.SIA/KL/MIN/39525/201,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 12 Apr 2021 ,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF MR HUSSAIN,Rejection Letter Granted
SIA/KL/MIN/267633/2022,2026/EC3/2022/SEIAA,Kerala,Ernakulam,Kunnathunad,Date of Submission for EC: 09 May 2022 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,KARAKKATTIL MUHAMMED,EC Granted
SIA/KL/MIN/413609/2023,2204/EC1/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2023 ,Non-Coal Mining,SUHAIB KUNNAN,For further consideration(SEAC)
SIA/KL/NCP/69876/2017,1155/EC/SEIAA/KL/2017,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2017 ,INFRA-1,MALABAR INSTITUTE OF MEDICAL SCIENCES LTD.,Accepted By SEAC - EC ISSUED IN 93 SEIAA
SIA/KL/MIN/165193/2020,1941/EC2/SEIAA/2022,Kerala,Kasaragod,Hosdurg,Date of Submission for TOR: ,Date of Submission for EC: 01 Nov 2021 ,Non-Coal Mining,M/S. MALOM CRUSHERS,For further consideration(SEAC)
SIA/KL/INFRA2/416126/2023,2223/EC1/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Feb 2023 ,INFRA-2, OCEANUS DWELLINGS PVT LTD,For further consideration(SEAC)
SIA/KL/MIN/134011/2019,1629/EC2/2020/SEIAA,Kerala,Kasaragod,Kasaragod,Date of Submission for EC: 13 May 2020 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,BUILDING STONE QUARRY OF SRI.NARAYANAN.K,EC Granted
SIA/KL/NCP/63451/2017,,Kerala,Pathanamthitta,Thiruvalla,Date of Submission for TOR: ,Date of Submission for EC: 24 Mar 2017 ,INFRA-1,ST. GREGORIOS INTERNATIONAL CANCER CARE CENTRE,WithdrawEC
SIA/KL/MIN/141204/2020,1802/EC6/2020/SEIAA,Kerala,Malappuram,Perinthalmanna,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2020 ,Non-Coal Mining,MUHAMMED SHAFI C T,Rejection Letter Granted
SIA/KL/MIN/169720/2020,1433/EC1/2019/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 09 Oct 2020 ,Date of Ec Granted : 29 Jun 2022,Non-Coal Mining,BUILDING STONE QUARRY OF MR MUHAMMED SALEEM V,EC Granted
SIA/KL/MIN/239769/2021,2062/EC3/2022/SEIAA,Kerala,Idukki,Thodupuzha,Date of Submission for EC: 21 May 2022 ,Date of Ec Granted : 18 Feb 2023,Non-Coal Mining,SABU KURIAKOSE,EC Granted
SIA/KL/MIN/44831/2019,1488/EC3/2019/SEIAA,Kerala,Malappuram,Tirurangadi,Date of Submission for EC: 12 Nov 2019 ,Date of Ec Granted : 19 Jul 2022,Non-Coal Mining,SEBASTIAN QUARRY,EC Granted
SIA/KL/MIN/93970/2019,1253/EC1/2019/SEIAA,Kerala,Wayanad,Vythiri,Date of Submission for EC: 02 Feb 2019 ,Date of Ec Granted : 21 Oct 2019,Non-Coal Mining,GLOBAL ENVIRONMENT AND MINING SERVICES,EC Granted - Processed offline
SIA/KL/MIN/159524/2020,1442/EC2/2019/SEIAA,Kerala,Thrissur,Thalapilly,Date of Submission for EC: 22 Jun 2020 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF MR VIJAYAKUMAR,EC Granted
SIA/KL/NCP/53273/2016,1126/EC/SEIAA/KL/2017,Kerala,Thiruvananthapuram,Thiruvananthapuram,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2017 ,INFRA-1,SOWPARNIKA PROJECTS AND INFRASTRUCTURE PVT LTD,Delisted
SIA/KL/MIN/158875/2020,1751/EC1/2020/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 17 Aug 2020 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,OTTAPPALAM TALUK KARINKAL QUARRY,EC Granted
SIA/KL/MIN/272255/2022,1412/EC2/2019/SEIAA,Kerala,Wayanad,Sulthanbathery,Date of Submission for EC: 12 May 2022 ,Date of Ec Granted : 24 Jan 2023,Non-Coal Mining,SUDHEESH THANKACHAN,EC Granted
SIA/KL/MIS/273775/2022,2109/EC3/2022/SEIAA,Kerala,Ernakulam,Aluva,Date of Submission for TOR: ,Date of Submission for EC: 18 Aug 2022 ,INFRA-2,ADLUX MEDICITY & CONVENTION CENTRE PVT. LTD,Delisted
SIA/KL/MIN/413982/2023,2212/EC3/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2023 ,Non-Coal Mining, JS BLUEMETALS LLP,For further consideration(SEAC)
SIA/KL/MIN/93594/2019,1245/EC2/2019/SEIAA,Kerala,Malappuram,Eranad,Date of Submission for EC: 31 Jan 2019 ,Date of Ec Granted : 06 Aug 2020,Non-Coal Mining,GRANITE(BUILDING STONE) QUARRY OF MR. ABDUL SALAM,EC Granted - Processed offline
SIA/KL/MIN/94766/2019,1265/EC2/2019/SEIAA,Kerala,Malappuram,Ernad,Date of Submission for EC: 07 Feb 2019 ,Date of Ec Granted : 18 Jan 2020,Non-Coal Mining,BUILDING STONE QUARRY OF MR MUSTHAFA PALAKKAN,EC Granted - Processed offline
SIA/KL/MIN/132700/2019,,Kerala,Kottayam,Meenachil,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2020 ,Non-Coal Mining,KORAH AND CONSULTANTS,WithdrawEC
SIA/KL/MIN/133048/2019,1657/EC6/2020/SEIAA,Kerala,Malappuram,Ernad,Date of Submission for TOR: ,Date of Submission for EC: 05 May 2020 ,Non-Coal Mining,BUILDING STONE QUARRY OF SRI ABDUL AZEEZ  K K,Delisted
SIA/KL/MIS/31335/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 24 Jan 2019 ,INFRA-2,MS SOBHA LTD,Delisted
SIA/KL/MIN/52387/2016,,Kerala,Thrissur,Mukundapuram,Date of Submission for TOR: ,Date of Submission for EC: 04 Apr 2016 ,Non-Coal Mining,SAKTHI METALS,TransferToDEIAA
SIA/KL/MIN/60024/2016,1103/EC/SEIAA/KL/2017,Kerala,Ernakulam,Kothamangalam,Date of Submission for TOR: ,Date of Submission for EC: 27 Oct 2016 ,Non-Coal Mining,P K PRASAD,Accepted By SEAC - EC ISSUED IN 79 SEIAA MEETING
SIA/KL/MIN/191025/2021,1955/EC1/2022/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 04 Apr 2022 ,Date of Ec Granted : 01 Sep 2022,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF NOUFAL POOKATH,EC Granted
SIA/KL/MIN/169050/2020,1785/EC3/2020/SEIAA,Kerala,Ernakulam,Kunnathunad,Date of Submission for EC: 19 Sep 2020 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,ORDINARY EARTH MINING PROJECT OF MRS ANU J KADAVAN,EC Granted
SIA/KL/MIS/275257/2022,,Kerala,Ernakulam,Kanayannur,Date of Submission for TOR: ,Date of Submission for EC: 28 May 2022 ,INFRA-2, NEST HI-TEK PARK PRIVATE LIMITED,Delisted
SIA/KL/INFRA2/416727/2023,2226/EC4/SEIAA/2023,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2023 ,INFRA-2, BASHEER,For further consideration(SEAC)
SIA/KL/MIN/46290/2019,1493/EC1/2019/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 20 Nov 2019 ,Date of Ec Granted : 26 Jul 2021,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF SAMEER ALI,EC Granted
SIA/KL/MIN/127997/2019,1559/EC3/2019/SEIAA,Kerala,Ernakulam,Kothamangalam,Date of Submission for EC: 11 Dec 2019 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,PCJAMES,EC Granted
SIA/KL/MIS/176234/2020,1878/EC6/2021/SEIAA,Kerala,Malappuram,Ponnani,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2020 ,INFRA-2,ASSISTANT ENGINEER PWD BRIDGES TIRUR,Rejection Letter Granted
SIA/KL/MIN/133398/2019,1670/EC6/2020/SEIAA,Kerala,Malappuram,Nilambur,Date of Submission for EC: 29 May 2020 ,Date of Ec Granted : 23 Aug 2022,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF M/S CHALIYAR STONE CRUSHER,EC Granted
SIA/KL/MIN/165802/2020,2191/EC2/2023/SEIAA,Kerala,Kollam,Kottarakkara,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2022 ,Non-Coal Mining,HARITHA CONSULTANTS,Agenda Uploaded by SEAC
SIA/KL/IND2/19689/2016,1064/EC3/2016/SEIAA,Maharashtra,Raigad,Shrivardhan,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2017 ,Industrial Projects - 2,INDIAN OIL CORPORATION KERALA STATE OFFICE,Accepted By SEAC - EC ISSUED IN 79 SEIAA
SIA/KL/MIN/136936/2020,1655/EC3/2020/SEIAA,Kerala,Idukki,Thodupuzha,Date of Submission for TOR: ,Date of Submission for EC: 15 May 2020 ,Non-Coal Mining,BUILDING STONE QUARRY OF MR VARGHEESE KURIAN,Delisted
SIA/KL/MIN/137289/2020,,Kerala,Malappuram,Ernad,Date of Submission for TOR: ,Date of Submission for EC: 05 Jun 2020 ,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF MOIDEENKUTTY P P,Delisted
SIA/KL/MIN/140559/2020,1792/EC2/2020/SEIAA,Kerala,Alappuzha,Cherthala,Date of Submission for TOR: ,Date of Submission for EC: 10 Sep 2020 ,Non-Coal Mining,BABU V N,Delisted
SIA/KL/MIN/142685/2020,,Kerala,Kasaragod,Hosdurg,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2020 ,Non-Coal Mining,MUHAMMEDIQBAL.,Delisted
SIA/KL/MIN/267633/2022,2026/EC3/2022/SEIAA,Kerala,Ernakulam,Kunnathunad,Date of Submission for EC: 09 May 2022 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,KARAKKATTIL MUHAMMED,EC Granted
SIA/KL/MIN/410787/2022,2196/EC2/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2023 ,Non-Coal Mining,DARSHAN GRANITES,Agenda Uploaded by SEAC
SIA/KL/MIN/410881/2022,2186/EC3/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 26 Jan 2023 ,Non-Coal Mining, PJASSOCIATES,Agenda Uploaded by SEAC
SIA/KL/MIN/409313/2022,2170/EC2/2022/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Dec 2022 ,Non-Coal Mining,THEKKUMKARA PRADEEP,Delisted
SIA/KL/MIN/148582/2020,1690/EC4/2020/SEIAA,Kerala,Kozhikode,Quilandy,Date of Submission for TOR: ,Date of Submission for EC: 08 Oct 2020 ,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF MR GOPI,Delisted
SIA/KL/NCP/63454/2017,1142/EC/SEIAA/KL/2017,Kerala,Ernakulam,Kanayannur,Date of Submission for TOR: ,Date of Submission for EC: 28 Jun 2017 ,INFRA-1,KERALA INDUSTRIAL INFRASTRUCTURE DEVELOPMENT CORPORATION,Accepted By SEAC - EC ISSUED IN 81 SEIAA
SIA/KL/NCP/70946/2017,1164/EC/SEIAA/KL/2017,Kerala,Thiruvananthapuram,Thiruvananthapuram,Date of Submission for TOR: ,Date of Submission for EC: 14 Nov 2017 ,INFRA-1,SREE CHITRA THIRUNAL INSTITUTE FOR MEDICAL SCIENCE AND TECHNOLOGY,Accepted By SEAC - EC ISSUED IN 81 SEIAA
SIA/KL/MIN/153380/2020,,Kerala,Malappuram,Tirur,Date of Submission for TOR: ,Date of Submission for EC: 27 Oct 2020 ,Non-Coal Mining,BHARATHAPUZHA RIVER BASIN,Delisted
SIA/KL/MIN/195057/2021,,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 29 Jan 2021 ,Non-Coal Mining,RIVER SAND MINING OF CHALIYAR RIVER,Delisted
SIA/KL/MIN/239769/2021,2062/EC3/2022/SEIAA,Kerala,Idukki,Thodupuzha,Date of Submission for EC: 21 May 2022 ,Date of Ec Granted : 18 Feb 2023,Non-Coal Mining,SABU KURIAKOSE,EC Granted
SIA/KL/INFRA2/416303/2023,2225/EC4/SEIAA/2023,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Feb 2023 ,INFRA-2, HAJARA IBRAHIM,For further consideration(SEAC)
SIA/KL/NCP/29507/2018,,Kerala,Thrissur,Thrissur,Date of Submission for EC: 11 Oct 2018 ,Date of Ec Granted : 20 Apr 2019,INFRA-1,SOBHA HIGHRISE VENTURES PRIVATE LIMITED,EC Granted - Processed offline
SIA/KL/MIN/272889/2022,2144/EC1/2022/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for TOR: ,Date of Submission for EC: 17 Jun 2022 ,Non-Coal Mining, JAYAKRISHNAN,For further consideration(SEAC)
SIA/KL/MIN/95100/2019,1267/EC2/2019/SEIAA,Kerala,Malappuram,Perinthalmanna,Date of Submission for EC: 09 Feb 2019 ,Date of Ec Granted : 27 Feb 2020,Non-Coal Mining,BUILDING STONE QUARRY OF MR KHAJA HUSSAIN  ARAKUPARAMBU,EC Granted - Processed offline
SIA/KL/MIN/220720/2021,1944/EC1/SEIAA/2022,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 23 Mar 2022 ,Date of Ec Granted : 03 Mar 2023,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF FARIS KILIYAMANNIL,EC Granted
