,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/TG/MIN/46362/2019,SIA/TG/MIN/46362/2019,M/s. Sri Lakshmi Narshima Stone Crusher,Telangana,Jayashankar Bhupalapalli,Malharrao,Date of Submission for EC: 13 Nov 2019 ,Date of Ec Granted : 06 Mar 2020,Non-Coal Mining,M/S. SRI LAKSHMI NARSHIMA STONE  CRUSHER,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/46362/2019&pid=71862,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/46362/2019&type=EC&ID=71862
1,SIA/TG/MIS/130916/2019,SIA/TG/MIS/130916/2019,Vasavi Lake City East,Telangana,Rangareddi,Serilingampalle,Date of Submission for EC: 11 Dec 2019 ,Date of Ec Granted : 17 Jul 2020,INFRA-2,U. VENKATA SASTRY & OTHERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/130916/2019&pid=79257,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/130916/2019&type=EC&ID=79257
2,SIA/TG/MIN/42966/2019,SIA/TG/MIN/42966/2019,Smt. N. Swarnalatha - Mining of Rough Stone & Road Metal,Telangana,Medchal,Secunderabad,Date of Submission for EC: 16 Sep 2019 ,Date of Ec Granted : 06 Mar 2020,Non-Coal Mining,M/S. SWARNALATHA MINES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/42966/2019&pid=63660,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/42966/2019&type=EC&ID=63660
3,SIA/TG/MIS/161984/2020,SIA/TG/MIS/161984/2020,"K.S.R Homes India Pvt. Ltd.,",Telangana,Medak,Ramchandrapuram,Date of Submission for EC: 04 Jul 2020 ,Date of Ec Granted : 12 Feb 2021,INFRA-2,K.S.R HOMES INDIA PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/161984/2020&pid=115746,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/161984/2020&type=EC&ID=115746
4,SIA/TG/MIS/244705/2021,SIA/TG/MIS/244705/2021,M/s. The My Nest Infra,Telangana,Sangareddy,Ramachandrapuram,Date of Submission for EC: 13 Dec 2021 ,Date of Ec Granted : 15 Feb 2022,INFRA-2,M/S. THE MY NEST INFRA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/244705/2021&pid=194890,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/244705/2021&type=EC&ID=194890
5,SIA/TG/MIS/268677/2022,SIA/TG/MIS/268677/2022,“Super-Speciality Hospital” at Warangal as part of Warangal Health City by Government of Telangana,Telangana,Warangal,Hanamkonda,Date of Submission for EC: 22 Apr 2022 ,Date of Ec Granted : 24 Jun 2022,INFRA-2,PROPOSED SECRETERIAT COMPLEX OF TELANGANA STATE GOVERNMENT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/268677/2022&pid=202325,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/268677/2022&type=EC&ID=202325
6,SIA/TG/MIN/269387/2022,SIA/TG/MIN/269387/2022,Rough Stone & Road Metal Quarry,Telangana,Yadadri Bhuvanagiri,Pochampalle,Date of Submission for TOR: ,Date of Submission for EC: 25 Apr 2022 ,Non-Coal Mining,M/S. SVN METAL INDUSTRY,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/269387/2022&pid=202507,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/269387/2022&type=EC&ID=202507
7,SIA/TG/MIS/222729/2021,SIA/TG/MIS/222729/2021,M/s. S.K.T Constructions & Developers,Telangana,Bhadradri Kothagudem,Kothagudem,Date of Submission for EC: 02 Aug 2021 ,Date of Ec Granted : 04 Sep 2021,INFRA-2,M/S. S.K.T. CONSTRUCTIONS & DEVELOPERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/222729/2021&pid=189736,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/222729/2021&type=EC&ID=189736
8,SIA/TG/MIN/175978/2020,SIA/TG/MIN/175978/2020,Sri Chada Narayana Reddy -1.0 ha,Telangana,Mahabubabad,Kesamudram,Date of Submission for EC: 28 Sep 2020 ,Date of Ec Granted : 20 Mar 2021,Non-Coal Mining,SRI CHADA NARAYANA REDDY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/175978/2020&pid=134175,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/175978/2020&type=EC&ID=134175
9,SIA/TG/MIS/178888/2020,SIA/TG/MIS/178888/2020,Canny Forest Edge,Telangana,Medchal Malkajgiri,Qutballapur,Date of Submission for EC: 21 Oct 2020 ,Date of Ec Granted : 20 Mar 2021,INFRA-2,CANNY LIFE SPACES PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIS/178888/2020&pid=137864,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/178888/2020&type=EC&ID=137864
