Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/MIN/42984/2019,5056,Uttar Pradesh,Aligarh,Atrauli,Date of Submission for EC: 16 Sep 2019 ,Date of Ec Granted : 11 Mar 2020,Non-Coal Mining,CHHARRA ENT UDYOG ALIGARH,EC Granted
SIA/UP/MIN/31430/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 16 Feb 2019 ,Non-Coal Mining,LALMANI EET BHATTA,Delisted
SIA/UP/MIN/135537/2020,5366,Uttar Pradesh,Gorakhpur,Gorakhpur,Date of Submission for EC: 07 Jan 2020 ,Date of Ec Granted : 20 Mar 2020,Non-Coal Mining,SHRI ANIRUDH YADAV,EC Granted
SIA/UP/MIN/29933/2018,4572,Uttar Pradesh,Banda,Banda,Date of Submission for TOR: ,Date of Submission for EC: 17 Aug 2019 ,Non-Coal Mining,SMT DEEPTI GUPTA,Delisted
SIA/UP/NCP/73365/2018,4435,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 02 Aug 2018 ,Date of Ec Granted : 11 Dec 2018,INFRA-1,AIRCON SYSTEMS INDIA PVT LTD,EC Granted
SIA/UP/MIN/125438/2019,5257,Uttar Pradesh,Mathura,Mat,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2019 ,Non-Coal Mining,HARI ENT UDHYOG,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/137385/2020,5401,Uttar Pradesh,Unnao,Purwa,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2020 ,Non-Coal Mining,M/S GAWAR CONSTRUCTION LTD.,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/164781/2020,5738,Uttar Pradesh,Kannauj,Tirwa,Date of Submission for TOR: ,Date of Submission for EC: 23 Jul 2020 ,Non-Coal Mining,MS JAI BALAJI BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/231920/2021,6622,Uttar Pradesh,Mirzapur,Marihan,Date of Submission for EC: 09 Oct 2021 ,Date of Ec Granted : 22 Apr 2022,Non-Coal Mining,SHRI KESHAV NATH TIWARI,EC Granted
SIA/UP/NCP/92208/2019,4804,Uttar Pradesh,Lucknow,Lucknow,Date of Submission for TOR: ,Date of Submission for EC: 03 May 2019 ,INFRA-1,CHIEF ENGINEER,WithdrawEC
SIA/UP/MIN/92141/2019,,Uttar Pradesh,Bagpat,Baraut,Date of Submission for TOR: ,Date of Submission for EC: 08 Feb 2019 ,Non-Coal Mining,MS SHRI SHYAM BHATTA CO,Delisted
SIA/UP/MIN/92231/2019,4641,Uttar Pradesh,PRAYAGRAJ,Meja,Date of Submission for EC: 21 Jan 2019 ,Date of Ec Granted : 02 Jan 2020,Non-Coal Mining,SHRI VINAY  KUMAR DWIVEDI,EC Granted
SIA/UP/MIN/21879/2018,4061,Uttar Pradesh,Kaushambi,Manjhanpur,Date of Submission for EC: 04 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS KUNWAR INFRADEVELOPERS PVT LTD,EC Granted
SIA/UP/NCP/75292/2018,4328,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 03 Jun 2018 ,Date of Ec Granted : 29 Oct 2018,INFRA-1,KAMROOP INFRABUILD PVT LTD,EC Granted
SIA/UP/MIS/195183/2021,6140,Uttar Pradesh,Lakhimpur Kheri,Mohammadi,Date of Submission for EC: 27 Jan 2021 ,Date of Ec Granted : 15 May 2021,INFRA-2,DISTRICT HOSPITAL LAKHIMPUR KHERI,EC Granted
SIA/UP/IND/149964/2020,5648/4629,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,Date of Submission for TOR: ,Date of Submission for EC: 16 Apr 2020 ,Industrial Projects - 1,,Rejection Letter Granted
SIA/UP/MIN/135837/2020,5389,Uttar Pradesh,Kannauj,Kannauj,Date of Submission for EC: 17 Jan 2020 ,Date of Ec Granted : 16 Mar 2020,Non-Coal Mining,M/S SHIV SHAKTI BRICK FIELD,EC Granted
SIA/UP/MIN/136119/2020,,Uttar Pradesh,Ghazipur,Saidpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Jan 2020 ,Non-Coal Mining,ANANYA EET BHATTA,Delisted
SIA/UP/MIN/29523/2018,4528,Uttar Pradesh,Hamirpur,Hamirpur,Date of Submission for EC: 12 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,M/S DISHA ENTERPRISES,EC Granted
SIA/UP/MIN/149967/2020,5629,Uttar Pradesh,Kanpur Nagar,Kanpur,Date of Submission for TOR: ,Date of Submission for EC: 20 Mar 2020 ,Non-Coal Mining,RS ASSOCIATES,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/73370/2018,4120,Uttar Pradesh,Gonda,Tarabganj,Date of Submission for EC: 07 Mar 2018 ,Date of Ec Granted : 05 Apr 2018,Non-Coal Mining,M/S AARADHYA ENTERPRISES,EC Granted
SIA/UP/MIN/129961/2019,,Uttar Pradesh,Aligarh,Atrauli,Date of Submission for TOR: ,Date of Submission for EC: 06 Dec 2019 ,Non-Coal Mining,NAZAR ENT UDYOG,Delisted
SIA/UP/MIN/125447/2019,5312,Uttar Pradesh,Shahjahanpur,Tilhar,Date of Submission for TOR: ,Date of Submission for EC: 12 Dec 2019 ,Non-Coal Mining,KASHISHBRICKFIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIS/134717/2020,5419,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for TOR: ,Date of Submission for EC: 22 Jan 2020 ,INFRA-2,M/S T&T INFRAZONE PRIVATE LIMITED,Rejection Letter Granted
SIA/UP/MIN/135948/2020,5393,Uttar Pradesh,Kannauj,Tirwa,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2020 ,Non-Coal Mining,M/S JAI BALA JI BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/92601/2019,4665,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 12 Feb 2019 ,Date of Ec Granted : 02 Nov 2019,Non-Coal Mining,MAHESH TIWARI,EC Granted
SIA/UP/MIN/127019/2019,5223,Uttar Pradesh,Kanpur Dehat,Derapur,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 11 Mar 2020,Non-Coal Mining,MS SIDDHI BRICK FIELD,EC Granted
SIA/UP/MIN/127228/2019,5244,Uttar Pradesh,Sultanpur,Kadipur,Date of Submission for EC: 25 Nov 2019 ,Date of Ec Granted : 11 Mar 2020,Non-Coal Mining,M/S HEERA ENT BHATTHA,EC Granted
SIA/UP/NCP/58619/2020,5992,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 09 Jul 2021 ,Date of Ec Granted : 19 Jul 2022,INFRA-2,AJAY ENTERPRISES (P) LTD,EC Granted
SIA/UP/MIN/72740/2018,4063,Uttar Pradesh,Hamirpur,Hamirpur,Date of Submission for EC: 10 Feb 2018 ,Date of Ec Granted : 16 Mar 2018,Non-Coal Mining,MS SILVRR MIST RETAIL PRIVATE LIMITED,EC Granted
SIA/UP/MIN/87919/2018,4635,Uttar Pradesh,Banda,Baberu,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2019 ,Non-Coal Mining,M/S SRI FALGUN  GIRI  MINES,WithdrawEC
SIA/UP/NCP/91589/2019,4644,Uttar Pradesh,Raebareli,Rae Bareli,Date of Submission for EC: 24 Jan 2019 ,Date of Ec Granted : 12 Jun 2019,INFRA-1,"M/S RAEBARELI DEVELOPMENT AUTHORITY, RAEBARELI",EC Granted
SIA/UP/MIN/132113/2019,5960,Uttar Pradesh,Muzaffarnagar,Budhana,Date of Submission for TOR: ,Date of Submission for EC: 26 Oct 2020 ,Non-Coal Mining,RCC DEVELOPERS LTD.,Delisted
SIA/UP/MIN/190743/2020,6097,Uttar Pradesh,Mahoba,Kulpahar,Date of Submission for EC: 31 Dec 2020 ,Date of Ec Granted : 11 Jun 2021,Non-Coal Mining,SHRI CHANDRA PRAKASH MAHESHWARI,EC Granted
SIA/UP/MIN/190749/2020,6098,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 31 Dec 2020 ,Date of Ec Granted : 08 Oct 2021,Non-Coal Mining,M/S ROYAL NATURAL STONES PVT. LTD.,EC Granted
SIA/UP/MIN/181843/2020,5981,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for EC: 09 Nov 2020 ,Date of Ec Granted : 27 May 2021,Non-Coal Mining,SHRI VIRENDRA KUMAR SINGH,EC Granted
SIA/UP/MIN/139109/2020,5458,Uttar Pradesh,Lucknow,Malihabad,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2020 ,Non-Coal Mining,BRIJLAL SOIL EXCAVATION,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
