"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"1",0,"SIA/GJ/MIS/108574/2019","A. SHRIDHAR ATHENS","INFRA-2","20 Jun 2019","20/06/2019","","","03/07/2019","","","04/07/2019","09/09/2019","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108574/2019&type=EC&ID=56802"
"2",1,"SIA/GJ/NCP/53074/2016","AHMEDABAD MUNICIPAL CORPORATION FP NO.: (52/2/1, TPS NO. 88, Vatva-2) 
VATVA, CITY: AHMEDABAD
GUJARAT

","INFRA-1","22 Apr 2016","22/04/2016","","","26/04/2016","","","28/04/2016","07/01/2017","29/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53074/2016&type=EC&ID=19535"
"3",2,"SIA/GJ/NCP/53076/2016","AHMEDABAD MUNICIPAL CORPORATION 
FP NO.: (50+50/1+53/1+ 11/5)/P, TPS NO. 88, 
VATVA, CITY: AHMEDABAD
GUJARAT
","INFRA-1","22 Apr 2016","22/04/2016","","","26/04/2016","","","28/04/2016","07/01/2017","29/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53076/2016&type=EC&ID=19537"
"4",3,"SIA/GJ/MIN/53100/2016","M/S.Harishbhai Naranbhai Chudashma","Non-Coal Mining","23 Apr 2016","23/04/2016","26/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53100/2016&type=EC&ID=19559"
"5",4,"SIA/GJ/NCP/53174/2016","ALPINE MOONLIGHT","INFRA-1","26 Apr 2016","26/04/2016","27/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53174/2016&type=EC&ID=19619"
"6",5,"SIA/GJ/NCP/53188/2016","Arihant Heights","INFRA-1","26 Apr 2016","26/04/2016","","","27/04/2016","","","28/04/2016","22/11/2016","29/10/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53188/2016&type=EC&ID=19628"
"7",6,"SIA/GJ/MIN/53228/2016","CHANDRESHKUMAR DADUBHAI BABARIYA","Non-Coal Mining","27 Apr 2016","27/04/2016","28/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53228/2016&type=EC&ID=19664"
"8",7,"SIA/GJ/NCP/53237/2016","Hindustan Textile Market","INFRA-1","27 Apr 2016","27/04/2016","","","28/04/2016","","","28/04/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53237/2016&type=EC&ID=19673"
"9",8,"SIA/GJ/NCP/75595/2018","Residential Building","INFRA-1","27 Jun 2018","27/06/2018","","","07/07/2018","","","09/07/2018","","31/12/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75595/2018&type=EC&ID=44665"
"10",9,"SIA/GJ/IND2/19729/2017","SABARI CHEMICALS EXPANSION PROJECT","Industrial Projects - 2","01 Jul 2018","01/07/2018","","","","","","","","03/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/19729/2017&type=EC&ID=44704"
"11",10,"SIA/GJ/MIN/3675/2015","navdurga quarry works","Non-Coal Mining","31 Oct 2015","31/10/2015","","","02/11/2015","","","10/11/2015","23/12/2015","21/12/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/3675/2015&type=EC&ID=9008"
"12",11,"SIA/GJ/MIN/927/2015","MAHADEVPURA (KHEDAVADA)ORDINARY SAND MINE","Non-Coal Mining","07 Aug 2015","07/08/2015","","","25/08/2015","","","02/09/2015","23/12/2015","21/12/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/927/2015&type=EC&ID=9016"
"13",12,"SIA/GJ/MIN/17292/2016","","Non-Coal Mining","28 Sep 2017","28/09/2017","","","17/10/2017","","","24/10/2017","","12/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/17292/2016&type=EC&ID=38759"
"14",13,"SIA/GJ/MIN/69998/2017","Jigneshbhai Lavjibhai sabhani","Non-Coal Mining","29 Sep 2017","29/09/2017","07/10/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/69998/2017&type=EC&ID=38772"
"15",14,"SIA/GJ/IND2/18433/2017","ROAQ Chemicals Pvt. Ltd.","Industrial Projects - 2","07 Oct 2017","07/10/2017","","","17/10/2017","","","26/10/2017","27/03/2018","14/12/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/18433/2017&type=EC&ID=38848"
"16",15,"SIA/GJ/NCP/70252/2017","Parshwa Exotica","INFRA-1","11 Oct 2017","11/10/2017","","","17/10/2017","","","06/11/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/70252/2017&type=EC&ID=38888"
"17",16,"SIA/GJ/IND2/30010/2018","Pooja Chemical Industries","Industrial Projects - 2","20 May 2021","20/05/2021","24/07/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/30010/2018&type=EC&ID=57217"
"18",17,"SIA/GJ/IND2/31404/2019","Avinash Industries","Industrial Projects - 2","10 Jul 2019","10/07/2019","24/07/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/31404/2019&type=EC&ID=57252"
"19",18,"SIA/GJ/IND2/38859/2019","Proposed 150000TPA Carbon black manufacturing and 16 MW Co-generation power plant","Industrial Projects - 2","15 Jul 2019","15/07/2019","","","18/07/2019","","","18/07/2019","11/09/2019","23/08/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/38859/2019&type=EC&ID=57269"
"20",19,"SIA/GJ/MIS/163968/2020","Ville Flora","INFRA-2","17 Jul 2020","17/07/2020","","","10/08/2020","","","23/08/2020","","31/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/163968/2020&type=EC&ID=116237"
"21",20,"SIA/GJ/MIN/40724/2016","KAMUBEN SONUBHAI OAD","Non-Coal Mining","13 Jan 2016","13/01/2016","","","18/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40724/2016&type=EC&ID=9572"
"22",21,"SIA/GJ/MIN/49612/2016","EXISTING MINOR MINERAL ORDINARY SAND
MINING LEASE PROJECT @ SR.NO.599,598,590 NI SAME PURNA RIVER-00.25.42 HA","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49612/2016&type=EC&ID=13412"
"23",22,"SIA/GJ/MIN/49630/2016","Maheshbhai Janubhai Bhadag","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49630/2016&type=EC&ID=13429"
