,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/GJ/NCP/93995/2019,SIA/GJ/25102/2019,Orchid Fantasia,ORCHID FANTASIA,EC Granted,EC,
2,2,SIA/GJ/MIN/48561/2016,,GHANSHYAMBHAI MERUBHAI JOGRANA,GHANSHYAMBHAI MERUBHAI JOGRANA,Delisted,EC,
3,3,SIA/GJ/MIN/48584/2016,,Dadabhai Nankubhai Dhadhal,DADABHAI NANKUBHAI DHADHAL,Delisted,EC,
4,4,SIA/GJ/MIN/48600/2016,,"""Mrs. Keshmira Anupkumar Vyas"" 01-37-00 ha",DIPAKKUMAR PRAVINCHANDRA VYAS,Delisted,EC,
5,5,SIA/GJ/MIN/48611/2016,,"PRADIPBHAI RAMKUBHAI DHADHAL
02-41-00 HA.
(14/05)",PRADIPBHAI RAMKUBHAI DHADHAL,Delisted,EC,
6,6,SIA/GJ/MIN/2602/2015,SIA/GJ/65910/2015,mustak mamad jat,OTHERS,EC Granted,EC,
7,7,SIA/GJ/MIN/3582/2015,SIA/GJ/107310/2015,Black trap Mine of  M/s. Shree Ram Stone Crusher (C/o. Kalpeshbhai Vinodrai Kotadiya),BLACK TRAP MINE OF SHREE RAM STONE CRUSHER,EC Granted,EC,
8,8,SIA/GJ/IND2/20541/2017,SIA/GJ/104708/2020,M/s. Akshar Chem (India)Ltd.,AKSHAR CHEM (INDIA) LIMITED,EC Granted,EC,
9,9,SIA/GJ/MIN/49034/2016,,Kishorbhai Ankubhai Khachar,KISHORBHAI ANKUBHAI KHACHAR,Delisted,EC,
10,10,SIA/GJ/MIN/49072/2016,,"""EXISTING ORDINARY SAND MINING LEASE PROJECT ( SR.NO -43,44,46,48,49 NI SAME PURNA RIVER - 2.00.00)
""",PRAVINBHAI V. PATEL,Delisted,EC,
1,11,SIA/GJ/MIN/49440/2016,,"EXISTING MINOR MINERAL ORDINARY SAND
MINING LEASE PROJECT @ SR.NO. 228 PAIKI 6 -2.00.00 khan no.1",BALVATSINH MADHUBHAI SOLANKI,Delisted,EC,
