,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/GJ/NCP/51116/2016,SIA/GJ/55303/2016,"AMC EWS Housing Project, 
F.P. No.223, T.P.S. NO.113 VASTRAL, AHMEDABAD-382 418
",Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for TOR: ,Date of Submission for EC: 05 Mar 2016 ,INFRA-1,MEET ASSOCIATES,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/NCP/51116/2016&pid=14882,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/51116/2016&type=EC&ID=14882
1,SIA/GJ/MIN/34325/2015,SIA/GJ/147312/2015,Kadarkhan abdulshakur Pathan,Gujarat,Bharuch,Jhagadia,Date of Submission for TOR: ,Date of Submission for EC: 12 Dec 2015 ,Non-Coal Mining,KADARKHAN ABDULSHAKUR PATHAN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/34325/2015&pid=3734,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34325/2015&type=EC&ID=3734
2,SIA/GJ/MIN/34359/2015,,sand mine of vijaybhai panchabhai bharai,Gujarat,Junagarh,Vanthali,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,VIJAYBHAI PANCHABHAI BHARAI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/34359/2015&pid=3763,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34359/2015&type=EC&ID=3763
3,SIA/GJ/MIN/34421/2015,SIA/GJ/152712/2015,Bipin Dhirajlal Chande,Gujarat,kutch,Bhachau,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2015 ,Non-Coal Mining,KIRSHNA MINERAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/34421/2015&pid=3824,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34421/2015&type=EC&ID=3824
4,SIA/GJ/MIN/48165/2016,,NARANBHAI MELABHAI OAD,Gujarat,Surat,Mandvi,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2016 ,Non-Coal Mining,NARANBHAI MELABHAI OAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48165/2016&pid=12001,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48165/2016&type=EC&ID=12001
5,SIA/GJ/MIN/48184/2016,,MENSHIBHAI NARANBHAI JOGAL,Gujarat,Rajkot,Gondal,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2016 ,Non-Coal Mining,RAMNIKBHAI LALJIBHAI THANKI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48184/2016&pid=12021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48184/2016&type=EC&ID=12021
6,SIA/GJ/MIN/1842/2015,SIA/GJ/34009/2015,Building Lime Stone Project of Malsinh Udesinh Chauhan,Gujarat,Mahesana,Satlasana,Date of Submission for EC: 05 Sep 2015 ,Date of Ec Granted : 30 Nov 2015,Non-Coal Mining,MALSINH UDESINH CHAUHAN,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/1842/2015&pid=3477,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/1842/2015&type=EC&ID=3477
7,SIA/GJ/IND2/34668/2019,SIA/GJ/147608/2021,M/s. Kemz Resibond Pvt. Ltd,Gujarat,Vadodara,Dabhoi,Date of Submission for TOR: ,Date of Submission for EC: 06 Oct 2021 ,Industrial Projects - 2,KEMZ RESIBOND PVT. LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/34668/2019&pid=190213,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/34668/2019&type=EC&ID=190213
8,SIA/GJ/MIN/30613/2015,,,Gujarat,Amreli,Bagasara,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2015 ,Non-Coal Mining,MS HARE KRISHNA CORPORATION,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/30613/2015&pid=731,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/30613/2015&type=EC&ID=731
9,SIA/GJ/MIN/59172/2016,,Purbai Velji Patel,Gujarat,kutch,Mandvi,Date of Submission for TOR: ,Date of Submission for EC: 21 Sep 2016 ,Non-Coal Mining,SHIV ENTERPRISE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/59172/2016&pid=31749,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59172/2016&type=EC&ID=31749
10,SIA/GJ/MIS/146261/2020,SIA/GJ/24103/2020,Kansas Devasya,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 03 Mar 2020 ,Date of Ec Granted : 02 Jul 2021,INFRA-2,KANSAS DEVASYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/146261/2020&pid=94963,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/146261/2020&type=EC&ID=94963
11,SIA/GJ/MIS/118742/2019,SIA/GJ/110510/2019,Warehouse,Gujarat,Kheda,Kheda,Date of Submission for EC: 06 Jan 2020 ,Date of Ec Granted : 16 Dec 2020,INFRA-2,WAREHOUSE,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/118742/2019&pid=64850,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/118742/2019&type=EC&ID=64850
12,SIA/GJ/IND2/36415/2005,,M/s. A-One Chemicals,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 02 Oct 2019 ,Industrial Projects - 2,A ONE CHEMICALS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/36415/2005&pid=55779,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/36415/2005&type=EC&ID=55779
13,SIA/GJ/MIN/38588/2019,,V C MODHWADIA,Gujarat,Jamnagar,Jamnagar,Date of Submission for TOR: ,Date of Submission for EC: 03 Jul 2019 ,Non-Coal Mining,VCMODHWADIA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/38588/2019&pid=57136,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38588/2019&type=EC&ID=57136
14,SIA/GJ/IND2/176323/2020,SIA/GJ/173809/2020,M/s. Nirav Corporation,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2020 ,Industrial Projects - 2,M/S. NIRAV CORPORATION,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/176323/2020&pid=135288,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176323/2020&type=EC&ID=135288
15,SIA/GJ/MIS/56971/2016,,Kheemji kalyanjibhai,Gujarat,Surat,Surat City,Date of Submission for TOR: ,Date of Submission for EC: 02 Jul 2016 ,INFRA-2,KHEEMJI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/56971/2016&pid=23073,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/56971/2016&type=EC&ID=23073
16,SIA/GJ/MIN/36390/2015,SIA/GJ/175412/2015,Gopal Rupa Gangal,Gujarat,kutch,Bhuj,Date of Submission for TOR: ,Date of Submission for EC: 28 Dec 2015 ,Non-Coal Mining,SHARAD GROUP,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/36390/2015&pid=5560,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/36390/2015&type=EC&ID=5560
17,SIA/GJ/MIS/31518/2017,,PRATHAM RIVIERA,Gujarat,Vadodara,Vadodara,Date of Submission for TOR: ,Date of Submission for EC: 19 Dec 2019 ,INFRA-2,PRATHAM DEVELOPERS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/31518/2017&pid=53117,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/31518/2017&type=EC&ID=53117
18,SIA/GJ/MIN/38783/2016,SIA/GJ/25901/2016,virendrabhai lakhubhai gadhvi,Gujarat,kutch,Mandvi,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2016 ,Non-Coal Mining,SHIV ENTERPRISE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/38783/2016&pid=7826,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38783/2016&type=EC&ID=7826
19,SIA/GJ/MIN/58495/2016,,Pravinbhai Mahijibhai Oad,Gujarat,CHHOTA UDAIPUR,Jetpur Pavi,Date of Submission for TOR: ,Date of Submission for EC: 15 Oct 2016 ,Non-Coal Mining,PRAVINBHAI MAHIJIBHAI OAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/58495/2016&pid=24478,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58495/2016&type=EC&ID=24478
20,SIA/GJ/NCP/62572/2017,SIA/GJ/15402/2017,Shilpan Icon,Gujarat,Rajkot,Rajkot,Date of Submission for EC: 16 Feb 2017 ,Date of Ec Granted : 30 Apr 2017,INFRA-1,SHILPAN ICON,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/NCP/62572/2017&pid=34188,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/62572/2017&type=EC&ID=34188
21,SIA/GJ/MIN/42597/2016,,"Black Trap Mine, S.NO. 129",Gujarat,Bharuch,Jhagadia,Date of Submission for TOR: ,Date of Submission for EC: 29 Jan 2016 ,Non-Coal Mining,JAY MATAJI STONE QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/42597/2016&pid=11326,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42597/2016&type=EC&ID=11326
