,Unnamed: 0,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,SIA/HR/MIS/103921/2019,SEIAA/HR/19/126,Affordable Residential Plotted Colony (Site 3),M/S SIGNATURE GLOBAL HOMES PVT LTD,Delisted,EC,, 
1,2,SIA/HR/MIS/219795/2021,File No. SEIAA/HR/2021/436 has been assigned.,"Proposed Affordable Group Housing Colony village- Badha & Sikanderpur Badha, Sector-85, Gurugram, Haryana by M/s Conmin Projects India Pvt. Ltd.",CONMIN PROJECTS INDIA PRIVATE LIMITED,Rejection Letter Granted,EC,, 
2,3,SIA/HR/MIS/196647/2021,SEIAA/HR/2020/363 hard copy to be submitted,Expansion of Affordable Group Housing,SIGNATURE GLOBAL (INDIA) PRIVATE LIMITED,EC Granted,EC,, 
3,4,SIA/HR/MIS/220395/2021,file No. SEIAA/HR/2021/446 has been assigned,"Construction of “Independent Floors” at DLF Alameda at Village- Behrampur & Begampur Khatola, Sector-73, Gurugram, Haryana by M/s DLF Home Developers Ltd. & Others.",M/S DLF HOME DEVELOPERS LTD. & OTHERS.,EC Granted,EC,, 
4,5,SIA/HR/IND2/63957/2019,FIle No. SEIAA/HR/19/180 has been assigned. Hard c,Establish of new 5000 TCD sugar mill plant,PANIPAT COOPERATIVE SUGAR MILLS LIMITED,Rejection Letter Granted,EC,, 
5,6,SIA/HR/MIS/112219/2019,SEIAA/HR/19/186 hard copy has to be submitted,Sh. Hemant Kumar & Others,SH. HEMANT KUMAR & OTHERS,EC Granted - Processed offline,EC,, 
6,7,SIA/HR/MIS/34106/2011,SEIAA/HR/19/149 hard copy to be submitted,NAYATI HEALTHCARE AND RESEARCH NCR PVT LTD,NAYATI HEALTHCARE AND RESEARCH NCR PVT.LTD.,EC Granted,EC,, 
7,8,SIA/HR/MIS/34510/2018,SEIAA/HR/19/90 EIA report to be submitted in Hard,Development of Integrated Multi Modal Logistic Hub (IMLH),DMIC HARYANA MULTI MODAL LOGISTIC HUB PROJECT LIMITED,EC Granted,EC,, 
8,9,SIA/HR/MIS/52095/2019,SEIAA/HR/19/140 hard copy to be submitted,upgradation of existing CETP from 5 MLD to 10 MLD,HSIIDC,EC Granted,EC,, 
9,10,SIA/HR/IND2/59655/2005,SEIAA/HR/2020/345,"PROPOSED MANUFACTURING UNIT OF 250 M.T PER DAY FORMALDEHYDE AT PLOT NO. 132, SEC-1, PHASE-I, GROWTH CENTRE SAHA (APPROVED INDUSTRIAL AREA), AMBALA, HARYANA BY M/S SHYAM INDUSTRIES",M/S SHYAM INDUSTRIES,EC Granted,EC,, 
10,11,SIA/HR/MIS/279545/2022,SEIAA/HR/2022/214,"Proposed Commercial complex on land admeasuring 14326.37 sqm situated at site / building no.4, Sector 43, urban Estate Gurgaon II, Gurugram, Haryana",LEKH BUILDTECH PRIVATE LIMITED,EC Granted,EC,, 
11,12,SIA/HR/MIS/283695/2022,SEIAA/HR/2022/225,Commercial Colony in Sector-89 Gurugram,RECEPTIVE BUILDWELL LLP,EC Granted,EC,, 
