,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/HR/MIS/103921/2019,SEIAA/HR/19/126,Affordable Residential Plotted Colony (Site 3),Haryana,Gurgaon,Sohna,Date of Submission for TOR: ,Date of Submission for EC: 30 Apr 2019 ,INFRA-2,M/S SIGNATURE GLOBAL HOMES PVT LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/103921/2019&pid=55269,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/103921/2019&type=EC&ID=55269
1,SIA/HR/MIS/219795/2021,File No. SEIAA/HR/2021/436 has been assigned.,"Proposed Affordable Group Housing Colony village- Badha & Sikanderpur Badha, Sector-85, Gurugram, Haryana by M/s Conmin Projects India Pvt. Ltd.",Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 13 Jul 2021 ,INFRA-2,CONMIN PROJECTS INDIA PRIVATE LIMITED,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/219795/2021&pid=189221,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/219795/2021&type=EC&ID=189221
2,SIA/HR/MIS/196647/2021,SEIAA/HR/2020/363 hard copy to be submitted,Expansion of Affordable Group Housing,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 05 Feb 2021 ,Date of Ec Granted : 13 Jul 2021,INFRA-2,SIGNATURE GLOBAL (INDIA) PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/196647/2021&pid=162944,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/196647/2021&type=EC&ID=162944
3,SIA/HR/MIS/220395/2021,file No. SEIAA/HR/2021/446 has been assigned,"Construction of “Independent Floors” at DLF Alameda at Village- Behrampur & Begampur Khatola, Sector-73, Gurugram, Haryana by M/s DLF Home Developers Ltd. & Others.",Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 16 Jul 2021 ,Date of Ec Granted : 12 Nov 2021,INFRA-2,M/S DLF HOME DEVELOPERS LTD. & OTHERS.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/220395/2021&pid=189306,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/220395/2021&type=EC&ID=189306
4,SIA/HR/IND2/63957/2019,FIle No. SEIAA/HR/19/180 has been assigned. Hard c,Establish of new 5000 TCD sugar mill plant,Haryana,Panipat,Israna,Date of Submission for TOR: ,Date of Submission for EC: 19 Jun 2021 ,Industrial Projects - 2,PANIPAT COOPERATIVE SUGAR MILLS LIMITED,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/IND2/63957/2019&pid=188426,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/IND2/63957/2019&type=EC&ID=188426
5,SIA/HR/MIS/112219/2019,SEIAA/HR/19/186 hard copy has to be submitted,Sh. Hemant Kumar & Others,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 25 Jul 2019 ,Date of Ec Granted : 26 May 2020,INFRA-2,SH. HEMANT KUMAR & OTHERS,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/112219/2019&pid=58727,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/112219/2019&type=EC&ID=58727
6,SIA/HR/MIS/34106/2011,SEIAA/HR/19/149 hard copy to be submitted,NAYATI HEALTHCARE AND RESEARCH NCR PVT LTD,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 13 May 2019 ,Date of Ec Granted : 04 Jun 2020,INFRA-2,NAYATI HEALTHCARE AND RESEARCH NCR PVT.LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/34106/2011&pid=54490,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/34106/2011&type=EC&ID=54490
7,SIA/HR/MIS/34510/2018,SEIAA/HR/19/90 EIA report to be submitted in Hard ,Development of Integrated Multi Modal Logistic Hub (IMLH),Haryana,Mahendragarh,Narnaul,Date of Submission for EC: 23 Apr 2019 ,Date of Ec Granted : 11 Sep 2019,INFRA-2,DMIC HARYANA MULTI MODAL LOGISTIC HUB PROJECT LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/34510/2018&pid=54672,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/34510/2018&type=EC&ID=54672
8,SIA/HR/MIS/52095/2019,SEIAA/HR/19/140 hard copy to be submitted,upgradation of existing CETP from 5 MLD to 10 MLD,Haryana,Sonipat,Sonipat,Date of Submission for EC: 24 Jul 2020 ,Date of Ec Granted : 01 Jul 2021,INFRA-2,HSIIDC,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/52095/2019&pid=95275,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/52095/2019&type=EC&ID=95275
9,SIA/HR/IND2/59655/2005,SEIAA/HR/2020/345,"PROPOSED MANUFACTURING UNIT OF 250 M.T PER DAY FORMALDEHYDE AT PLOT NO. 132, SEC-1, PHASE-I, GROWTH CENTRE SAHA (APPROVED INDUSTRIAL AREA), AMBALA, HARYANA BY M/S SHYAM INDUSTRIES",Haryana,Ambala,Ambala,Date of Submission for EC: 06 Jan 2021 ,Date of Ec Granted : 13 Jul 2021,Industrial Projects - 2,M/S SHYAM INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/IND2/59655/2005&pid=156800,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/IND2/59655/2005&type=EC&ID=156800
10,SIA/HR/MIS/279545/2022,SEIAA/HR/2022/214,"Proposed Commercial complex on land admeasuring 14326.37 sqm situated at site / building no.4, Sector 43, urban Estate Gurgaon II, Gurugram, Haryana",Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 22 Jun 2022 ,Date of Ec Granted : 13 Oct 2022,INFRA-2, LEKH BUILDTECH PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/279545/2022&pid=207932,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/279545/2022&type=EC&ID=207932
11,SIA/HR/MIS/283695/2022,SEIAA/HR/2022/225,Commercial Colony in Sector-89 Gurugram,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 16 Jul 2022 ,Date of Ec Granted : 05 Dec 2022,INFRA-2, RECEPTIVE BUILDWELL LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Haryana&pno=SIA/HR/MIS/283695/2022&pid=208931,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/283695/2022&type=EC&ID=208931
