,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/HR/IND2/52046/2020,SEIAA/HR/2020/266,Haryana,Ambala,Ambala,Date of Submission : 05 Mar 2020,Date of TOR Granted : 16 Mar 2020,Industrial Projects - 2,M/S GAYATRI INDUSTRIES,TOR Granted
1,SIA/HR/IND2/55031/2020,SEIAA/HR/2020/304 hard copy to be submitted,Haryana,Karnal,Karnal,Date of Submission : 24 Jul 2020,Date of TOR Granted : 07 Aug 2020,Industrial Projects - 2,KARNAL CO-OPERATIVE SUGAR MILL LTD,TOR Granted
2,SIA/HR/THE/55040/2020,SEIAA/HR/2020/303 hard copy to be submitted,Haryana,Karnal,Karnal,Date of Submission : 24 Jul 2020,Date of TOR Granted : 05 Jan 2021,Thermal Projects,KARNAL CO-OPERATIVE SUGAR MILL LTD,TOR Granted
3,SIA/HR/NCP/53081/2020,SEIAA/HR/2020/270 hard copy to be submitted,Haryana,Gurgaon,Gurgaon,Date of Submission : 09 May 2020,Date of TOR Granted : 20 May 2020,INFRA-1,M/S DASHMESH EDUCATIONAL CHARITABLE TRUST,TOR Granted
4,SIA/HR/NCP/22988/2018,SEIAA/HR/VIO/18/13 dated 19.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 13 Sep 2017,Date of TOR Granted : 11 Sep 2018,INFRA-1,PARSVNATH DEVELOPERS LTD,TOR Granted - Processed offline
5,SIA/HR/NCP/22989/2018,SEIAA/HR/VIO/18/11 dated 19.04.2018. Please submit,Haryana,Karnal,Karnal,Date of Submission : 12 Sep 2017,Date of TOR Granted : 09 Oct 2017,INFRA-1,M/S ANSAL LANDMARK (KARNAL) TOWNSHIP PRIVATE LIMITED.,TOR Granted - Processed offline
6,SIA/HR/NCP/22990/2018,SEIAA/HR/VIO/18/10 dated 17.04.2018.,Haryana,Rewari,Rewari,Date of Submission : 11 Sep 2017,Date of TOR Granted : 11 Oct 2017,INFRA-1,MUDRA FINANCE LTD,TOR Granted - Processed offline
7,SIA/HR/NCP/22991/2018,SEIAA/HR/VIO/18/09 dated 17.04.2018. Please submit,Haryana,Gurgaon,Manesar,Date of Submission : 09 Sep 2017,Date of TOR Granted : 14 Nov 2017,INFRA-1,RESOLVE ESTATE PRIVATE LIMITED,TOR Granted - Processed offline
8,SIA/HR/NCP/22996/2018,SEIAA/HR/VIO/18/06 dated 16.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 02 Sep 2017,Date of TOR Granted : 01 Dec 2017,INFRA-1,JMD LIMITED,TOR Granted - Processed offline
9,SIA/HR/NCP/22999/2018,SEIAA/HR/VIO/18/05 dated 16.04.2018. Please submit,Haryana,Gurgaon,Manesar,Date of Submission : 23 Aug 2017,Date of TOR Granted : 06 Nov 2017,INFRA-1,INDIA LAND AND SPACE LOGISTICS PVT. LTD.,TOR Granted - Processed offline
10,SIA/HR/MIS/19498/2017,SEIAA/HR/17/333 dated 13.06..2017,Haryana,Faridabad,Ballabgarh,Date of Submission : 01 Jun 2017,Date of TOR Granted : 14 Aug 2017,INFRA-2,GOLDEN EAGLE WASTE MANAGEMENT COMPANY,TOR Granted - Processed offline
11,SIA/HR/NCP/57457/2020,SEIAA/HR/2020/329 hard copy to be s ubmitted,Haryana,Yamunanagar,Jagadhri,Date of Submission : 14 Oct 2020,No Date,INFRA-1,HARYANA INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,WithdrawTOR
12,SIA/HR/IND/21404/2017,To be assigned,Haryana,Gurgaon,Pataudi,Date of Submission : 20 Dec 2017,No Date,Industrial Projects - 1,MITSUBA SICAL INDIA LTD,Delisted
13,SIA/HR/MIS/18436/2017,SEIAA/HR/17/319 dated 16.02.2017,Haryana,Palwal,Palwal,Date of Submission : 04 Feb 2017,Date of TOR Granted : 12 Jun 2017,INFRA-2,PUBLIC HEALTH ENGG DIVISION,TOR Granted - Processed offline
14,SIA/HR/NCP/23002/2018,SEIAA/HR/VIO/18/02 dated 16.04.2018. Please submit,Haryana,Gurgaon,Sohna,Date of Submission : 27 Jul 2017,Date of TOR Granted : 10 Oct 2017,INFRA-1,GOLDEN GLOW ESTATE,TOR Granted - Processed offline
15,SIA/HR/NCP/23004/2018,SEIAA/HR/VIO/18/01 dated 16.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 08 May 2017,Date of TOR Granted : 07 Aug 2017,INFRA-1,RAHEJA DEVELOPERS LIMITED,TOR Granted - Processed offline
16,SIA/HR/NCP/23382/2018,SEIAA/HR/VIO/18/12 dated 19.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 13 Sep 2017,Date of TOR Granted : 12 Dec 2017,INFRA-1,VATIKA LIMITED,TOR Granted - Processed offline
17,SIA/HR/NCP/23383/2018,SEIAA/HR/VIO/18/08 dated 16.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 07 Sep 2017,Date of TOR Granted : 02 Oct 2017,INFRA-1,MALIBU ESTATE PVT LTD,TOR Granted - Processed offline
18,SIA/HR/NCP/23384/2018,SEIAA/HR/VIO/18/07 dated 16.04.2018. Please submit,Haryana,Gurgaon,Gurgaon,Date of Submission : 04 Sep 2017,Date of TOR Granted : 10 Apr 2018,INFRA-1,RAMPRASTHA PROMOTERS & DEVELOPERS PVT. LTD.,TOR Granted - Processed offline
19,SIA/HR/MIS/67241/2021,SEIAA/HR/2021/464,Haryana,Faridabad,Faridabad,Date of Submission : 29 Oct 2021,Date of TOR Granted : 08 Nov 2021,INFRA-2,M/S COSMIC WASTE SOLUTIONS LLP,TOR Granted
