,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/HR/MIN/21588/2018,SEIAA/HR/MIN/18/174 dated 23.01.2018,"Mining of Boulder,Gravel and Sand Minor Mineral at Natwal Block PKL B 17 by M/s Vishnu Enterprises with Production Capacity of 13,30,000 TPA.",VISHNU ENTERPRISES,TOR Granted - Processed offline,TOR,
2,2,SIA/HR/NCP/54743/2020,SEIAA/HR/2020/301 hard copy to be submitted,Expansion of Institutional Project NCR Biotech Science Cluster Phase-II,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE THSTI,TOR GRANTED,TOR,
3,3,SIA/HR/NCP/53872/2020,SEIAA/HR/2020/284 hard copy to be submitted,Residential Colony Project (New Integrated Licensing Policy),M/S KARMA LAKELANDS PVT. LTD.,TOR Granted,TOR,
4,4,SIA/HR/NCP/53081/2020,SEIAA/HR/2020/270 hard copy to be submitted,"Expansion of “SGT University” (Medical College cum Hospital and Research Institute) at Village-Budhera Dist.-Gurugram, Haryana",M/S DASHMESH EDUCATIONAL CHARITABLE TRUST,TOR GRANTED,TOR,
5,5,SIA/HR/NCP/22988/2018,SEIAA/HR/VIO/18/13 dated 19.04.2018. Please submit,"Expansion of Group Housing Project ""Parsvnath Exotica Phase-II"" at village Wazirabad, Sector-53, Gurugram.",PARSVNATH DEVELOPERS LTD,TOR Granted - Processed offline,TOR,
6,6,SIA/HR/NCP/22989/2018,SEIAA/HR/VIO/18/11 dated 19.04.2018. Please submit,"Construction of Proposed Integrated Residential Colony (Plotted & Group Housing) “SUSHANT CITY /ROYALE” at Sector-35/36, Karnal, Haryana",M/S ANSAL LANDMARK (KARNAL) TOWNSHIP PRIVATE LIMITED.,TOR Granted - Processed offline,TOR,
7,7,SIA/HR/NCP/22990/2018,SEIAA/HR/VIO/18/10 dated 17.04.2018.,"EC of Residential Project “Vipul Gardens” located in Sector-1, Village-Dharuhera, District–Rewari, Haryana",MUDRA FINANCE LTD,TOR Granted - Processed offline,TOR,
8,8,SIA/HR/NCP/22991/2018,SEIAA/HR/VIO/18/09 dated 17.04.2018. Please submit,Group Housing Colony,RESOLVE ESTATE PRIVATE LIMITED,TOR Granted - Processed offline,TOR,
9,9,SIA/HR/NCP/22996/2018,SEIAA/HR/VIO/18/06 dated 16.04.2018. Please submit,"Commercial Complex “JMD The Regent” at village  Nangli Umarpur, Sector-62,Gurugram, Haryanaby M/s. JMD Limited",JMD LIMITED,TOR Granted - Processed offline,TOR,
10,10,SIA/HR/NCP/22999/2018,SEIAA/HR/VIO/18/05 dated 16.04.2018. Please submit,Warehouse Project by M/s India Land and Space Logistics Pvt. Ltd.,INDIA LAND AND SPACE LOGISTICS PVT. LTD.,TOR Granted - Processed offline,TOR,
1,11,SIA/HR/NCP/23000/2018,SEIAA/HR/VIO/18/03 dated 16.04.2018. Please submit,"Commercial Colony Project at plot no.M-1, Village- Samaspur, Bindapur, Sector-51, Mayfield Garden, Gurgaon, and Haryana",SUNVISION BUILDERS PVT LTD,TOR Granted - Processed offline,TOR,
2,12,SIA/HR/MIN/4608/2015,To be assigned,"Mining of Stone along with Associated Minor Minerals at Bakhrija Plot-4, Tehsil-Naranul, District-Mahendergarh, Haryana by M/s Gradient Business Consulting Pvt. Ltd.",GRADIENT BUSINESS CONSULTING PVT LTD,Delisted,TOR,
3,13,SIA/HR/MIN/52471/2020,SEIAA/HR/MIN/19/11 hard copy to be submitted,"Capacity Enhancement from 81,66,000 TPA To 1,20,00,000 TPA  for Mining of “Stone” along with Associated Minor Minerals and Mineral Beneficiation & Processing Unit (2X300TPH) at Village Kheribattar Plot-2, Tehsil-Dadri, District Charkhi Dadri, Haryana by M/s ASD-RKC J.V",M/S ASD-RKC J.V.,TOR GRANTED,TOR,
4,14,SIA/HR/NCP/21933/2018,SEIAA/HR/18/393  dated 20.02.2018. Please submit t,Modification and Expansion of Residential Plotted colony,MS FANTABULOUS TOWN PLANNERS PVT LTD,TOR Granted - Processed offline,TOR,
5,15,SIA/HR/NCP/54971/2020,SEIAA/HR/2020/298,Mix Used Development project (MUD) by M/s IKEA India Pvt Ltd,IKEA INDIA PVT LTD,TOR Granted,TOR,
6,16,SIA/HR/NCP/25659/2018,SEIAA/HR/18/ 410 dated 23.04.2018. Please submit t,"Buildings C,D, E & F as Expansion of ""DLF Cyber City”",M/S DLF CYBER CITY DEVELOPERS LIMITED,TOR Granted - Processed offline,TOR,
7,17,SIA/HR/NCP/25662/2018,SEIAA/HR/18/ 405 dated 23.04.2018. Please submit t,Integrated Multi Modal Logistics Hub (IMLH),DMIC HARYANA MULTI MODAL LOGISTIC HUB PROJECT LIMITED,TOR Granted - Processed offline,TOR,
