"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1","SIA/HR/IND2/52046/2020","SEIAA/HR/2020/266","M/s Gayatri Industries","M/S GAYATRI INDUSTRIES","TOR GRANTED","TOR",NA
"2","SIA/HR/IND2/55031/2020","SEIAA/HR/2020/304 hard copy to be submitted","Expansion & Modernization of sugar plant  from 2200TCD to 3500 TCD (expandable to 5000 TCD) at Village- Sheikhpura Jagir, Tehsil & District- Karnal, Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd.","KARNAL CO-OPERATIVE SUGAR MILL LTD","TOR GRANTED","TOR",NA
"3","SIA/HR/THE/55040/2020","SEIAA/HR/2020/303 hard copy to be submitted","Proposed 18MW Cogeneration power plant at village- Sheikhpura  Jagir, Tehsil & District- Karnal ,  Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd","KARNAL CO-OPERATIVE SUGAR MILL LTD","TOR Granted","TOR",NA
"4","SIA/HR/NCP/53081/2020","SEIAA/HR/2020/270 hard copy to be submitted","Expansion of “SGT University” (Medical College cum Hospital and Research Institute) at Village-Budhera Dist.-Gurugram, Haryana","M/S DASHMESH EDUCATIONAL CHARITABLE TRUST","TOR GRANTED","TOR",NA
"5","SIA/HR/NCP/22988/2018","SEIAA/HR/VIO/18/13 dated 19.04.2018. Please submit","Expansion of Group Housing Project ""Parsvnath Exotica Phase-II"" at village Wazirabad, Sector-53, Gurugram.","PARSVNATH DEVELOPERS LTD","TOR Granted - Processed offline","TOR",NA
"6","SIA/HR/NCP/22989/2018","SEIAA/HR/VIO/18/11 dated 19.04.2018. Please submit","Construction of Proposed Integrated Residential Colony (Plotted & Group Housing) “SUSHANT CITY /ROYALE” at Sector-35/36, Karnal, Haryana","M/S ANSAL LANDMARK (KARNAL) TOWNSHIP PRIVATE LIMITED.","TOR Granted - Processed offline","TOR",NA
"7","SIA/HR/NCP/22990/2018","SEIAA/HR/VIO/18/10 dated 17.04.2018.","EC of Residential Project “Vipul Gardens” located in Sector-1, Village-Dharuhera, District–Rewari, Haryana","MUDRA FINANCE LTD","TOR Granted - Processed offline","TOR",NA
"8","SIA/HR/NCP/22991/2018","SEIAA/HR/VIO/18/09 dated 17.04.2018. Please submit","Group Housing Colony","RESOLVE ESTATE PRIVATE LIMITED","TOR Granted - Processed offline","TOR",NA
"9","SIA/HR/NCP/22996/2018","SEIAA/HR/VIO/18/06 dated 16.04.2018. Please submit","Commercial Complex “JMD The Regent” at village  Nangli Umarpur, Sector-62,Gurugram, Haryanaby M/s. JMD Limited","JMD LIMITED","TOR Granted - Processed offline","TOR",NA
"10","SIA/HR/NCP/22999/2018","SEIAA/HR/VIO/18/05 dated 16.04.2018. Please submit","Warehouse Project by M/s India Land and Space Logistics Pvt. Ltd.","INDIA LAND AND SPACE LOGISTICS PVT. LTD.","TOR Granted - Processed offline","TOR",NA
"11","SIA/HR/MIS/19498/2017","SEIAA/HR/17/333 dated 13.06..2017","Common Bio-Medical Waste Treatment Facility","GOLDEN EAGLE WASTE MANAGEMENT COMPANY","TOR Granted - Processed offline","TOR",NA
"12","SIA/HR/NCP/57457/2020","SEIAA/HR/2020/329 hard copy to be s ubmitted","Proposed Development of  Industrial Estate (Phase-II) at Sector- 30, 30-A, 31 & 32 at Manakpur, Jagadhri Haryana by Haryana Industrial and Infrastructure Development Corporation Ltd.","HARYANA INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.","WithdrawTOR","TOR",NA
"13","SIA/HR/IND/21404/2017","To be assigned","MITSUBA SICAL INDIA LTD","MITSUBA SICAL INDIA LTD","Delisted","TOR",NA
"14","SIA/HR/MIS/18436/2017","SEIAA/HR/17/319 dated 16.02.2017","Construction of 4.0 MLD Sewerage Plant   Public Health Engineering Division-III, Palwal, Haryana","PUBLIC HEALTH ENGG DIVISION","TOR Granted - Processed offline","TOR",NA
"15","SIA/HR/NCP/23002/2018","SEIAA/HR/VIO/18/02 dated 16.04.2018. Please submit","Group Housing Project By M/s Golden Glow Estates Pvt. Ltd.","GOLDEN GLOW ESTATE","TOR Granted - Processed offline","TOR",NA
"16","SIA/HR/NCP/23004/2018","SEIAA/HR/VIO/18/01 dated 16.04.2018. Please submit","Modification and Expansion of Group Housing Project ""Atharva""","RAHEJA DEVELOPERS LIMITED","TOR Granted - Processed offline","TOR",NA
"17","SIA/HR/NCP/23382/2018","SEIAA/HR/VIO/18/12 dated 19.04.2018. Please submit","Expansion of Residential Colony “Vatika India Next” being developed by M/s Vatika Ltd.","VATIKA LIMITED","TOR Granted - Processed offline","TOR",NA
"18","SIA/HR/NCP/23383/2018","SEIAA/HR/VIO/18/08 dated 16.04.2018. Please submit","Residential Plotted Colony along with Group Housing Component by M/s Malibu Estate Pvt Ltd.","MALIBU ESTATE PVT LTD","TOR Granted - Processed offline","TOR",NA
"19","SIA/HR/NCP/23384/2018","SEIAA/HR/VIO/18/07 dated 16.04.2018. Please submit","Ramprastha Promoters & Developers Pvt. Ltd.","RAMPRASTHA PROMOTERS & DEVELOPERS PVT. LTD.","TOR Granted - Processed offline","TOR",NA
"20","SIA/HR/MIS/67241/2021","SEIAA/HR/2021/464","Proposed Common Biomedical Waste Treatment Facility (CBWTF) at Plot No.2, Sector-27C, Faridabad, Haryana by M/s. Cosmics Waste Solutions LLP","M/S COSMIC WASTE SOLUTIONS LLP","TOR GRANTED","TOR",NA
"21","SIA/HR/IND2/4412/2015","SEIAA/HR/15/242 dated 20.11.2015.","Suntril Pharmaceuticals Pvt. Ltd.","SUNTRIL PHARMACEUTICALS PVT LTD","TOR Granted - Processed offline","TOR",NA
"22","SIA/HR/NCP/11032/2016","To be assigned","Educational Project “BPS Mahila Vishwavidyalaya” located at Khanpur Kalan, Sonipat, Haryana.","BHAGAT PHOOL SINGH MAHILA VISHWAVIDYALAYA","Delisted","TOR",NA
"23","SIA/HR/MIS/63304/2021","SEIAA/HR/2021/409 Hard copy to be submitted by the","“Affordable Plotted Housing Colony under Deen Dayal Jan Awas Yojana (DDJAY) over land area measuring 26.957 acres in Sector 93, Village Hayatpur, Sub Tehsil Hasaru, District Gurugram","M/S DLF LIMITED","TOR Granted","TOR",NA
"24","SIA/HR/IND3/63318/2021","SEIAA/HR/2021/413.","Manufacturing of Formaldehyde 80 TPD at Plot No. 83, Sec-1, Phase-I, Growth Centre Saha (Approved Industrial Area), Ambala, Haryana by M/s Gayatri Industries.","M/S GAYATRI INDUSTRIES","TOR GRANTED","TOR",NA
"25","SIA/HR/IND3/63305/2021","SEIAA/HR/2021/414","Capacity Expansion of Formaldehyde Manufacturing Unit in existing facility from 100 TPD to 120 TPD at Plot No. M-28 & E-57, Industrial area Yamunanagar, Haryana by M/s Globe Panel Industries India Pvt. Ltd., Unit-III","M/S GLOBE PANEL INDUSTRIES INDIA PVT. LTD. UNIT-III","TOR GRANTED","TOR",NA
"26","SIA/HR/IND3/63311/2021","SEIAA/HR/2021/416 hard copy to be submitted","Environment Clearance for Capacity Expansion of Formaldehyde Manufacturing Unit in Existing Facility from 80 TPD to 250 TPD at Plot No.211, HSIIDC Industrial Estate, Manakpur, Jagadhri, Distt. Yamuna Nagar (H.R) by M/s Sanwaria Polymer Industries Pvt. Ltd.","M/S SANWARIA POLYMERS INDUSTRIES PVT. LTD.","TOR GRANTED","TOR",NA
"27","SIA/HR/NCP/21846/2018","SEIAA/HR/18/389 dated 16.02.2018. Please submit th","Expansion of Commercial Cum Residential Colony (Mix Land Use), at Sector 79, Omaxe City Centre, Faridabad, Haryana","ROBUST BUILDWELL PVT LTD","TOR Granted - Processed offline","TOR",NA
"28","SIA/HR/NCP/53358/2020","SEIAA/HR/2020/282 hard copy to be submitted","Proposed Construction of Road & Parking in Sector- 25 (Resi.), Rohtak","HUDA ROHTAK","TOR Granted - Processed offline","TOR",NA
"29","SIA/HR/MIN/9447/2016","File no. SEIAA/HR/MIN/16/142 dated 17.03.2016. Har","River Sand (Minor Mineral) Mining Project for River Yamuna in Yamuna Nagar District of Haryana","MS ELITE MINING CORPORATION","TOR Granted","TOR",NA
"30","SIA/HR/NCP/22740/2018","SEIAA/HR/18/401 dated 10.04.2018. Please submit th","Expansion and Modification of Residential plotted             Colony by M/s Jai Krishna Artec JV","JAI KRISHNA ARTEC JV","TOR Granted - Processed offline","TOR",NA
"31","SIA/HR/NCP/25690/2018","SEIAA/HR/18/ 404 dated 23.04.2018. Please submit t","Global City Project in Haryana under DMIC Project","DMIC HARYANA GLOBAL CITY PROJECT LIMITED","TOR Granted - Processed offline","TOR",NA
"32","SIA/HR/NCP/22586/2018","SEIAA/HR/VIO/18/17 dated 19.04.2018. Please submit","Township residential & Commercial Complexes","CMD PARDESI DEVELOPERS PVT LTD","TOR Granted - Processed offline","TOR",NA
"33","SIA/HR/NCP/25009/2018","SEIAA/HR/VIO/18/22 dated 23.04.2018. Please submit","Expansion of Commercial Cum Residential Colony (Mix Land Use), at Sector 79, Omaxe City Centre, Faridabad, Haryana","ROBUST BUILDWELL PVT LTD","TOR Granted - Processed offline","TOR",NA
"34","SIA/HR/MIN/52471/2020","SEIAA/HR/MIN/19/11 hard copy to be submitted","Capacity Enhancement from 81,66,000 TPA To 1,20,00,000 TPA  for Mining of “Stone” along with Associated Minor Minerals and Mineral Beneficiation & Processing Unit (2X300TPH) at Village Kheribattar Plot-2, Tehsil-Dadri, District Charkhi Dadri, Haryana by M/s ASD-RKC J.V","M/S ASD-RKC J.V.","TOR GRANTED","TOR",NA
"35","SIA/HR/MIS/55094/2020","SEIAA/HR/2020/302 hard copy to be submitted","proposed 6 MLD CETP (3 MLD at Phase-I and 3 MLD at Phase-II)","HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED (HSIIDC),","TOR Granted","TOR",NA
"36","SIA/HR/NCP/22498/2018","SEIAA/HR/VIO/18/14 dated 19.04.2018. Please submit","Expansion of “Artemis Hospital”","ARTEMIS MEDICARE SERVICES LIMITED","TOR Granted - Processed offline","TOR",NA
