,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/HP/MIN/34022/2019,HPSEIAA/2019/624,"Extraction of stone, bajri and sand from Bathu Khad  at Mauza/Mohal Rangehar/Saddum, District Kangra,  Himachal Pradesh.",RAJESH KUMAR SON OF ANGAT RAM,EC Granted,EC,
2,2,SIA/HP/MIN/125479/2019,HPSEIAA/2020/730,sand stone and bajri mining project,SAND STONE AND BAJRI MINING PROJECT BY SMT SWAPNA KUMARI,EC Granted,EC,
3,3,SIA/HP/IND2/156061/2020,HPSEIAA/2020/734,Capacity Enhanacement of Bulk Drug and Pre Formulation Production in existing Bulk Drug Manufacturing Facility,FERMENTA BIOTECH LIMITED,Delisted,EC,
4,4,SIA/HP/MIS/216697/2021,HPSEIAA/2021/849,"Proposed Hotel & Resort on Khasra No. 63/42 & 64/42 at Village- Mauza Dera, Tehsil Kandaghat, District-Solan, Himachal Pradesh by M/s Luxus Hotel & Resorts LLP",M/S LUXUS HOTEL & RESORTS LLP,EC Granted,EC,
5,5,SIA/HP/MIN/34172/2019,HPSEIAA/2019/623,"Hill slope Mining for extraction of Slate from Mauza/Mohal Kunr, Tehsil & District Chamba, Himachal Pradesh by Smt. Rachya Devi W/o Sh. Roshan Lal",RACHYA DEVI,EC Granted,EC,
6,6,SIA/HP/MIN/43042/2019,HPSEIAA/2019/665,Clay(brick earth) mining project by Smt rekha Joshi,SMT REKHA JOSHI PROP MS KIRAN BRICKS KILN,Delisted,EC,
7,7,SIA/HP/MIN/207242/2021,HPSEIAA/2021/830,"Extraction of Stone, Boulder, Sand and Bajri for proposed Stone Crusher unit namely “M/s Neelkanth Stone Crusher” falling in Mauza/Mohal Bangran, Tehsil Paonta Sahib, District Sirmour, Himachal Pradesh by Sh. Amrik Singh Prop. M/s Neelkanth Stone Cru","EXTRACTION OF STONE, BOULDER, SAND AND BAJRI FOR PROPOSED STONE CRUSHER UNIT NAMELY “M/S NEELKANTH STONE CRUSHER” FALLING IN MAUZA BANGRAN, TEHSIL PAONTA SAHIB, DISTRICT SIRMOUR, HIMACHAL PRADESH BY S",EC Granted,EC,
8,8,SIA/HP/MIN/234883/2021,HPSEIAA/2021/890,"Extraction of minor minerals by Sh. Dharambir Singh at Mauza & Mohal- Sunehar, Tehsil- Nagrota Bagwan, District- Kangra, H.P.",SH. DHARAMBIR SINGH AUCTIONED AREA,EC Granted,EC,
9,9,SIA/HP/MIN/141415/2020,HPSEIAA/2020/712,"Extarction of Brick earth falling in Mauza Ganguwala, Jamniwala, Tehsil Paonta Sahib, Distt. Sirmour, Himachal Pradesh by Sh. Ramlok, Prop. M/s Vishwakarma Bricks Supplier.","EXTARCTION OF BRICK EARTH FALLING IN MAUZA GANGUWALA, JAMNIWALA, TEHSIL PAONTA SAHIB, DISTT. SIRMOUR, HIMACHAL PRADESH BY SH. RAMLOK, PROP. M/S VISHWAKARMA BRICKS SUPPLIER.",Delisted,EC,
10,10,SIA/HP/MIN/246226/2021,HPSEIAA/2021/927,"Khanalag Stone Mining Project, Area-13-18 Bighas (1.0460 Hectare) Khasra no-134/2 Located Near Village- Khanalag, Tehsil- Arki, Dist- Solan Himachal Pradesh in Favor of Shree Arun Thakur",ARUN THAKUR,EC Granted,EC,
1,11,SIA/HP/MIN/37701/1900,HPSEIAA/2019/642,"Mining of Sand, Stone & Bajri from from Kunah Khad situated in Mohal Sandhwan, Mauza Bhumpal proposed by Sh. Shammi Soni",SH SHAMMI SONI,Delisted,EC,
2,12,SIA/HP/MIN/189405/2020,HPSEIAA/2021/804,“Sand Mining Project”,M/S BALA TIKKA ASSOCIATES,EC Granted,EC,
3,13,SIA/HP/MIN/189681/2020,HPSEIAA/2021/813,Sh. Ashwani Kumar Mining area,SH. ASHWANI KUMAR MINING AREA,EC Granted,EC,
4,14,SIA/HP/MIN/58672/2020,HPSEIAA/2021/904,"Mining of Stone boulder, Bajri and sand from Giri River Proposed by M/s A-One Minerals Prop. Sh. Rajesh Garg.","MINING OF STONE BOULDER, BAJRI AND SAND FROM GIRI RIVER PROPOSED BY M/S A-ONE MINERALS PROP. SH. RAJESH GARG.",EC Granted,EC,
5,15,SIA/HP/MIN/45244/1800,SEIAA/2019/671,"Hill slope mining for extraction of stone from Mauja Than proposed by Sh. Pramod Kumar, Prop. M/s Pammu Stone Crusher.","HILL SLOPE MINING FOR EXTRACTION OF STONE FROM MAUJA THAN PROPOSED BY SH. PRAMOD KUMAR, PROP. M/S PAMMU STONE CRUSHER.",EC Granted,EC,
6,16,SIA/HP/MIS/184041/2020,HPSEIAA/2020/781,"Proposed Resort & Mountain Homes at Bharari Village, Bharari – Kuffar link Road, Shimla, Himachal Pradesh by C K Baljee",MR. C.K. BALJEE,awaiting ec,EC,
7,17,SIA/HP/MIN/215084/2021,HPSEIAA/2021/848,"Extraction of Minor mineral Stone for open sale falling in Mauza Balghar Katyana-II, Tehsil Theog, District Shimla, Himachal Pradesh by Sh. Dev Raj Verma","EXTRACTION OF MINOR MINERAL STONE FOR OPEN SALE FALLING IN MAUZA BALGHAR, TEHSIL THEOG, DISTRICT SHIMLA, HIMACHAL PRADESH BY SH. DEV RAJ VERMA",EC Granted,EC,
8,18,SIA/HP/MIN/226291/2021,HPSEIAA/2021/864,Sand Stone and Bajri Mining Project by Sh Malkiat Singh,SAND STONE AND BAJRI MINING PROJECT BY SH MALKIAT SINGH,Delisted,EC,
9,19,SIA/HP/MIN/179322/2020,HPSEIAA/2021/806,"Moin Minor Mineral Lease for Stone, Sand & Bajri",SJVN SHIMLA,EC Granted,EC,
10,20,SIA/HP/MIN/145029/2020,HPSEIAA/2020/714,"Extraction of Brick earth falling in Mauza Ganguwala, Jamniwala, Tehsil Paonta Sahib, District Sirmour, Himachal Pradesh by Smt. Jaspal Kaur, Partner M/s Saini Bricks Industries","EXTRACTION OF BRICK EARTH FALLING IN MAUZA GANGUWALA, JAMNIWALA, TEHSIL PAONTA SAHIB, DISTRICT SIRMOUR, HIMACHAL PRADESH BY SMT. JASPAL KAUR, PARTNER M/S SAINI BRICKS INDUSTRIES",Delisted,EC,
1,21,SIA/HP/MIN/35109/1900,HPSEIAA/2019/625,Hill slope mining for extraction of stone from Mauza Dargi proposed by Sh. Vipin Sharma Prop. M/s Jai Mateshwari Stone Crusher,M/S JAI MATESHWARI STONE CRUSHER,EC Granted,EC,
2,22,SIA/HP/MIN/180429/2020,HPSEIAA/2021/826,“Stone Mining Project”,SH.GIRIJA NAND,EC Granted,EC,
3,23,SIA/HP/IND2/155943/2020,HPSEIAA/2020/736,"Proposed Expansion of pharmaceutical bulk drugs and intermediates manufacturing unit at village Malku Majra, Tehsil nalagarh, Dist. Solan, Himachal Pradesh by M/s Morepen Laboratories Ltd.",MOREPEN LABORATORIES LIMITED.,EC Granted,EC,
4,24,SIA/HP/MIN/161378/2020,HPSEIAA/2020/743,"“Sand, Stone & Bajri Mining Project”",SHRI RAJ KUMAR,EC Granted,EC,
5,25,SIA/HP/MIN/70521/2020,HPSEIAA/2022/940,"""Jainan & Datwal"" Sand, Stone & Bajri"" Mining Project, Over an area-07-02-15 Hectare (7.0215 hectare) Khasra no-01, located N/v- Jainan & Datwal, Dist - Hamirpur in favor of Shree Rajkumar",SAND STONE AND BAJRI MINING PROJECT BY SH RAJKUMAR,EC Granted,EC,
