,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/HP/MIN/43832/2019,HPSEIAA/2019/664,"“Sand, Stone (Boulder) & Bajri Mining Project”",MS SHAKUMBRI MINERALS,EC Granted,EC,, 
1,2,2,SIA/HP/MIN/140689/2020,HPSEIAA/2020/704,“Sand & Stone Mining Project”,NARESHKUMAR,EC Granted,EC,, 
2,3,3,SIA/HP/MIN/240685/2021,HPSEIAA/2021/906,SJVNL_Ropa,SJVNL_ROPA,EC Granted,EC,, 
3,4,4,SIA/HP/MIN/170183/2020,HPSEIAA/2020/763,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Sh. Jitender Singh– Mining  Area","S/SH. SURJEET SINGH, SH. NAVDESH PASSI & SH. JITENDER SINGH MINING AREA",Delisted,EC,, 
4,5,5,SIA/HP/MIN/171300/2020,HPSEIAA/2020/769,Sand Stone and Bajri mining project by sh Rajeev Kumar,SAND STONE AND BAJRI MINING PROJECT BY SH RAJEEV KUMAR,EC Granted,EC,, 
5,6,6,SIA/HP/MIN/210437/2021,HPSEIAA/2021/837,sand stone and bajri mining project by Sh Balbir Singh,BALBIR SINGH,Delisted,EC,, 
6,7,7,SIA/HP/IND3/244861/2021,HPSEIAA/2021/926,Proposed Setting up a Active Pharmaceutical Ingredient (API) Manufacturing Unit,M/S CMG BIOTECH LIMITED,Agenda Uploaded by SEIAA,EC,, 
7,8,8,SIA/HP/MIN/277472/2022,HPSEIAA/2022/954,"Extraction of Sand For Open Sale From Khasra No. 203/70/1 Measuring 13-00 Bighas (Private Land, Hill Slope ) Falling In Mauza Bawasi, Tehsil Arki & Distt. Solan, Himachal Pradesh",NARESH KUMAR,EC Granted,EC,, 
8,9,9,SIA/HP/MIN/176979/2020,HPSEIAA/2020/763,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Jitender Singh– Mining  Area","S/SH. SURJEET SINGH, SH. NAVDESH PASSI & SH. JITENDER SINGH MINING AREA",EC Granted,EC,, 
9,10,10,SIA/HP/MIN/280979/2022,HPSEIAA/2022/960,Sh. Rakesh Singh Mining Area,RAKESH SINGH,Delisted,EC,, 
10,11,1,SIA/HP/IND2/67828/2021,HPSEIAA/2021/881,"M/s Indorama Industries Private Limited located at Plot No. 10, Village- Lodhimajra, Tehsil-Baddi, District-Solan, Himachal Pradesh",M/S INDORAMA INDIA PRIVATE LIMITED,EC Granted,EC,, 
11,12,2,SIA/HP/MIN/250521/2022,HPSEIAA/2022/943,"Gagan Sharma, Extraction of stone falling in Khasra no. 54/2, measuring 30-15 Bighas and falling in Mauza Gaderan, Tehsil, Pachhad, Distt. Sirmaur Himachal Pradesh",JASBIR SINGH,EC Granted,EC,, 
12,13,3,SIA/HP/MIN/180551/2020,HPSEIAA/2020/777,"Minor Mineral Lease for extraction of Stone falling in Mauza Raipur, Tehsil & Distt. Solan, Himachal Pradesh by Shri Sushil Kumar Prop. Sharma Stone Provider","MINOR MINERAL LEASE FOR EXTRACTION OF STONE FALLING IN MAUZA RAIPUR, TEHSIL & DISTT. SOLAN, HIMACHAL PRADESH BY SHRI SUSHIL KUMAR PROP. SHARMA STONE PROVIDER",EC Granted,EC,, 
13,14,4,SIA/HP/MIN/144693/2020,HPSEIAA/2020/715,"Hill Slope Mining for Extraction of Sand, Stone and Bajri from Mauza/Mohal Daber/55, Tehsil Sadar, Distt Bilaspur proposed by Sh Jagat Pal S/o Sh Sita Ram",SH JAGAT PAL S/O SH SITA RAM,EC Granted,EC,, 
14,15,5,SIA/HP/MIN/286876/2022,HPSEIAA/2022/995,Sh. Kapil Sharma Mining Area,KAPIL SHARMA,EC Granted,EC,, 
15,16,6,SIA/HP/MIN/189104/2020,HPSEIAA/2020/805,Hill Slope mining for Extraction of Stone from Mauza/Mohal Lana-Ro proposed by Sh Rajender Singh,SH RAJENDER SINGH S/O SH SHAWNU RAM,EC Granted,EC,, 
16,17,7,SIA/HP/MIN/41077/2019,SEIAA/2019/650,Sand stone and bajri mining project by Sh Ram Sawroop,SAND STONE AND BAJRI MINING PROJECT BY SH RAM SAWROOP,EC Granted,EC,, 
17,18,8,SIA/HP/MIN/42272/2019,HPSEIAA/2020/720,"Sand, Stone & Bajri Mining Project",VIJAY  KUMAR  CHOPRA,EC Granted,EC,, 
18,19,9,SIA/HP/MIN/226105/2021,HPSEIAA/2021/865,"Extraction of Sand & Stone for open sale falling in Mauza Belu Dhank, Tehsil Karsog, District Mandi, Himachal Pradesh by Sh. Hem Singh.","EXTRACTION OF SAND & STONE FOR OPEN SALE FALLING IN MAUZA BELU DHANK, TEHSIL KARSOG, DISTRICT MANDI, HIMACHAL PRADESH BY SH. HEM SINGH S/O LATE SH. TULA RAM.",EC Granted,EC,, 
19,20,10,SIA/HP/MIN/157655/2020,HPSEIAA/2020/739,Stone Mining Project with Proposed Crusher,AJAY RATHORE,EC Granted,EC,, 
20,21,1,SIA/HP/MIN/36298/2019,HPSEIAA/2019/634,Sand and bajri mining project by Sh Umesh Kumar,SAND AND BAJRI MINING PROJECT BY SH UMESH KUMAR,EC Granted,EC,, 
21,22,2,SIA/HP/MIN/268885/2022,HPSEIAA/2022/948,"Extraction of Minor Minerals(Sand, Stone and Bajri) Falling in Mauza Singa, Tehsil Haroli Distt. Una, Himachal Pradesh.",SUMIT JOSHI,EC Granted,EC,, 
22,23,3,SIA/HP/MIN/189405/2020,HPSEIAA/2021/804,“Sand Mining Project”,M/S BALA TIKKA ASSOCIATES,EC Granted,EC,, 
23,24,4,SIA/HP/MIN/189681/2020,HPSEIAA/2021/813,Sh. Ashwani Kumar Mining area,SH. ASHWANI KUMAR MINING AREA,EC Granted,EC,, 
24,25,5,SIA/HP/MIN/271708/2022,HPSEIAA/2022/951,"Extraction of Sand Stone & Bajri falling in Mauza/Mohal Neethar, Sub-Tehsil Neethar, District Kullu, Himachal Pradesh.",RS SUPPLIER,EC Granted,EC,, 
25,26,6,SIA/HP/MIN/42151/2019,HPSEIAA/2019/681,"“Sand, Stone & Bajri Mining Project”",KAILASH  THAKUR,EC Granted,EC,, 
26,27,7,SIA/HP/MIN/231355/2021,HPSEIAA/2022/1025,“Sand & Stone Mining Project”,SHRI NAGEEN CHAND,Delisted,EC,, 
27,28,8,SIA/HP/MIN/40321/2019,,Brick Earth Mining,M/S. MAINI & COMPANY,Delisted,EC,, 
28,29,9,SIA/HP/MIN/152880/2020,HPSEIAA/2020/733,"Hill Slope mining for extraction of Sand & Stone falling in Mauza Firnoo, Tehsil Karsog, Distt. Mandi, Himachal Pradesh by Sh. Kuldeep Mehta S/o Sh. Dwarka Dass Mehta","HILL SLOPE MINING FOR EXTRACTION OF SAND & STONE FALLING IN MAUZA FIRNOO, KARSOG, DISTT. MANDI, HIMACHAL PRADESH BY SH. KULDEEP MEHTA S/O SH. DWARKA DASS MEHTA",EC Granted,EC,, 
29,30,10,SIA/HP/MIN/153832/2020,HPSEIAA/2020/731,Sh. Manbir Singh Mining Lease area,SH. MANBIR SINGH MINING LEASE AREA,EC Granted,EC,, 
30,31,1,SIA/HP/MIS/143836/2020,HPSEIAA/2020/711,"Construction of Shiv Dham by Department of Tourism & Civil Aviation, Govt. of Himachal Pradesh",SHIV DHAM,Delisted,EC,, 
31,32,2,SIA/HP/MIN/55075/2020,HPSEIAA/2021/895,"Extraction/collection of sand, stone & bajri Project",SHASHI KUMAR,EC Granted,EC,, 
32,33,3,SIA/HP/MIN/281524/2022,HPSEIAA/2022/962,Smt. Ambika Parashar Prop: M/s Saraswati Stone Crusher & Screening Plant,AMBIKA,EC Granted,EC,, 
33,34,4,SIA/HP/MIN/37871/2019,HPSEIAA/2019/641,"Extraction of Minor Minerals (Sand, Stone & Bajri) from Mauza/Mohal Pubowal/Haleran, Tehsil Haroli , Distt. Una, Himachal Pradesh By Sh. Manjeet Singh,  Prop:- M/s. S.S. Stone Crusher and Screening Pl",S S STONE CRUSHER AND SCREENING PLANT,EC Granted,EC,, 
34,35,5,SIA/HP/IND2/194921/2021,HPSEIAA/2021/811,"Proposed Expansion of APIs, Bulk Drug Manufacturing Unit",MOREPEN LABORATORIES LIMITED.,EC Granted,EC,, 
35,36,6,SIA/HP/MIN/239804/2021,HPSEIAA/2021/902,"Sh. Netar Singh Prop. M/s Bajrang Stone Crusher Mining area at Mauza-Kinder, Tehsil- Nihri, District- Mandi, Himachal Pradesh",SH. NETAR SINGH PROP. M/S BAJRANG STONE CRUSHER- MINING AREA,EC Granted,EC,, 
36,37,7,SIA/HP/MIN/281800/2022,HPSEIAA/2022/963,Hill slope Mining for extraction of Stone proposed by Smt. Ranjana Kalia Prop M/s Shiva Stone Crusher,RANJANA KALIA,EC Granted,EC,, 
37,38,8,SIA/HP/MIN/36448/2019,HPSEIAA/2019/632,"Hill slope Mining for extraction of Stone from Tukra No. 2 (01-06-09 Bigha) &Tukra No. 4 (01-02-03 Bigha) falling in Mauza Kotkandi, Teh. Bunter, District Kullu, Himachal Pradesh By M/s Manorma Stone","OM PRAKASH, S/O SH. JYOTI PRAKASH",Delisted,EC,, 
38,39,3,SIA/HP/MIN/268668/2022,HPSEIAA/2022/947,"Minor Mineral Lease for extraction of Stone falling in Mauza & Mohal Khakhrola, Tehsil Rampur, District Shimla, Himachal Pradesh",JAI NAV DURGA STONE CRUSHSER,EC Granted,EC,, 
39,40,4,SIA/HP/MIN/189080/2020,HPSEIAA/2021/818,SAND STONE AND BAJRI MINING PROJECT BY SH THAKUR SINGH,SAND STONE AND BAJRI MINING PROJECT BY SH THAKUR SINGH,EC Granted,EC,, 
40,41,5,SIA/HP/MIN/236387/2021,HPSEIAA/2021/894,"“Sand, Stone & Bajri Mining Project”",SATISH CHAND KATOCH,Delisted,EC,, 
41,42,6,SIA/HP/MIN/159856/2020,HPSEIAA/2020/757,Sh. Vinod Kumar Auctioned area,SH. VINOD KUMAR AUCTIONED AREA,Delisted,EC,, 
42,43,8,SIA/HP/MIN/213770/2021,HPSEIAA/2021/840,"Mining of Sand, Stone and Bajri from bed of Kunah Khad by Sh Vijender Jain S/o Sh Sudarshan Jain",VIJENDER JAIN S/O SUDARSHAN JAIN,EC Granted,EC,, 
43,44,9,SIA/HP/MIN/221683/2021,HPSEIAA/2021/859,"Hill slope Mining for extraction of Sand from Mauza/Mohal Jokhari, proposed by Sh. Amit Bindal Prop. M/s Bijeshwar Yellow Mines.",SH. AMIT BINDAL PROP. M/S BIJESHWAR YELLOW MINES,EC Granted,EC,, 
44,45,1,SIA/HP/MIN/205847/2021,HPSEIAA/2021/862,"Mining of Sand, Stone & Bajri from Deoli Khad Proposed by Sh  Kirpal Singh Prop M/s Tripti Stone Crusher",MS TRIPTI STONE CRUSHER,EC Granted,EC,, 
45,46,2,SIA/HP/MIN/187321/2020,HPSEIAA/2020/793,"Sh. Abhisek Thakur, Sh. Anshul Thakur & Sh. Vishal Sen- Mining Lease area","SH. ABHISHEK THAKUR, SH. ANSHUL THAKUR & SH. VISHAL SEN MINING AREA",EC Granted,EC,, 
46,47,4,SIA/HP/MIN/177360/2020,HPSEIAA/2020/770,“Cut Stone Mining Project”,CHANDER MANI,Delisted,EC,, 
47,48,6,SIA/HP/IND2/46776/2019,HPSEIAA/2019/635,M/s Alcobrew Distilleries India Pvt.Ltd.,M/S ALCOBREW DISTILLERIES INDIA PVT. LTD.,EC Granted,EC,, 
48,49,7,SIA/HP/MIN/159804/2020,HPSEIAA/2020/758,Sh. Vinod Kumar Mining area,SH. VINOD KUMAR MINING AREA,Delisted,EC,, 
49,50,8,SIA/HP/MIN/184690/2020,,Stone Mining Project,SH.   P.  L. VERMA,WithdrawEC,EC,, 
50,51,9,SIA/HP/MIS/97044/2019,HPSEIAA/2018/577,Himalayan Envirocare company,HIMALAYAN ENVIRO CARE COMPANY,EC Granted,EC,, 
51,52,10,SIA/HP/MIN/32426/1900,HPSEIAA/2019/621,"Mining of Sand, Stone & Bajri from Mann Khad, situated in Mohal Tuhani, Mauza Jassai of Tehsil Nadaun, District Hamirpur, Himachal Pradesh proposed by Smt. Meera Devi",SOM DUTT SHARMA,EC Granted,EC,, 
52,53,1,SIA/HP/MIN/154729/2020,HPSEIAA/2020/760,Mauza & Mohal Rangah  Sand Mine Project  Khasra No: 10/1,SHR BHIM SINGH,EC Granted,EC,, 
53,54,2,SIA/HP/MIN/226291/2021,HPSEIAA/2021/864,Sand Stone and Bajri Mining Project by Sh Malkiat Singh,SAND STONE AND BAJRI MINING PROJECT BY SH MALKIAT SINGH,Delisted,EC,, 
