,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/HP/MIN/43832/2019,HPSEIAA/2019/664,"“Sand, Stone (Boulder) & Bajri Mining Project”",Himachal Pradesh,Sirmaur,Paonta,Date of Submission for EC: 10 Oct 2019 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,MS SHAKUMBRI MINERALS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/43832/2019&pid=67141,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/43832/2019&type=EC&ID=67141
1,SIA/HP/MIN/140689/2020,HPSEIAA/2020/704,“Sand & Stone Mining Project”,Himachal Pradesh,Kullu,Nermand(T),Date of Submission for EC: 04 Feb 2020 ,Date of Ec Granted : 03 Jul 2021,Non-Coal Mining,NARESHKUMAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/140689/2020&pid=86715,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/140689/2020&type=EC&ID=86715
2,SIA/HP/MIN/240685/2021,HPSEIAA/2021/906,SJVNL_Ropa,Himachal Pradesh,Hamirpur,Tira Sujanpur(T),Date of Submission for EC: 25 Nov 2021 ,Date of Ec Granted : 27 Jul 2022,Non-Coal Mining,SJVNL_ROPA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/240685/2021&pid=193782,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/240685/2021&type=EC&ID=193782
3,SIA/HP/MIN/170183/2020,HPSEIAA/2020/763,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Sh. Jitender Singh– Mining  Area",Himachal Pradesh,Solan,Baddi,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2020 ,Non-Coal Mining,"S/SH. SURJEET SINGH, SH. NAVDESH PASSI & SH. JITENDER SINGH MINING AREA",Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/170183/2020&pid=125600,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/170183/2020&type=EC&ID=125600
4,SIA/HP/MIN/171300/2020,HPSEIAA/2020/769,Sand Stone and Bajri mining project by sh Rajeev Kumar,Himachal Pradesh,Una,Una(T),Date of Submission for EC: 26 Feb 2021 ,Date of Ec Granted : 31 Mar 2021,Non-Coal Mining,SAND STONE AND BAJRI MINING PROJECT BY SH RAJEEV KUMAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/171300/2020&pid=126876,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/171300/2020&type=EC&ID=126876
5,SIA/HP/MIN/210437/2021,HPSEIAA/2021/837,sand stone and bajri mining project by Sh Balbir Singh,Himachal Pradesh,Chamba,Saluni(T),Date of Submission for TOR: ,Date of Submission for EC: 01 Jun 2021 ,Non-Coal Mining,BALBIR SINGH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/210437/2021&pid=183395,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/210437/2021&type=EC&ID=183395
6,SIA/HP/IND3/244861/2021,HPSEIAA/2021/926,Proposed Setting up a Active Pharmaceutical Ingredient (API) Manufacturing Unit,Himachal Pradesh,Kangra,Jaswan(T),Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2021 ,Industrial Projects - 3,M/S CMG BIOTECH LIMITED,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/IND3/244861/2021&pid=194934,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/IND3/244861/2021&type=EC&ID=194934
7,SIA/HP/MIN/277472/2022,HPSEIAA/2022/954,"Extraction of Sand For Open Sale From Khasra No. 203/70/1 Measuring 13-00 Bighas (Private Land, Hill Slope ) Falling In Mauza Bawasi, Tehsil Arki & Distt. Solan, Himachal Pradesh",Himachal Pradesh,Solan,Arki(T),Date of Submission for EC: 09 Jun 2022 ,Date of Ec Granted : 21 Dec 2022,Non-Coal Mining,NARESH KUMAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/277472/2022&pid=204425,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/277472/2022&type=EC&ID=204425
8,SIA/HP/MIN/176979/2020,HPSEIAA/2020/763,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Jitender Singh– Mining  Area",Himachal Pradesh,Solan,Baddi,Date of Submission for EC: 01 Oct 2020 ,Date of Ec Granted : 29 Dec 2020,Non-Coal Mining,"S/SH. SURJEET SINGH, SH. NAVDESH PASSI & SH. JITENDER SINGH MINING AREA",EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/176979/2020&pid=136479,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/176979/2020&type=EC&ID=136479
9,SIA/HP/MIN/280979/2022,HPSEIAA/2022/960,Sh. Rakesh Singh Mining Area,Himachal Pradesh,Una,Una(T),Date of Submission for TOR: ,Date of Submission for EC: 01 Jul 2022 ,Non-Coal Mining,RAKESH SINGH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Himachal%20Pradesh&pno=SIA/HP/MIN/280979/2022&pid=208271,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/280979/2022&type=EC&ID=208271
