"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/JH/MIN/42798/2019","EC/SEIAA/2018-19/2202/2019","Baliapatra Stone Deposit","BALIAPATRA STONE DEPOSIT","EC Granted","EC",NA
"2",2,"SIA/JH/MIN/43360/2019","EC/SEIAA/2018-19/2217/2019","Stone Deposit of Telo-M/s Kirty Enterprises by (partners-Yogendra Prasad,Arjun Prasad & Suresh Prasad)","KIRTY ENTERPRISES","EC Granted","EC",NA
"3",3,"SIA/JH/MIN/202551/2021","","Betakocha Brick Clay Mining M/s Anil Bricks Brick Clay Mining Project","M/S ANIL  BRICKS","WithdrawEC","EC",NA
"4",4,"SIA/JH/MIS/232876/2021","EC/SEIAA/2021-22/2459/2021","Nand Vatika Greens","NAND VATIKA DEVELOPERS PVT. LTD.","EC Granted","EC",NA
"5",5,"SIA/JH/MIN/232899/2021","EC/SEIAA/2021-22/2462/2021","Kukukala stone mine (1.32Ha)","M/S MALA KUMAR ENGINEERS PVT. LTD.","EC Granted","EC",NA
"6",6,"SIA/JH/MIN/38294/2019","EC/SEIAA/2018-19/2139/2018","Chino Stone Mine","DILIP BUILDCON LIMITED CHINO STONE MINE","EC Granted","EC",NA
"7",7,"SIA/JH/MIN/209893/2021","EC/SEIAA/2021-22/2325/2021","MUSNA STONE MINE OF M/S ADITY STONE","MUSNA STONE MINE OF M/S ADITY STONE","EC Granted","EC",NA
"8",8,"SIA/JH/MIN/208510/2021","","Ajanta-1 Brick Field","AJANTA-1 BRICK FIELD","Delisted","EC",NA
"9",9,"SIA/JH/MIN/208617/2021","","Demba Stone Deposit of M/s Amit Kumar Gupta & Vinod Yadav, Area 10.50 Acres","CRYSTAL CONSULTANTS","Delisted","EC",NA
"10",10,"SIA/JH/MIN/35736/2009","","M/s J.S.M.D.C.Ltd","MS JSMDC RANCHI","WithdrawEC","EC",NA
"11",1,"SIA/JH/MIS/235739/2021","","“NUCLEUS HEIGHTS” of M/s Arrowline Real Estate Pvt. Ltd.","M/S ARROWLINE REAL ESTATE PRIVATE LIMITED","WithdrawEC","EC",NA
"12",2,"SIA/JH/MIN/188184/2020","EC/SEIAA/2020-21/2285/2020","Brick Soil Mining For M/s Anand Bricks in Mouza Hisri, Area 3.68 Acres","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"13",3,"SIA/JH/MIN/41448/2019","EC/SEIAA/2018-19/2173/2019","Salbona stone mine by supreme stone works","SUPREME STONE MINING BY SH SUKHDEB PANDIT,SH JAGBANDHU PANDIT & SMT PUNAM RASHMI","EC Granted","EC",NA
"14",4,"SIA/JH/MIN/241922/2021","EC/SEIAA/2021-22/2488/2021","Namsol Brick Soil Mine","SRI BIPENDRA SINGH","EC Granted","EC",NA
"15",5,"SIA/JH/MIN/268933/2022","EC/SEIAA/2022-23/2578/2022","RANO STONE MINE OF MS JAI SHANKAR STONE MINES","RANO STONE MINE OF M/S JAI SHANKAR STONE MINES","EC Granted","EC",NA
"16",6,"SIA/JH/MIN/204402/2021","","Pokhariya, Brick Clay Mining M/s BALAJI TRADING","M/S BALAJI  TRADING","Delisted","EC",NA
"17",7,"SIA/JH/MIN/225168/2021","EC/SEIAA/2021-22/2407/2021","Dhowadangal Stone Deposit Project","DHOWADANGAL STONE DEPOSIT PROJECT","EC Granted","EC",NA
"18",8,"SIA/JH/MIS/277378/2022","EC/SEIAA/2022-23/2649/2022","Signature Homes","MINU ENHANCE DEVELOPERS","EC Granted","EC",NA
"19",9,"SIA/JH/MIN/42058/2019","EC/SEIAA/2018-19/2168/2019","MISRAUL STONE MINE","MS MAA SURUCHI STONE WORKS   SHRI KALICHARAN SINGH","EC Granted","EC",NA
"20",10,"SIA/JH/MIN/214672/2021","EC/SEIAA/2021-22/2338/2021","KUSUMGHATI STONE MINE","M/S AGRIMA INFRA ENGINEERING PVT. LTD.","EC Granted","EC",NA
"21",1,"SIA/JH/MIN/68472/2021","EC/SEIAA/2022-23/2458/2022","Jiyapani Stone Deposit ( Area 2.83 ha or 7.0 Acres)","M/S SRI HARIOM STONE WORKS","EC Granted","EC",NA
"22",2,"SIA/JH/MIN/37031/2019","EC/SEIAA/2018-19/2137/2018","Hathigarh Stone Mine","M/S DARSHANA STONE WORKS","EC Granted","EC",NA
"23",3,"SIA/JH/MIN/37831/2019","","Brick Soil Mining For M/s Super Bricks","SUPER BRICKS","Delisted","EC",NA
"24",4,"SIA/JH/MIN/46213/2019","EC/SEIAA/2020-21/2314/2021","Brick Soil Mining For M/s Jai Mata Di Bricks (J.M.D.), in Mouza – Sugnu","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"25",5,"SIA/JH/MIS/224569/2021","EC/SEIAA/2021-22/2403/2021","Light House Project Ranchi - Construction of 1008 DU for EWS","JUIDCO LTD.","EC Granted","EC",NA
"26",6,"SIA/JH/MIS/226936/2021","EC/SEIAA/2021-22/2535/2021","Shaurya Kunj","ADITYA CONSTRUCTION & BUILDERS","EC Granted","EC",NA
"27",7,"SIA/JH/MIN/251579/2022","EC/SEIAA/2021-22/2473/2021","KUCHU STONE DEPOSIT","DAMODAR ENTERPRISES.","EC Granted","EC",NA
"28",8,"SIA/JH/MIN/191028/2021","","Brick Soil Mining For M/s R.K.B. Bricks in Mouza Jamuari, Area 1.80 Acres","CRYSTAL CONSULTANTS","Delisted","EC",NA
"29",9,"SIA/JH/MIS/243355/2021","","Proposed Residential Building at Khata No. 81, Plot No.1051,1052 And 1055, Mouza – Hesag, Thana No. 247, P.S. Jagarnathpur, District-Ranchi-834003","M/S NEWQONETIC TRADECOM LLP","Delisted","EC",NA
"30",1,"SIA/JH/MIN/45031/2019","EC/SEIAA/2018-19/2258/2019","Brick Soil Mining For M/s Karan Bricks (Minor Mineral)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"31",2,"SIA/JH/MIN/45122/2019","EC/SEIAA/2018-19/2249/2019","Brick Soil Mining for M/s Mina Bricks (Minor Mineral)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"32",3,"SIA/JH/MIN/35559/2019","EC/SEIAA/2018-19/2115/2018","Abhishek Anand Stone Mines","ABHISHEK ANAND","EC Granted","EC",NA
"33",4,"SIA/JH/MIN/35606/2019","EC/SEIAA/2018-19/2116/2018","ABHISHEK ANAND Stone Mines","ABHISHEK ANAND","EC Granted","EC",NA
"34",5,"SIA/JH/MIS/218049/2021","EC/SEIAA/2021-22/2408/2021","Proposed Residential & Commercial Building belongs to Shekhar Buildcon Pvt. Ltd.","SHEKHAR BUILDCON PVT. LTD.","EC Granted","EC",NA
"35",6,"SIA/JH/MIN/220074/2021","","BARAJORI STONE MINE OF SRI ARJUN PRASAD SINHA & SRI CHANDRADEO SINGH","ARJUN PRASAD SINHA","Delisted","EC",NA
"36",7,"SIA/JH/MIN/203095/2021","","PROPOSED PROJECT FOR ENVIRONMENT CLEARANCE BRICKS CLAY MINING IN VILLAGE-KHORA PATRATOLI, P.S. GUMLA, (NO.-77) DISTRICT- GUMLA, JHARKHAND. AREA: 2.00 ACRES (0.8097 HA) PRODUCTION 1200 CUM PER ANNUM.","M/S RAHUL TRADERS","Delisted","EC",NA
"37",8,"SIA/JH/MIN/43173/2019","EC/SEIAA/2018-19/2177/2019","MANJHLADIH STONE MINE","MS PRAGATI INFRA  SHILPE PANDEY","EC Granted","EC",NA
