,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/JH/MIN/42798/2019,EC/SEIAA/2018-19/2202/2019,Baliapatra Stone Deposit,BALIAPATRA STONE DEPOSIT,EC Granted,EC,, 
1,2,2,SIA/JH/MIN/43360/2019,EC/SEIAA/2018-19/2217/2019,"Stone Deposit of Telo-M/s Kirty Enterprises by (partners-Yogendra Prasad,Arjun Prasad & Suresh Prasad)",KIRTY ENTERPRISES,EC Granted,EC,, 
2,3,3,SIA/JH/MIN/202551/2021,,Betakocha Brick Clay Mining M/s Anil Bricks Brick Clay Mining Project,M/S ANIL  BRICKS,WithdrawEC,EC,, 
3,4,4,SIA/JH/MIS/232876/2021,EC/SEIAA/2021-22/2459/2021,Nand Vatika Greens,NAND VATIKA DEVELOPERS PVT. LTD.,EC Granted,EC,, 
4,5,5,SIA/JH/MIN/232899/2021,EC/SEIAA/2021-22/2462/2021,Kukukala stone mine (1.32Ha),M/S MALA KUMAR ENGINEERS PVT. LTD.,EC Granted,EC,, 
5,6,6,SIA/JH/MIN/38294/2019,EC/SEIAA/2018-19/2139/2018,Chino Stone Mine,DILIP BUILDCON LIMITED CHINO STONE MINE,EC Granted,EC,, 
6,7,7,SIA/JH/MIN/209893/2021,EC/SEIAA/2021-22/2325/2021,MUSNA STONE MINE OF M/S ADITY STONE,MUSNA STONE MINE OF M/S ADITY STONE,EC Granted,EC,, 
7,8,8,SIA/JH/MIN/208510/2021,,Ajanta-1 Brick Field,AJANTA-1 BRICK FIELD,Delisted,EC,, 
8,9,9,SIA/JH/MIN/208617/2021,,"Demba Stone Deposit of M/s Amit Kumar Gupta & Vinod Yadav, Area 10.50 Acres",CRYSTAL CONSULTANTS,Delisted,EC,, 
9,10,10,SIA/JH/MIN/35736/2009,,M/s J.S.M.D.C.Ltd,MS JSMDC RANCHI,WithdrawEC,EC,, 
10,11,1,SIA/JH/MIS/235739/2021,,“NUCLEUS HEIGHTS” of M/s Arrowline Real Estate Pvt. Ltd.,M/S ARROWLINE REAL ESTATE PRIVATE LIMITED,WithdrawEC,EC,, 
11,12,2,SIA/JH/MIN/188184/2020,EC/SEIAA/2020-21/2285/2020,"Brick Soil Mining For M/s Anand Bricks in Mouza Hisri, Area 3.68 Acres",CRYSTAL CONSULTANTS,EC Granted,EC,, 
12,13,3,SIA/JH/MIN/41448/2019,EC/SEIAA/2018-19/2173/2019,Salbona stone mine by supreme stone works,"SUPREME STONE MINING BY SH SUKHDEB PANDIT,SH JAGBANDHU PANDIT & SMT PUNAM RASHMI",EC Granted,EC,, 
13,14,4,SIA/JH/MIN/241922/2021,EC/SEIAA/2021-22/2488/2021,Namsol Brick Soil Mine,SRI BIPENDRA SINGH,EC Granted,EC,, 
14,15,5,SIA/JH/MIN/268933/2022,EC/SEIAA/2022-23/2578/2022,RANO STONE MINE OF MS JAI SHANKAR STONE MINES,RANO STONE MINE OF M/S JAI SHANKAR STONE MINES,EC Granted,EC,, 
15,16,6,SIA/JH/MIN/204402/2021,,"Pokhariya, Brick Clay Mining M/s BALAJI TRADING",M/S BALAJI  TRADING,Delisted,EC,, 
16,17,7,SIA/JH/MIN/225168/2021,EC/SEIAA/2021-22/2407/2021,Dhowadangal Stone Deposit Project,DHOWADANGAL STONE DEPOSIT PROJECT,EC Granted,EC,, 
