,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/KA/MIN/160505/2020,SEIAA 215 MIN 2020,“Shahabad Stone Quarry” of Sri Potham Vengal Reddy S/o Potham Swamy Reddy,SRI. VENGAL REDDY,EC Granted - Processed offline,EC,
2,2,SIA/KA/MIS/205122/2021,SEIAA 43 CON 2021,Construction of Proposed Residential Apartment Building,ABHEE DEVELOPERS,EC Granted - Processed offline,EC,
3,3,SIA/KA/MIS/146652/2020,SEIAA 39 CON 2020,Proposed Residential Apartment by M/s. Global Edifice Builders,M/S. GLOBAL EDIFICE BUILDERS,EC Granted - Processed offline,EC,
4,4,SIA/KA/MIS/146953/2020,SEIAA 40 CON 2020,"Proposed Modified residential apartment project called “Suvilas Palms” by M/s. Suvilas Realities Pvt. Ltd.,","M/S. SUVILAS PROPERTIES PVT. LTD.,",EC Granted - Processed offline,EC,
5,5,SIA/KA/MIN/148423/2020,SEIAA 141 MIN 2020,ALUR BUILDING STONE (M SAND) QUARRY,M/S THIRUMALANATH STONE CRUSHER SMT GAYATRI W/O KAMESWAR RAO A,EC Granted - Processed offline,EC,
6,6,SIA/KA/MIN/61436/2016,,BUILDING STONE QUARRY,B ASHOK KUMAR,Delisted,EC,
7,7,SIA/KA/NCP/76197/2018,SEIAA 124 CON 2018,Residential Apartment and Commercial Space,VEDANT SURAKSHA PROPERTIES,EC Granted,EC,
8,8,SIA/KA/NCP/76553/2018,,"Commercial/Auditorium Building Project by M/s. Dharamkeshav infra private limited at Municipal no new 255 (Old no 267) at Nataka Rathana Gubbi Veeranna Road, Bangalore Ward no 27-Gandhinagar",MS  DHARAMKESHAV INFRA PRIVATE LIMITED,Delisted,EC,
9,9,SIA/KA/MIN/33525/2015,,Naganapur Limestone and dolomite mine,NAGANAPUR LIMESTONE AND DOLOMITE MINE,Delisted,EC,
10,10,SIA/KA/MIN/2725/2015,SEIAA 1240 MIN 2015,YELLODU GRANITE QUARRY QL.NO.406,OTHERS,EC Granted,EC,
