"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/KA/MIN/270226/2022","SEIAA 218 MIN 2022","Building Stone Quarry","SAVAJJI RAJENDRAPRASAD","EC Granted","EC",NA
"2",2,"SIA/KA/MIN/195174/2021","SEIAA 61 MIN 2021","Building Stone Quarry","SRI. SANTOSH","EC Granted - Processed offline","EC",NA
"3",3,"SIA/KA/MIN/53166/2016","SEIAA 162 MIN 2016","Hebbal Dolomite and Limestone Mine","HEBBAL DOLOMITE AND LIMESTONE MINE","EC Granted","EC",NA
"4",4,"SIA/KA/MIN/36655/2015","SEIAA 1638 MIN 2015","“Building Stone Quarry” of 
V M Vijay at Sy No: 36/3(P), 
Yalakanur Village, Somwarpet Taluk, Kodagu District, Karnataka. Extent: 1-00 Acres","V M VIJAY","EC Granted","EC",NA
"5",5,"SIA/KA/MIN/36669/2015","SEIAA 1635 MINN 2015","“Building Stone Quarry” of V M Vijay over an extent of 2-20 Acres at Sy No: 36/8(P), Yalakanuru Village, Somwarpet Taluk, Kodagu District, Karnataka","V M VIJAY","EC Granted","EC",NA
"6",6,"SIA/KA/MIS/165063/2020","SEIAA 109 CON 2020","M/s. Janaadhar South1 Projects LLP","M/S. JANAADHAR SOUTH 1 PROJECTS LLP","EC Granted - Processed offline","EC",NA
"7",7,"SIA/KA/MIN/32973/2015","SEIAA 1467 MIN 2015","“Building Stone Quarry” over an extent of 1-00 Acres at Sy No: 105/4A, Yamagarni Village, Chikkodi Taluk, Belgaum District, Karnataka.","VALCHAND K SHAH","EC Granted","EC",NA
"8",8,"SIA/KA/MIN/2773/2015","SEIAA 1230 MIN 2015","“Building Stone Quarry” of  P.S. Anthony Sy No: 06, Yeduru Village,  Mudigere Taluk,  Chikkamagaluru District,  Karnataka","P S ANTHONY","EC Granted","EC",NA
"9",9,"SIA/KA/MIN/2664/2015","SEIAA 1201 MIN 2015","Building Stone Quarry","RAMAKRISHNAPPA","EC Granted","EC",NA
"10",10,"SIA/KA/MIN/2408/2015","SEIAA 1212 MIN 2015","“Building Stone Quarry” of  M/s. Archean Granites Private Ltd at Beeranakoppa Village, BangarpetTaluk, Kolar District,","ARCHEAN GRANITE PRIVATE LTD","EC Granted","EC",NA
