,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/KA/MIN/270226/2022,SEIAA 218 MIN 2022,Building Stone Quarry,Karnataka,Vijayanagara,Kotturu,Date of Submission for EC: 01 Jun 2022 ,Date of Ec Granted : 12 Sep 2022,Non-Coal Mining,SAVAJJI RAJENDRAPRASAD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/270226/2022&pid=202692,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/270226/2022&type=EC&ID=202692
1,SIA/KA/MIN/195174/2021,SEIAA 61 MIN 2021,Building Stone Quarry,Karnataka,kalaburagi,Aland,Date of Submission for EC: 30 Jan 2021 ,Date of Ec Granted : 08 Nov 2021,Non-Coal Mining,SRI. SANTOSH,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/195174/2021&pid=161584,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/195174/2021&type=EC&ID=161584
2,SIA/KA/MIN/53166/2016,SEIAA 162 MIN 2016,Hebbal Dolomite and Limestone Mine,Karnataka,Bagalkot,Mudhol,Date of Submission for EC: 25 Apr 2016 ,Date of Ec Granted : 03 Aug 2016,Non-Coal Mining,HEBBAL DOLOMITE AND LIMESTONE MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/53166/2016&pid=19613,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/53166/2016&type=EC&ID=19613
3,SIA/KA/MIN/36655/2015,SEIAA 1638 MIN 2015,"“Building Stone Quarry” of 
V M Vijay at Sy No: 36/3(P), 
Yalakanur Village, Somwarpet Taluk, Kodagu District, Karnataka. Extent: 1-00 Acres",Karnataka,Kodagu,Somvarpet,Date of Submission for EC: 29 Dec 2015 ,Date of Ec Granted : 26 Apr 2016,Non-Coal Mining,V M VIJAY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/36655/2015&pid=5802,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/36655/2015&type=EC&ID=5802
4,SIA/KA/MIN/36669/2015,SEIAA 1635 MINN 2015,"“Building Stone Quarry” of V M Vijay over an extent of 2-20 Acres at Sy No: 36/8(P), Yalakanuru Village, Somwarpet Taluk, Kodagu District, Karnataka",Karnataka,Kodagu,Somvarpet,Date of Submission for EC: 29 Dec 2015 ,Date of Ec Granted : 26 Apr 2016,Non-Coal Mining,V M VIJAY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/36669/2015&pid=5815,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/36669/2015&type=EC&ID=5815
5,SIA/KA/MIS/165063/2020,SEIAA 109 CON 2020,M/s. Janaadhar South1 Projects LLP,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 24 Jul 2020 ,Date of Ec Granted : 04 Sep 2020,INFRA-2,M/S. JANAADHAR SOUTH 1 PROJECTS LLP,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIS/165063/2020&pid=117492,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/165063/2020&type=EC&ID=117492
6,SIA/KA/MIN/32973/2015,SEIAA 1467 MIN 2015,"“Building Stone Quarry” over an extent of 1-00 Acres at Sy No: 105/4A, Yamagarni Village, Chikkodi Taluk, Belgaum District, Karnataka.",Karnataka,Belgaum,Chikodi,Date of Submission for EC: 19 Nov 2015 ,Date of Ec Granted : 27 Jan 2016,Non-Coal Mining,VALCHAND K SHAH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/32973/2015&pid=2388,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/32973/2015&type=EC&ID=2388
7,SIA/KA/MIN/2773/2015,SEIAA 1230 MIN 2015,"“Building Stone Quarry” of  P.S. Anthony Sy No: 06, Yeduru Village,  Mudigere Taluk,  Chikkamagaluru District,  Karnataka",Karnataka,Chikmagalur,Mudigere,Date of Submission for EC: 03 Oct 2015 ,Date of Ec Granted : 11 Dec 2015,Non-Coal Mining,P S ANTHONY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/2773/2015&pid=24841,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2773/2015&type=EC&ID=24841
8,SIA/KA/MIN/2664/2015,SEIAA 1201 MIN 2015,Building Stone Quarry,Karnataka,Tumkur,Sira,Date of Submission for EC: 01 Oct 2015 ,Date of Ec Granted : 28 Mar 2016,Non-Coal Mining,RAMAKRISHNAPPA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/2664/2015&pid=24864,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2664/2015&type=EC&ID=24864
9,SIA/KA/MIN/2408/2015,SEIAA 1212 MIN 2015,"“Building Stone Quarry” of  M/s. Archean Granites Private Ltd at Beeranakoppa Village, BangarpetTaluk, Kolar District,",Karnataka,Kolar,Bangarpet,Date of Submission for EC: 01 Oct 2015 ,Date of Ec Granted : 02 Dec 2015,Non-Coal Mining,ARCHEAN GRANITE PRIVATE LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/2408/2015&pid=24871,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2408/2015&type=EC&ID=24871
