,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/KL/MIN/164222/2020,1757/EC3/2020/SEIAA,"Mr N S Ganesh,Managing Partner ,M/s ESSGEE Trading and infrastructure",MR  N S  GANESH,EC Granted,EC,
2,2,SIA/KL/MIN/271891/2022,2687/A2/2019/SEIAA,Serene Scaria,SERENE VEMPENY,EC Granted,EC,
3,3,SIA/KL/MIN/272116/2022,2552/EC2/2019/SEIAA,Proposed building stone quarry of Mr Yespal,HARITHA CONSULTANTS,EC Granted,EC,
4,4,SIA/KL/MIN/164458/2020,1847/EC1/2020/SEIAA,Vijayan Pallickal,VIJAYAN PALLICKAL,Delisted,EC,
5,5,SIA/KL/MIN/164464/2020,1784/EC3/2020/SEIAA,Mr Jobin C Raju,JOBIN   C   RAJU,EC Granted,EC,
6,6,SIA/KL/MIN/152637/2020,1706/EC6/2020/SEIAA,Laterite Building Stone Quarry of Mohammed Faisal P,LATERITE BUILDING STONE QUARRY OF MOHAMMED FAISAL P,EC Granted,EC,
7,7,SIA/KL/MIN/226994/2021,,Granite Building Stone Quarry of M/s Morayoor Granites Pvt Ltd,MORAYOOR GRANITES PVT LTD,Pending at PP due to eds,EC,
8,8,SIA/KL/IND2/215978/2021,2020/EC2/2022/SEIAA,"Offshore Oil and Gas Exploration,Development and Production in Oil and Gas Exploratory Block : KK-OSHP-2018/1",OIL INDIA LIMITED KGB,EC Granted,EC,
9,9,SIA/KL/MIN/181637/2020,,Bharathapuzha River Basin Kadavu 11,BHARATHAPUZHA RIVER BASIN,Delisted,EC,
10,10,SIA/KL/MIN/130330/2019,1924/EC6/2021/SEIAA,Granite Building Stone Quarry Project of M/s Manjeri Blue Metals,MANJERI BLUE METALS,EC Granted,EC,
1,11,SIA/KL/MIN/134791/2020,1625/EC1/2020/SEIAA,Proposed granite building stone quarry of Mr.Raju K Thomas,HARITHA CONSULTANTS,EC Granted,EC,
2,12,SIA/KL/MIN/173261/2020,1431/EC3/SEIAA/2019,Conversion TOR to EC Granite Building Stone Quarry of Mr. rajeevan P V,BUILDING STONE QUARRY OF MR RAJEEVAN PV,EC Granted,EC,
