,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/KL/MIN/164222/2020,1757/EC3/2020/SEIAA,"Mr N S Ganesh,Managing Partner ,M/s ESSGEE Trading and infrastructure",Kerala,Ernakulam,Kunnathunad,Date of Submission for EC: 21 Aug 2020 ,Date of Ec Granted : 11 Oct 2022,Non-Coal Mining,MR  N S  GANESH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/164222/2020&pid=116306,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164222/2020&type=EC&ID=116306
1,SIA/KL/MIN/271891/2022,2687/A2/2019/SEIAA,Serene Scaria,Kerala,Kottayam,Vaikom,Date of Submission for EC: 04 Jun 2022 ,Date of Ec Granted : 19 Sep 2023,Non-Coal Mining,SERENE VEMPENY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/271891/2022&pid=203089,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/271891/2022&type=EC&ID=203089
2,SIA/KL/MIN/272116/2022,2552/EC2/2019/SEIAA,Proposed building stone quarry of Mr Yespal,Kerala,Kollam,Kottarakkara,Date of Submission for EC: 10 May 2022 ,Date of Ec Granted : 02 Aug 2022,Non-Coal Mining,HARITHA CONSULTANTS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/272116/2022&pid=203153,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/272116/2022&type=EC&ID=203153
3,SIA/KL/MIN/164458/2020,1847/EC1/2020/SEIAA,Vijayan Pallickal,Kerala,Thiruvananthapuram,Chirayinkeezhu,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2020 ,Non-Coal Mining,VIJAYAN PALLICKAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/164458/2020&pid=116366,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164458/2020&type=EC&ID=116366
4,SIA/KL/MIN/164464/2020,1784/EC3/2020/SEIAA,Mr Jobin C Raju,Kerala,Ernakulam,Muvattupuzha,Date of Submission for EC: 09 Sep 2020 ,Date of Ec Granted : 11 Oct 2022,Non-Coal Mining,JOBIN   C   RAJU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/164464/2020&pid=116367,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164464/2020&type=EC&ID=116367
5,SIA/KL/MIN/152637/2020,1706/EC6/2020/SEIAA,Laterite Building Stone Quarry of Mohammed Faisal P,Kerala,Malappuram,Perinthalmanna,Date of Submission for EC: 13 Jun 2020 ,Date of Ec Granted : 23 Aug 2022,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF MOHAMMED FAISAL P,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/152637/2020&pid=104611,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/152637/2020&type=EC&ID=104611
6,SIA/KL/MIN/226994/2021,,Granite Building Stone Quarry of M/s Morayoor Granites Pvt Ltd,Kerala,Malappuram,Eranad,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2022 ,Non-Coal Mining,MORAYOOR GRANITES PVT LTD,Request for withdraw,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/226994/2021&pid=190637,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/226994/2021&type=EC&ID=190637
7,SIA/KL/IND2/215978/2021,2020/EC2/2022/SEIAA,"Offshore Oil and Gas Exploration,Development and Production in Oil and Gas Exploratory Block : KK-OSHP-2018/1",Kerala,Kollam,Kollam,Date of Submission for EC: 08 Oct 2021 ,Date of Ec Granted : 21 Feb 2023,Industrial Projects - 2,OIL INDIA LIMITED KGB,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/IND2/215978/2021&pid=188499,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/IND2/215978/2021&type=EC&ID=188499
8,SIA/KL/MIN/181637/2020,,Bharathapuzha River Basin Kadavu 11,Kerala,Malappuram,Ponnani,Date of Submission for TOR: ,Date of Submission for EC: 02 Nov 2020 ,Non-Coal Mining,BHARATHAPUZHA RIVER BASIN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/181637/2020&pid=142419,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/181637/2020&type=EC&ID=142419
9,SIA/KL/MIN/130330/2019,1924/EC6/2021/SEIAA,Granite Building Stone Quarry Project of M/s Manjeri Blue Metals,Kerala,Malappuram,Eranad,Date of Submission for EC: 20 Jul 2021 ,Date of Ec Granted : 24 Jan 2023,Non-Coal Mining,MANJERI BLUE METALS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/130330/2019&pid=79105,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/130330/2019&type=EC&ID=79105
10,SIA/KL/MIN/134791/2020,1625/EC1/2020/SEIAA,Proposed granite building stone quarry of Mr.Raju K Thomas,Kerala,Thiruvananthapuram,Chirayinkeezhu,Date of Submission for EC: 05 Apr 2020 ,Date of Ec Granted : 01 Dec 2022,Non-Coal Mining,HARITHA CONSULTANTS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/134791/2020&pid=84186,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/134791/2020&type=EC&ID=84186
11,SIA/KL/MIN/173261/2020,1431/EC3/SEIAA/2019,Conversion TOR to EC Granite Building Stone Quarry of Mr. rajeevan P V,Kerala,Kannur,Taliparamba,Date of Submission for EC: 15 Sep 2020 ,Date of Ec Granted : 02 Aug 2022,Non-Coal Mining,BUILDING STONE QUARRY OF MR RAJEEVAN PV,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/173261/2020&pid=130392,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/173261/2020&type=EC&ID=130392
12,SIA/KL/MIN/281177/2022,,"Granite Building stone quarry of Mr. DEEPAK CHEEROTHY in survey no. 1292, 1288/2P and 1288/2 of area 0.9984 Ha in Kodassery Village, Chalakudy Taluk, Thrissur District, Kerala State",Kerala,Thrissur,Mukundapuram,Date of Submission for TOR: ,Date of Submission for EC: 05 Jul 2022 ,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF DEEPAK CHEEROTHY,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/281177/2022&pid=208318,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/281177/2022&type=EC&ID=208318
13,SIA/KL/MIN/277563/2022,,GRANITE BUILDING STONE QUARRY OF ARIF,,,,Date of Submission for TOR: ,Date of Submission for EC: 10 Jun 2022 ,Non-Coal Mining, ARIF,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/277563/2022&pid=204452,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/277563/2022&type=EC&ID=204452
14,SIA/KL/MIN/277574/2022,2093/EC6/2022/SEIAA,Muhammed faisal kp,Kerala,Malappuram,Ernad,Date of Submission for TOR: ,Date of Submission for EC: 11 Jun 2022 ,Non-Coal Mining,KONDOTTY MUHAMMED FAISAL,Accepted by SEIAA and forwarded to SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/277574/2022&pid=204457,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/277574/2022&type=EC&ID=204457
15,SIA/KL/MIN/61795/2019,1894/EC6/2021/SEIAA,"Building Stone Minor Mineral Mining (Quarry) project of Mr. Manoj K. at Kannamangalam Village, Thirurangadi Taluk, Malappuram District, Kerala for an area of 0.9524 hectors.",Kerala,Malappuram,Tirurangadi,Date of Submission for EC: 20 Apr 2021 ,Date of Ec Granted : 18 Feb 2023,Non-Coal Mining,MANOJ K.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/61795/2019&pid=173615,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/61795/2019&type=EC&ID=173615
16,SIA/KL/MIS/103097/2019,1349/EC2/2019/SEIAA,Environmen,Kerala,Kottayam,Kottayam,Date of Submission for EC: 23 Apr 2019 ,Date of Ec Granted : 03 Oct 2019,INFRA-2,"GOVT. MEDICAL COLLEGE, KOTTAYAM",EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIS/103097/2019&pid=55021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIS/103097/2019&type=EC&ID=55021
17,SIA/KL/MIN/141080/2020,,REJI P CHERIYAN 01,Kerala,Ernakulam,Muvattupuzha,Date of Submission for TOR: ,Date of Submission for EC: 05 Feb 2020 ,Non-Coal Mining,REJI P CHERIYAN 01,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/141080/2020&pid=86815,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/141080/2020&type=EC&ID=86815
18,SIA/KL/MIN/143958/2020,1598/EC4/2020/SEIAA,Laterite building stone of Mr Ramachandran P,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 19 May 2020 ,Non-Coal Mining,LATERITE BUILDING STONE QUARRY OF MR. RAMACHANDRAN P.,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/143958/2020&pid=91494,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/143958/2020&type=EC&ID=91494
19,SIA/KL/MIN/278399/2022,2095/EC4/2022/SEIAA,"Building Stone Minor Mineral Mining (Quarry) project of Shri. K. Gangadharan  at Re-Survey No. 151/1 of Puthur Village, Thalassery Taluk, Kannur District, Kerala for area of 0.8456 hectare",Kerala,Kannur,Thalassery,Date of Submission for TOR: ,Date of Submission for EC: 17 Nov 2022 ,Non-Coal Mining,K GANGADHARAN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/278399/2022&pid=207652,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/278399/2022&type=EC&ID=207652
20,SIA/KL/MIN/154110/2020,1730/EC2/2020/SEIAA,Building Stone Quarry Project of M/s K Lekshmanan Infrastructure and Industries Pvt Ltd,Kerala,Kollam,Kottarakkara,Date of Submission for EC: 03 Jul 2020 ,Date of Ec Granted : 07 Nov 2022,Non-Coal Mining,K LEKSHMANAN INFRASTRUCTURES AND INDUSTRIES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/154110/2020&pid=105995,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/154110/2020&type=EC&ID=105995
21,SIA/KL/MIN/71717/2019,1518/EC4/2019/SEIAA,M/s United Granites,Kerala,Ernakulam,Kunnathunad,Date of Submission for TOR: ,Date of Submission for EC: 01 Feb 2022 ,Non-Coal Mining,M/S UNITED GRANITES,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/71717/2019&pid=198616,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/71717/2019&type=EC&ID=198616
