,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/MP/MIN/172557/2020,7778/2020,Gagaurni Crusher Stone Quarry,GOPAL SHARMA,EC Granted,EC,
2,2,SIA/MP/MIN/192559/2021,8121/2021,PALI DIRMAN (DOLERITE) STONE QUARRY,ATUL KUMAR MANGAL,EC Granted,EC,
3,3,SIA/MP/IND2/41537/2019,6497/2019,Manufacturingof Metallic Stearates & Intermediate Liquid Metal Soaps,BAERLOCHER INDIA ADDITIVES PVT LTD,EC Granted,EC,
4,4,SIA/MP/MIS/152589/2020,7108/2020,"Proposed Commercial cum Hotel Project “Fortune Azure” at Plot No 14,15,16 Mechanic Nagar Extension, Scheme No. 54, Indore Madhya Pradesh",M/S SAISHAKTI REALTIES PVT. LTD.,EC Granted,EC,
5,5,SIA/MP/MIN/197783/2021,8242/2021,Shekhukheda Stone Quarry,LOKENDRA SINGH THAKUR,EC Granted,EC,
6,6,SIA/MP/MIN/52096/2020,7012/2020,Dirman Stone Quarry of M/s Yashstar Stones Pvt. Ltd.,M/S YASHSTAR STONES PRIVATE LIMITED,EC Granted,EC,
7,7,SIA/MP/MIN/57072/2020,7909/2020,M/s Siddh Vinayak Stone Agreegate,SIDDH VINAYAK STONE AGGREGATE,EC Granted,EC,
8,8,SIA/MP/MIN/232044/2021,8806/2021,Urhana Crusher Stone Quarry,SHRI VINAY JAIN.,Rejection Letter Granted,EC,
9,9,SIA/MP/MIN/205403/2021,8522/2021,Panjara stone deposit,M/S MARUTI ENTERPRISES,EC Granted,EC,
10,10,SIA/MP/MIN/249556/2022,8935/2022,Jonsil Soil Deposit,NABAB SINGH,EC Granted,EC,
1,11,SIA/MP/MIN/44355/2019,,BASOBA STONE QUARRY,SURENDRA MOHAN AGRAWAL,Delisted,EC,
2,12,SIA/MP/MIN/44381/2019,6680/2019,Haveli Quarry lease,GAMEWATI SINGH MASHRAM W/O SHRI LALAN SINGH MASHRAM,EC Granted,EC,
3,13,SIA/MP/MIS/120949/2019,5771/2018,"Construction of Group Housing Project “Fortune Divine City” at Khasra No. 260/1/|/1, 257/3, village Misrod, P.H. No. 42, Tehsil Huzur, District- Bhopal, M.P.",FORTUNE BUILDERS,EC Granted,EC,
4,14,SIA/MP/MIN/53912/2019,6572/2019,"Biloua Stone (Gitti) Quarry, Survey No.3893, 3895",SHRI AKASH SINGH TOMAR,EC Granted,EC,
5,15,SIA/MP/MIS/153134/2020,7069/2020,INTER STATE BUS TERMINAL,"INDORE DEVELOPMENT AUTHORITY, INDORE, MADHYA PRADESH",EC Granted,EC,
6,16,SIA/MP/MIN/155191/2020,7208/2020,Kodhida Sand Quarry,VIRENDRA SINGH JADOUN,EC Granted,EC,
7,17,SIA/MP/MIN/155240/2020,8213/2021,Nagjhiri Khodu -Bharu Sand Quarry,VIRENDRA SINGH JADOUN,EC Granted,EC,
8,18,SIA/MP/MIN/156208/2020,7195/2020,Tanganamal sand Quarry,M/S. HOTEL UMA RESIDENCY,EC Granted,EC,
9,19,SIA/MP/MIN/173476/2020,7780/2020,Tindoniya Murum Quarry,NANDKISHORE KALMODIYA,EC Granted,EC,
10,20,SIA/MP/MIN/173853/2020,7753/2020,Narayanpur Soil (Briks Earth) Quarry,"SHRI VIJENDRA KUMAR RAJORIYA, S/O SHRO RAMGOVIND RAJORIYA",EC Granted,EC,
