,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/MP/MIN/40128/2019,6773/2020,LAKHNI FLAG STONE QUARRY,LAKHNI FLAG STONE QUARRY,EC Granted,EC,, 
1,2,2,SIA/MP/MIN/40913/2019,,"DHANELA STONE (GITTY) QUARRY  Khasra No. 3001, 3002, 3000 & 3190",KAPOOR SINGH GURJAR,Delisted,EC,, 
2,3,3,SIA/MP/MIN/59878/2019,6375/2019,Chatua Granite Mine,MARBLE PARK,EC Granted,EC,, 
3,4,4,SIA/MP/MIN/169495/2020,7836/2020,DHARTIKACHHAR ORDINARY SAND QUARRY,AARADHYA LOGISTIC SOLUTION PVT LTD,EC Granted,EC,, 
4,5,5,SIA/MP/MIN/168086/2020,7507/2020,Ramnai Sand quarry,RASMEET SINGH MALHOTRA,EC Granted,EC,, 
5,6,6,SIA/MP/MIN/167325/2020,7647/2020,bamnoda stone quarry,SHIR KAPIL PANDEY,EC Granted,EC,, 
6,7,7,SIA/MP/MIN/155936/2020,,Kayatkhedi Sand Quarry,R.K.GUPTA CONTRACTORS AND ENGINEERS PRIVATE LIMITED,Delisted,EC,, 
7,8,8,SIA/MP/MIN/155757/2020,7168/2020,Kulwara Stone Quarry of Ms Chandrika Mines and Minerals,MS CHANDRIKA MINES AND MINERALS,EC Granted,EC,, 
8,9,9,SIA/MP/MIN/155762/2020,7234/2020,Pondi Sand Quarry,M/S SAINIK INDUSTRIES PVT. LTD.,EC Granted,EC,, 
9,10,10,SIA/MP/MIN/203932/2021,8386/2021,Sarra Kishore Sand Quarry,M/S R.K. TRANSPORT & CONSTRUCTIONS LIMITED,EC Granted,EC,, 
10,11,1,SIA/MP/MIN/196896/2021,8199/2021,Depalkhedi Sand Quarry Deposite,NIKHLESH GANGHORIYA,EC Granted,EC,, 
11,12,2,SIA/MP/MIN/228255/2021,8758/2021,PAMRA QUARRY LEASE,M/S MEHTA STONE CRUSHER,EC Granted,EC,, 
12,13,3,SIA/MP/MIN/224084/2021,8630/2021,Nogawan Stone Quarry (Temporary Permit),GAWAR CONSTRUCTION LIMITED AUTHORISED SIGNATORY PARVEEN KUMAR RAWAL,EC Granted,EC,, 
13,14,4,SIA/MP/MIN/76654/2021,8626/2021,GOBRI SAND QUARRY ON TIPAN RIVER OF M/S K. G. DEVELOPERS,M/S K. G. DEVELOPERS.,EC Granted,EC,, 
14,15,5,SIA/MP/MIN/37514/2019,6388/2019,"Dighori Stone Quarry, 0.77 Ha  at Village- Dighori, Tehsil- Seoni, District-Seoni (M.P.)",SMT SHASHI BAGHEL,EC Granted,EC,, 
15,16,6,SIA/MP/MIN/37717/1900,,Balkhad Murum Quarry of Shri Sadik Khan,SHRI SADIK KHAN,Delisted,EC,, 
16,17,7,SIA/MP/IND2/166809/2020,7662/2020,"API Drugs Manufacturing Plant at Plot No. 92, Smart Industrial Park, Pithampur industrial Area, Pithampur, District Dhar Madhya Pradesh",LIFEFIRST PHARMA PRIVATE LIMITED,EC Granted - Processed offline,EC,, 
