,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/MP/MIN/40128/2019,6773/2020,LAKHNI FLAG STONE QUARRY,Madhya Pradesh,Damoh,Jabera,Date of Submission for EC: 07 Aug 2019 ,Date of Ec Granted : 20 May 2020,Non-Coal Mining,LAKHNI FLAG STONE QUARRY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/40128/2019&pid=58853,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/40128/2019&type=EC&ID=58853
1,SIA/MP/MIN/40913/2019,,"DHANELA STONE (GITTY) QUARRY  Khasra No. 3001, 3002, 3000 & 3190",Madhya Pradesh,Morena,Morena,Date of Submission for TOR: ,Date of Submission for EC: 19 Jan 2022 ,Non-Coal Mining,KAPOOR SINGH GURJAR,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/40913/2019&pid=61292,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/40913/2019&type=EC&ID=61292
2,SIA/MP/MIN/59878/2019,6375/2019,Chatua Granite Mine,Madhya Pradesh,Anuppur,Anuppur,Date of Submission for EC: 16 Jan 2021 ,Date of Ec Granted : 17 Mar 2021,Non-Coal Mining,MARBLE PARK,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/59878/2019&pid=160081,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/59878/2019&type=EC&ID=160081
3,SIA/MP/MIN/169495/2020,7836/2020,DHARTIKACHHAR ORDINARY SAND QUARRY,Madhya Pradesh,Jabalpur,Patan,Date of Submission for EC: 23 Sep 2020 ,Date of Ec Granted : 22 Oct 2020,Non-Coal Mining,AARADHYA LOGISTIC SOLUTION PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/169495/2020&pid=124450,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/169495/2020&type=EC&ID=124450
4,SIA/MP/MIN/168086/2020,7507/2020,Ramnai Sand quarry,Madhya Pradesh,Panna,Ajaigarh,Date of Submission for EC: 14 Aug 2020 ,Date of Ec Granted : 23 Oct 2020,Non-Coal Mining,RASMEET SINGH MALHOTRA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/168086/2020&pid=124138,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/168086/2020&type=EC&ID=124138
5,SIA/MP/MIN/167325/2020,7647/2020,bamnoda stone quarry,Madhya Pradesh,Sagar,Garhakota,Date of Submission for EC: 09 Sep 2020 ,Date of Ec Granted : 20 Mar 2022,Non-Coal Mining,SHIR KAPIL PANDEY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/167325/2020&pid=121967,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/167325/2020&type=EC&ID=121967
6,SIA/MP/MIN/155936/2020,,Kayatkhedi Sand Quarry,Madhya Pradesh,Khargaone,No Data,Date of Submission for TOR: ,Date of Submission for EC: 04 Jun 2020 ,Non-Coal Mining,R.K.GUPTA CONTRACTORS AND ENGINEERS PRIVATE LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/155936/2020&pid=110533,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155936/2020&type=EC&ID=110533
7,SIA/MP/MIN/155757/2020,7168/2020,Kulwara Stone Quarry of Ms Chandrika Mines and Minerals,Madhya Pradesh,Chhatarpur,Nowgaon,Date of Submission for EC: 04 Jun 2020 ,Date of Ec Granted : 10 Jul 2020,Non-Coal Mining,MS CHANDRIKA MINES AND MINERALS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/155757/2020&pid=110492,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155757/2020&type=EC&ID=110492
8,SIA/MP/MIN/155762/2020,7234/2020,Pondi Sand Quarry,Madhya Pradesh,Sidhi,Kusmi,Date of Submission for EC: 03 Jun 2020 ,Date of Ec Granted : 05 Aug 2020,Non-Coal Mining,M/S SAINIK INDUSTRIES PVT. LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/155762/2020&pid=110493,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155762/2020&type=EC&ID=110493
9,SIA/MP/MIN/203932/2021,8386/2021,Sarra Kishore Sand Quarry,Madhya Pradesh,Hoshangabad,Pipariya,Date of Submission for EC: 16 Mar 2021 ,Date of Ec Granted : 12 May 2021,Non-Coal Mining,M/S R.K. TRANSPORT & CONSTRUCTIONS LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/203932/2021&pid=173759,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/203932/2021&type=EC&ID=173759
10,SIA/MP/MIN/196896/2021,8199/2021,Depalkhedi Sand Quarry Deposite,Madhya Pradesh,Ashoknagar,Nai Saray,Date of Submission for EC: 10 Feb 2021 ,Date of Ec Granted : 15 Mar 2021,Non-Coal Mining,NIKHLESH GANGHORIYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/196896/2021&pid=162995,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/196896/2021&type=EC&ID=162995
11,SIA/MP/MIN/228255/2021,8758/2021,PAMRA QUARRY LEASE,Madhya Pradesh,Anuppur,Pushprajgarh,Date of Submission for EC: 01 Nov 2021 ,Date of Ec Granted : 12 Jan 2022,Non-Coal Mining,M/S MEHTA STONE CRUSHER,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/228255/2021&pid=190949,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/228255/2021&type=EC&ID=190949
12,SIA/MP/MIN/224084/2021,8630/2021,Nogawan Stone Quarry (Temporary Permit),Madhya Pradesh,Ujjain,Ujjain,Date of Submission for EC: 16 Aug 2021 ,Date of Ec Granted : 18 Oct 2021,Non-Coal Mining,GAWAR CONSTRUCTION LIMITED AUTHORISED SIGNATORY PARVEEN KUMAR RAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/224084/2021&pid=190007,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/224084/2021&type=EC&ID=190007
13,SIA/MP/MIN/76654/2021,8626/2021,GOBRI SAND QUARRY ON TIPAN RIVER OF M/S K. G. DEVELOPERS,Madhya Pradesh,Anuppur,Jaithari,Date of Submission for EC: 25 May 2022 ,Date of Ec Granted : 20 Dec 2022,Non-Coal Mining,M/S K. G. DEVELOPERS.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/76654/2021&pid=202965,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/76654/2021&type=EC&ID=202965
14,SIA/MP/MIN/37514/2019,6388/2019,"Dighori Stone Quarry, 0.77 Ha  at Village- Dighori, Tehsil- Seoni, District-Seoni (M.P.)",Madhya Pradesh,Seoni,Seoni,Date of Submission for EC: 12 Jun 2019 ,Date of Ec Granted : 22 Oct 2019,Non-Coal Mining,SMT SHASHI BAGHEL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/37514/2019&pid=56497,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/37514/2019&type=EC&ID=56497
15,SIA/MP/MIN/37717/1900,,Balkhad Murum Quarry of Shri Sadik Khan,,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Jul 2019 ,Non-Coal Mining,SHRI SADIK KHAN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/37717/1900&pid=56631,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/37717/1900&type=EC&ID=56631
16,SIA/MP/IND2/166809/2020,7662/2020,"API Drugs Manufacturing Plant at Plot No. 92, Smart Industrial Park, Pithampur industrial Area, Pithampur, District Dhar Madhya Pradesh",Madhya Pradesh,Dhar,Pithampur,Date of Submission for EC: 08 Sep 2020 ,Date of Ec Granted : 29 Oct 2020,Industrial Projects - 2,LIFEFIRST PHARMA PRIVATE LIMITED,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/IND2/166809/2020&pid=121841,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/IND2/166809/2020&type=EC&ID=121841
17,SIA/MP/MIN/140196/2020,6800/2020,Mohana Soil Quarry,Madhya Pradesh,Gwalior,Ghatigaon,Date of Submission for EC: 01 Feb 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,SHRI BADRI PRASAD PRAJAPATI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/140196/2020&pid=86576,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/140196/2020&type=EC&ID=86576
18,SIA/MP/MIN/159389/2020,7367/2020,Saraipatera (Bhaisantola) Stone Quarry,Madhya Pradesh,Anuppur,Pushprajgarh,Date of Submission for EC: 21 Jun 2020 ,Date of Ec Granted : 08 Feb 2021,Non-Coal Mining,MR. SUNIL KUMAR GUPTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/159389/2020&pid=113142,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/159389/2020&type=EC&ID=113142
19,SIA/MP/MIN/175490/2020,7869/2020,Jhara Stone Quarry,Madhya Pradesh,Singrouli,Sarai,Date of Submission for EC: 25 Sep 2020 ,Date of Ec Granted : 07 Dec 2020,Non-Coal Mining,SHRI ASHISH KUMAR TIWARI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/175490/2020&pid=134002,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/175490/2020&type=EC&ID=134002
20,SIA/MP/MIN/253977/2022,8997/2022,Dharola Stone Quarry,Madhya Pradesh,Agar Malwa,Nalkheda,Date of Submission for EC: 07 Feb 2022 ,Date of Ec Granted : 02 May 2022,Non-Coal Mining, R K INFRA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/253977/2022&pid=198544,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/253977/2022&type=EC&ID=198544
