,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/MH/MIN/94000/2019,,Kapileshwar sand ghat over Purna river Dist Akola,TAHSILDAR SGY AKOLA,Disposed through earlier site ec-ecmpcb-in,EC,
2,2,SIA/MH/MIN/94006/2019,,Bhod Sand Ghat Over Purna River Dist Akola,TAHSILDAR SGY AKOLA,Disposed through earlier site ec-ecmpcb-in,EC,
3,3,SIA/MH/MIN/161390/2020,SIA/MH/MIN/161390/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.15ha (0.37 acre) of Rakhi sand ghat on Potphodi River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
4,4,SIA/MH/MIN/161452/2020,SIA/MH/MIN/161452/2020,Chichala River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
5,5,SIA/MH/MIN/161473/2020,SIA/MH/MIN/161473/2020,Environmental Clearance for proposed river bed Sand mining having area 4.00 Ha of Waghoda sand ghat on Pench River.,"DISTRICT MINING OFFICER, NAGPUR",EC Granted,EC,
6,6,SIA/MH/MIN/161491/2020,SIA/MH/MIN/161491/2020,Khambala River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
7,7,SIA/MH/MIN/161547/2020,SIA/MH/MIN/161547/2020,Uti Stone Quarry,SHRI. RAHUL JASUBHAI PATEL,WithdrawEC,EC,
8,8,SIA/MH/MIN/161591/2020,SIA/MH/MIN/161591/2020,Environmental Clearance for proposed river bed Sand mining having lease area 1.96 ha (4.84 acre) of  Anjanwadi sand ghat on Purna River,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
9,9,SIA/MH/MIN/161665/2020,SIA/MH/MIN/161665/2020,Environmental Clearance for proposed river bed Sand mining having area 3.80 Ha of Esapur-A sand ghat on Kanhan River.,"DISTRICT MINING OFFICER, NAGPUR",EC Granted,EC,
10,10,SIA/MH/MIN/161685/2020,SIA/MH/MIN/161685/2020,Kag River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
1,11,SIA/MH/MIN/154892/2020,SIA/MH/MIN/154892/2020,BORGAON AALODE SAND GHAT,DMO WARDHA,Rejection Letter Granted,EC,
2,12,SIA/MH/MIN/155153/2020,SIA/MH/MIN/155153/2020,Karanjkhed 1 sand ghat,DMO YAVATMAL,EC Granted,EC,
3,13,SIA/MH/NCP/58461/2016,SEIAA/2017/III/CR-21/TC-3,Residential Project 'Royal Palms',ROYAL CONSTRUCTION COMBINE INDIA PVT LTD,Disposed through earlier site ec-ecmpcb-in,EC,
4,14,SIA/MH/NCP/62571/2017,SEIAA/2017/II/CR-109/TC-3,Balaji Paradise,BALAJI HOME DEVELOPER,Disposed through earlier site ec-ecmpcb-in,EC,
5,15,SIA/MH/MIN/38155/2016,SEIAA/2016/I/CR19/TC-3,Arli taluka kelapur sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
6,16,SIA/MH/NCP/59117/2016,SEIAA/2017/II/CR-178/TC-3,Divine Garden by Shriram Associates,SHRIRAM ASSOCIATES PRAMOTORS AND BUILDERS,Disposed through earlier site ec-ecmpcb-in,EC,
7,17,SIA/MH/MIS/109861/2019,,"Residential Project: Ashar Maple Heights at CTS No. 18-B, Mulund",ASHAR REALTORS,Disposed through earlier site ec-ecmpcb-in,EC,
8,18,SIA/MH/MIS/60144/2016,SEIAA/2017/II/CR-143/TC-3,Proposed Project,DHIWISHA REALTY,Disposed through earlier site ec-ecmpcb-in,EC,
9,19,SIA/MH/MIN/93796/2019,,"Proposal for Sand Quarry in Awankhed Village, Taluka Dindori, District Nasik, State Maharashtra over an area of 1.0000 Ha at Kadva River",VIVEK P NAVARE,Disposed through earlier site ec-ecmpcb-in,EC,
10,20,SIA/MH/MIS/31205/2015,SEIAA/2015/I/CR179/TC-3,MALAD SEWAGE TREATMENT PLANT AT MALAD WEST,MUNICIPAL CORPORATION OF GREATER MUMBAI,Disposed through earlier site ec-ecmpcb-in,EC,
1,21,SIA/MH/MIN/161587/2020,SIA/MH/MIN/161587/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.40ha (0.98 acre) of Modumtura sand ghat on Pranhita River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
