"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1","SIA/MH/MIS/199853/2021","SIA/MH/MIS/199853/2021","Proposed amendment, internal alteration and additions at Lower Ground Floor, Upper Ground Floor and Service Floor at existing Hotel Building on Plot Bearing CTS No. 867, Village Juhu, Juhu Tara Road, Vile Parle (West), Mumbai","JUHU BEACH RESORTS LIMITED","EC Granted","EC",NA
"2","SIA/MH/NCP/32821/2015","SEIAA/2015/II/CR459/TC-3","Pyramid I","KISHAN KUMAR KEDIA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"3","SIA/MH/MIN/32902/2015","SEIAA/2015/I/CR466/TC-3","Karajghat-A+B Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"4","SIA/MH/MIN/32923/2015","SEIAA/2015/I/CR479/TC-3","Wadhana Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"5","SIA/MH/MIN/32932/2015","SEIAA/2015/I/CR484/TC-3","Ghatrohana Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"6","SIA/MH/MIS/169557/2020","SIA/MH/MIS/169557/2020","STATURE","RUCHA PROMOTERS & DEVELOPERS PVT LTD","WithdrawEC","EC",NA
"7","SIA/MH/MIN/169714/2020","SIA/MH/MIN/169714/2020","Palaskhed Stone Quarry of M/s. J. P. Khosla Partner Shri Navinchandra Jogendrapal Khosla, located in Kh No. 258, Village: Palaskhed, Tehsil: Chandur (Railway),  District: Amravati, Maharashtra over an area of 4.11 Ha","PALASKHED STONE QUARRY OF M/S. J. P. KHOSLA PARTNER SHRI NAVINCHANDRA JOGENDRAPAL KHOSLA, LOCATED IN KH NO. 258","EC Granted","EC",NA
"8","SIA/MH/MIS/169801/2020","SIA/MH/MIS/169801/2020","Proposed Project at Mundhwa by M/s. Velx Construction LLP","VELX CONSTRUCTION LLP","WithdrawEC","EC",NA
"9","SIA/MH/MIS/55107/2016","SEIAA/2016/II/CR373/TC-3","“PIRAMAL REVANTA”Proposed Residential Development On Plot Bearing C.T.S. No. 491a/6 And 491a/5 Of Nahur Village, Mulund, Mumbai","MS PIRAMAL REALTY PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"10","SIA/MH/NCP/51661/2016","SEIAA/2016/II/CR290/TC-3","Proposal for Amendment in Environmental clearance for Proposed composite building comprising of Residential building along with multi storied Public Parking Lot building at Plot bearing C.S. No 2/1629 and 1A/1629 of Lower Parel Division, Plot No 249,","K RAHEJA PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
