"","District","N","district_matched","Matched_distance_district","pc11_district_id","state_matched_district"
"1","24 Parganas",4,"varanasi",7,197,"uttar pradesh"
"2","AYODHYA",17,"gaya",5,236,"bihar"
"3","Adilabad",28,"adilabad",0,532,"andhra pradesh"
"4","Agar Malwa",27,"ambala",6,70,"haryana"
"5","Agra",26,"agra",0,146,"uttar pradesh"
"6","Ahmedabad",1566,"ahmadabad",2,474,"gujarat"
"7","Ahmednagar",88,"ahmadnagar",2,522,"maharashtra"
"8","Ajmer",891,"ajmer",0,119,"rajasthan"
"9","Akola",149,"akola",0,501,"maharashtra"
"10","Alappuzha",15,"alappuzha",0,598,"kerala"
"11","Aligarh",77,"aligarh",0,143,"uttar pradesh"
"12","Alipurduar",3,"raipur",6,410,"chhattisgarh"
"13","Alirajpur",51,"alirajpur",0,465,"madhya pradesh"
"14","Alwar",299,"alwar",0,104,"rajasthan"
"15","Ambala",6,"ambala",0,70,"haryana"
"16","Ambedkar Nagar",7,"ambedkar nagar",0,178,"uttar pradesh"
"17","Amethi",7,"amreli",4,480,"gujarat"
"18","Amravati",174,"amravati",0,503,"maharashtra"
"19","Amreli",137,"amreli",0,480,"gujarat"
"20","Amritsar",14,"amritsar",0,49,"punjab"
"21","Amroha",4,"damoh",3,428,"madhya pradesh"
"22","Anand",80,"anand",0,482,"gujarat"
"23","Anantapur",530,"anantapur",0,553,"andhra pradesh"
"24","Anantnag",1,"anantnag",0,14,"jammu kashmir"
"25","Andamans",4,"daman",3,495,"daman diu"
"26","Angul",44,"anugul",1,384,"odisha"
"27","Anjaw",1,"anjaw",0,260,"arunachal pradesh"
"28","Anugul",7,"anugul",0,384,"odisha"
"29","Anuppur",132,"anuppur",0,461,"madhya pradesh"
"30","Araria",2,"araria",0,209,"bihar"
"31","Ariyalur",7,"ariyalur",0,616,"tamil nadu"
"32","Ariyalur  ",79,"ariyalur",2,616,"tamil nadu"
"33","Arvalli",39,"arwal",4,240,"bihar"
