"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"1","24 Parganas","24 Parganas (N)",3,"24 parganas 24 parganas (n)",18,"varanasi varanasi",197,"00996"
"2","24 Parganas","North 24 Parganas",1,"24 parganas north 24 parganas",20,"varanasi varanasi",197,"00996"
"3","AYODHYA","Bikapur",2,"ayodhya bikapur",10,"khordha banapur",386,"03054"
"4","AYODHYA","Faizabad",8,"ayodhya faizabad",11,"faizabad faizabad",177,"00905"
"5","AYODHYA","Milkipur",1,"ayodhya milkipur",11,"faizabad milkipur",177,"00903"
"6","AYODHYA","Rudauli",4,"ayodhya rudauli",10,"dhar dahi",438,"03537"
"7","AYODHYA","Sohawal",2,"ayodhya sohawal",10,"sidhi sihawal",462,"03700"
"8","Adilabad","Adilabad",2,"adilabad adilabad",0,"adilabad adilabad",532,"04306"
"9","Adilabad","Asifabad",1,"adilabad asifabad",0,"adilabad asifabad",532,"04319"
"10","Adilabad","Bazarhatnoor",1,"adilabad bazarhatnoor",1,"adilabad bazarhathnoor",532,"04323"
"11","Adilabad","Bhainsa",1,"adilabad bhainsa",0,"adilabad bhainsa",532,"04339"
"12","Adilabad","Bhimini",1,"adilabad bhimini",0,"adilabad bhimini",532,"04328"
"13","Adilabad","Chennur",1,"adilabad chennur",0,"adilabad chennur",532,"04356"
"14","Adilabad","Dahegaon",1,"adilabad dahegaon",0,"adilabad dahegaon",532,"04329"
"15","Adilabad","Dandepalle",1,"adilabad dandepalle",0,"adilabad dandepalle",532,"04348"
"16","Adilabad","Gudihatnoor",1,"adilabad gudihatnoor",1,"adilabad gudihathnoor",532,"04310"
"17","Adilabad","Ichoda",1,"adilabad ichoda",0,"adilabad ichoda",532,"04322"
"18","Adilabad","Koutala",3,"adilabad koutala",1,"adilabad kouthala",532,"04316"
"19","Adilabad","Nirmal",7,"adilabad nirmal",0,"adilabad nirmal",532,"04344"
"20","Adilabad","Rebbena",2,"adilabad rebbena",2,"adilabad rebbana",532,"04327"
"21","Adilabad","Sarangapur",1,"adilabad sarangapur",0,"adilabad sarangapur",532,"04336"
"22","Adilabad","Talamadugu",2,"adilabad talamadugu",0,"adilabad talamadugu",532,"04309"
"23","Adilabad","Tamsi",2,"adilabad tamsi",0,"adilabad tamsi",532,"04305"
"24","Agar Malwa","Agar",10,"agar malwa agar",8,"sagar sagar",427,"03449"
"25","Agar Malwa","Badod",5,"agar malwa badod",10,"narmada nandod",487,"03910"
"26","Agar Malwa","Nalkheda",6,"agar malwa nalkheda",12,"sagar banda",427,"03446"
"27","Agar Malwa","Susner",6,"agar malwa susner",10,"alwar alwar",104,"00499"
"28","Agra","Agra",20,"agra agra",0,"agra agra",146,"00766"
"29","Agra","Etmadpur",3,"agra etmadpur",0,"agra etmadpur",146,"00765"
"30","Agra","Fatehabad",2,"agra fatehabad",0,"agra fatehabad",146,"00769"
"31","Agra","Kiraoli",1,"agra kiraoli",0,"agra kiraoli",146,"00767"
"32","Ahmedabad","Ahmadabad City",175,"ahmedabad ahmadabad city",2,"ahmadabad ahmadabad city",474,"03781"
"33","Ahmedabad","Ahmedabad City",940,"ahmedabad ahmedabad city",4,"ahmadabad ahmadabad city",474,"03781"
"34","Ahmedabad","Bavla",47,"ahmedabad bavla",2,"ahmadabad bavla",474,"03784"
"35","Ahmedabad","Daskroi",251,"ahmedabad daskroi",2,"ahmadabad daskroi",474,"03782"
"36","Ahmedabad","Dhandhuka",10,"ahmedabad dhandhuka",2,"ahmadabad dhandhuka",474,"03787"
"37","Ahmedabad","Dholka",21,"ahmedabad dholka",2,"ahmadabad dholka",474,"03783"
"38","Ahmedabad","Mandal",7,"ahmedabad mandal",2,"ahmadabad mandal",474,"03777"
"39","Ahmedabad","Sanand",108,"ahmedabad sanand",2,"ahmadabad sanand",474,"03780"
"40","Ahmedabad","Viramgam",7,"ahmedabad viramgam",2,"ahmadabad viramgam",474,"03779"
"41","Ahmednagar","Karjat",7,"ahmednagar karjat",2,"ahmadnagar karjat",522,"04213"
"42","Ahmednagar","Kopargaon",15,"ahmednagar kopargaon",2,"ahmadnagar kopargaon",522,"04203"
"43","Ahmednagar","Nagar",9,"ahmednagar nagar",2,"ahmadnagar nagar",522,"04209"
"44","Ahmednagar","Nevasa",5,"ahmednagar nevasa",2,"ahmadnagar nevasa",522,"04206"
"45","Ahmednagar","Parner",10,"ahmednagar parner",2,"ahmadnagar parner",522,"04211"
"46","Ahmednagar","Pathardi",1,"ahmednagar pathardi",2,"ahmadnagar pathardi",522,"04208"
"47","Ahmednagar","Rahta",4,"ahmednagar rahta",2,"ahmadnagar rahta",522,"04204"
"48","Ahmednagar","Rahuri",11,"ahmednagar rahuri",2,"ahmadnagar rahuri",522,"04210"
"49","Ahmednagar","Sangamner",10,"ahmednagar sangamner",2,"ahmadnagar sangamner",522,"04202"
"50","Ahmednagar","Shrigonda",9,"ahmednagar shrigonda",2,"ahmadnagar shrigonda",522,"04212"
"51","Ahmednagar","Shrirampur",7,"ahmednagar shrirampur",2,"ahmadnagar shrirampur",522,"04205"
"52","Ajmer","Ajmer",102,"ajmer ajmer",0,"ajmer ajmer",119,"00607"
"53","Ajmer","Beawar",71,"ajmer beawar",0,"ajmer beawar",119,"00609"
"54","Ajmer","Kekri",243,"ajmer kekri",0,"ajmer kekri",119,"00614"
"55","Ajmer","Kishangarh",129,"ajmer kishangarh",0,"ajmer kishangarh",119,"00606"
"56","Ajmer","Masuda",76,"ajmer masuda",0,"ajmer masuda",119,"00610"
"57","Ajmer","Nasirabad",81,"ajmer nasirabad",0,"ajmer nasirabad",119,"00611"
"58","Ajmer","Pisangan",84,"ajmer pisangan",3,"ajmer peesangan",119,"00608"
"59","Ajmer","Sarwar",60,"ajmer sarwar",0,"ajmer sarwar",119,"00613"
"60","Ajmer","bhinai",45,"ajmer bhinai",2,"ajmer bhinay",119,"00612"
"61","Akola","Akola",35,"akola akola",0,"akola akola",501,"03991"
"62","Akola","Akot",12,"akola akot",0,"akola akot",501,"03989"
"63","Akola","Balapur",31,"akola balapur",0,"akola balapur",501,"03990"
"64","Akola","Barshitakli",21,"akola barshitakli",0,"akola barshitakli",501,"03994"
"65","Akola","Murtijapur",37,"akola murtijapur",0,"akola murtijapur",501,"03992"
"66","Akola","Patur",2,"akola patur",0,"akola patur",501,"03993"
"67","Akola","Telhara",11,"akola telhara",0,"akola telhara",501,"03988"
"68","Alappuzha","Ambalappuzha",3,"alappuzha ambalappuzha",0,"alappuzha ambalappuzha",598,"05674"
"69","Alappuzha","Chengannur",1,"alappuzha chengannur",0,"alappuzha chengannur",598,"05677"
"70","Alappuzha","Cherthala",6,"alappuzha cherthala",0,"alappuzha cherthala",598,"05673"
"71","Alappuzha","Mavelikkara",5,"alappuzha mavelikkara",0,"alappuzha mavelikkara",598,"05678"
"72","Aligarh","Atrauli",22,"aligarh atrauli",0,"aligarh atrauli",143,"00754"
"73","Aligarh","Gabhana",6,"aligarh gabhana",0,"aligarh gabhana",143,"00753"
"74","Aligarh","Iglas",12,"aligarh iglas",0,"aligarh iglas",143,"00756"
"75","Aligarh","Khair",12,"aligarh khair",0,"aligarh khair",143,"00752"
"76","Aligarh","Koil",25,"aligarh koil",0,"aligarh koil",143,"00755"
"77","Alipurduar","Alipurduar II",2,"alipurduar alipurduar ii",12,"jalpaiguri alipurduar-ii",328,"02174"
"78","Alipurduar","Kumargram",1,"alipurduar kumargram",10,"jalpaiguri kumargram",328,"02172"
"79","Alirajpur","Alirajpur",8,"alirajpur alirajpur",0,"alirajpur alirajpur",465,"03713"
"80","Alirajpur","Bhavra",1,"alirajpur bhavra",0,"alirajpur bhavra",465,"03711"
"81","Alirajpur","Jobat",4,"alirajpur jobat",0,"alirajpur jobat",465,"03712"
"82","Alirajpur","No Data",34,"alirajpur no data",6,"alirajpur jobat",465,"03712"
"83","Alirajpur","sondwa",4,"alirajpur sondwa",7,"alirajpur jobat",465,"03712"
"84","Alwar","Alwar",43,"alwar alwar",0,"alwar alwar",104,"00499"
"85","Alwar","Bansur",9,"alwar bansur",0,"alwar bansur",104,"00500"
"86","Alwar","Behror",31,"alwar behror",0,"alwar behror",104,"00493"
"87","Alwar","Kathumar",8,"alwar kathumar",0,"alwar kathumar",104,"00504"
"88","Alwar","Kotkasim",4,"alwar kotkasim",0,"alwar kotkasim",104,"00495"
"89","Alwar","Mandawar",6,"alwar mandawar",0,"alwar mandawar",104,"00494"
"90","Alwar","Rajgarh",37,"alwar rajgarh",0,"alwar rajgarh",104,"00502"
"91","Alwar","Ramgarh",53,"alwar ramgarh",0,"alwar ramgarh",104,"00498"
"92","Alwar","Thanagazi",39,"alwar thanagazi",0,"alwar thanagazi",104,"00501"
"93","Alwar","Tijara",55,"alwar tijara",0,"alwar tijara",104,"00496"
"94","Alwar","kishangarhbas",12,"alwar kishangarhbas",1,"alwar kishangarh bas",104,"00497"
"95","Alwar","lakshmangarh",2,"alwar lakshmangarh",4,"alwar lachhmangarh",104,"00503"
"96","Ambala","Ambala",5,"ambala ambala",0,"ambala ambala",70,"00359"
"97","Ambala","Naraingarh",1,"ambala naraingarh",0,"ambala naraingarh",70,"00358"
"98","Ambedkar Nagar","Allapur",2,"ambedkar nagar allapur",0,"ambedkar nagar allapur",178,"00908"
"99","Ambedkar Nagar","Tanda",5,"ambedkar nagar tanda",0,"ambedkar nagar tanda",178,"00907"
"100","Amethi","Musafirkhana",1,"amethi musafirkhana",12,"meerut sardhana",138,"00732"
"101","Amethi","No Data",6,"amethi no data",9,"datia datia",422,"03405"
"102","Amravati","Achalpur",17,"amravati achalpur",0,"amravati achalpur",503,"04004"
"103","Amravati","Amravati",21,"amravati amravati",0,"amravati amravati",503,"04009"
"104","Amravati","Anjangaon Surji",2,"amravati anjangaon surji",0,"amravati anjangaon surji",503,"04003"
"105","Amravati","Bhatkuli",11,"amravati bhatkuli",0,"amravati bhatkuli",503,"04010"
"106","Amravati","Chandur Railway",5,"amravati chandur railway",0,"amravati chandur railway",503,"04013"
"107","Amravati","Chandurbazar",19,"amravati chandurbazar",0,"amravati chandurbazar",503,"04005"
"108","Amravati","Daryapur",51,"amravati daryapur",0,"amravati daryapur",503,"04011"
"109","Amravati","Dhamangaon Railway",8,"amravati dhamangaon railway",0,"amravati dhamangaon railway",503,"04014"
"110","Amravati","Dharni",15,"amravati dharni",0,"amravati dharni",503,"04001"
"111","Amravati","Morshi",10,"amravati morshi",0,"amravati morshi",503,"04006"
"112","Amravati","Nandgaon-Khandeshwar",2,"amravati nandgaon-khandeshwar",0,"amravati nandgaon-khandeshwar",503,"04012"
"113","Amravati","Teosa",7,"amravati teosa",0,"amravati teosa",503,"04008"
"114","Amravati","Warud",6,"amravati warud",0,"amravati warud",503,"04007"
"115","Amreli","Amreli",39,"amreli amreli",0,"amreli amreli",480,"03843"
"116","Amreli","Babra",15,"amreli babra",0,"amreli babra",480,"03840"
"117","Amreli","Bagasara",6,"amreli bagasara",0,"amreli bagasara",480,"03844"
"118","Amreli","Dhari",3,"amreli dhari",0,"amreli dhari",480,"03845"
"119","Amreli","Jafrabad",5,"amreli jafrabad",0,"amreli jafrabad",480,"03848"
"120","Amreli","Khambha",1,"amreli khambha",0,"amreli khambha",480,"03847"
"121","Amreli","Kunkavav Vadia",2,"amreli kunkavav vadia",0,"amreli kunkavav vadia",480,"03839"
"122","Amreli","Lathi",1,"amreli lathi",0,"amreli lathi",480,"03841"
"123","Amreli","Lilia",4,"amreli lilia",0,"amreli lilia",480,"03842"
"124","Amreli","Rajula",56,"amreli rajula",0,"amreli rajula",480,"03849"
"125","Amreli","Savar Kundla",5,"amreli savar kundla",0,"amreli savar kundla",480,"03846"
"126","Amritsar","Ajnala",5,"amritsar ajnala",0,"amritsar ajnala",49,"00255"
"127","Amritsar","Amritsar -I",3,"amritsar amritsar -i",1,"amritsar amritsar-i",49,"00256"
"128","Amritsar","Amritsar- II",3,"amritsar amritsar- ii",1,"amritsar amritsar-ii",49,"00257"
"129","Amritsar","Baba Bakala",3,"amritsar baba bakala",0,"amritsar baba bakala",49,"00258"
"130","Amroha","Gajraula",4,"amroha gajraula",10,"amreli rajula",480,"03849"
"131","Anand","Anand",15,"anand anand",0,"anand anand",482,"03864"
"132","Anand","Anklav",2,"anand anklav",0,"anand anklav",482,"03868"
"133","Anand","Khambhat",44,"anand khambhat",0,"anand khambhat",482,"03866"
"134","Anand","Sojitra",12,"anand sojitra",0,"anand sojitra",482,"03862"
"135","Anand","Tarapur",1,"anand tarapur",0,"anand tarapur",482,"03861"
"136","Anand","Umreth",6,"anand umreth",0,"anand umreth",482,"03863"
"137","Anantapur","Agali",10,"anantapur agali",0,"anantapur agali",553,"05354"
"138","Anantapur","Amadagur",22,"anantapur amadagur",0,"anantapur amadagur",553,"05361"
"139","Anantapur","Anantapur",26,"anantapur anantapur",0,"anantapur anantapur",553,"05330"
"140","Anantapur","Atmakur",2,"anantapur atmakur",0,"anantapur atmakur",553,"05322"
"141","Anantapur","Bathalapalle",1,"anantapur bathalapalle",0,"anantapur bathalapalle",553,"05337"
"142","Anantapur","Beluguppa",4,"anantapur beluguppa",0,"anantapur beluguppa",553,"05318"
"143","Anantapur","Bommanahal",11,"anantapur bommanahal",0,"anantapur bommanahal",553,"05307"
"144","Anantapur","Brahmasamudram",10,"anantapur brahmasamudram",0,"anantapur brahmasamudram",553,"05320"
"145","Anantapur","Bukkapatnam",2,"anantapur bukkapatnam",0,"anantapur bukkapatnam",553,"05345"
