,District,Tehsil,N,District_Tehsil,Matched_distance,district_tehsil_matched,pc11_district_id,pc11_sd_id,Matched,Incorrect,Comment ,
2853,Pondicherry,Ariankuppam Commune Panchayat,1,pondicherry ariankuppam commune panchayat,32,panchkula panchkula,69,357,,1,District tehsil name is correct in  Google but not in sheet,
2355,Medchal Malkajgiri,Dundigal Gandimaisamma,32,medchal malkajgiri dundigal gandimaisamma,29,rangareddy malkajgiri,537,4521,1,,,
889,Dantewada,Bhopalpattanam (Matdand),1,dantewada bhopalpattanam (matdand),25,patan patan,470,3747,,1,District tehsil name is correct in  Google but not in sheet,
955,Dhanbad,Jharia-Cum-Jorapokhar-Cum-Sindri,5,dhanbad jharia-cum-jorapokhar-cum-sindri,25,dhanbad baghmara-cum-katras,354,2582,,1,,
1563,Jayashankar Bhupalapalli,Bhupalpally,1,jayashankar bhupalapalli bhupalpally,24,warangal bhupalpalle,540,4682,,1,"bhupalpalle is part of Warangal, not in sheet",
1565,Jayashankar Bhupalapalli,Malharrao,1,jayashankar bhupalapalli malharrao,24,karimnagar malharrao,534,4405,,1,"malharrao is part of karimnagar, not in sheet",
1564,Jayashankar Bhupalapalli,Mahadevpur,5,jayashankar bhupalapalli mahadevpur,23,warangal bhupalpalle,540,4682,,1,,
1738,Karimnagar,Bommareddypalle (H/o.Dharmaram),3,karimnagar bommareddypalle (h/o.dharmaram),22,karimnagar dharmaram,534,4411,,1,District tehsil name is correct in  Google but not in sheet( dharmaran is part of bommareddypalle,
3369,Shri Muktsar Sahib,Shri Muktsar Sahib,1,shri muktsar sahib shri muktsar sahib,22,muktsar muktsar,44,241,,1,,
4052,Yadadri Bhuvanagiri,Thurkapally,7,yadadri bhuvanagiri thurkapally,22,kangra thural,24,108,,1,thurkapally village malkangiri District ,
719,Chennai,Mylapore Triplicane,18,chennai mylapore triplicane,21,amreli lilia,480,3842,,1,District tehsil name is correct in  Google but not in sheet,
720,Chennai,Perambur Purasaivakkam,16,chennai perambur purasaivakkam,21,theni periyakulam,624,5843,,1,District tehsil name is correct in  Google but not in sheet,
2358,Medchal Malkajgiri,bachupally,23,medchal malkajgiri bachupally,21,malkangiri mathili,399,3221,,1,District tehsil name is correct in  Google but not in sheet,
2366,Medchal Malkajgiri,qutbullapur,25,medchal malkajgiri qutbullapur,21,malkangiri motu,399,3230,,1,District tehsil name is correct in  Google but not in sheet,
