,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/OR/MIS/146514/2020,146514/21-MIS/03-2020,"Proposed Residential Building Project (B+G+7) of PSGREHCS Ltd.  At: Mouza-R.T.U. No-4, Tahasil-Rourkela, Rourkela, Dist- Sundargarh.",PANPOSH SUB DIVISON  REVENUE EMPLOYEE HOUSING CO-OPERATIVE SOCIETY LTD.,EC Granted,EC,
2,2,SIA/OR/MIN/246398/2021,246398/151-MINB2/12-2021,"Kotilingi Stone Quarry over an area of 2.036 acres or 0.823 Ha having Khata No. 1515, Plot No. 5125 in the village Kotilingi, Tahasil Chikiti in district Ganjam, State Odisha.",TEHSILDAR CHIKITI,EC Granted,EC,
3,3,SIA/OR/MIN/246380/2021,,"Proposal for grant of Environmental Clearance of TAHASILDAR KOMNA over an area 5.00 Acre or 2.023Hectare in village of Lakhna under Komna Tahasil in Nuapada district, Odisha",TAHASILDAR KOMNA,Delisted,EC,
4,4,SIA/OR/MIN/249414/2022,249414/171-MINB2/01-2022,Babalpur Brick Earth Quarry Over an area of 4.59 Acres or 1.857 hectares in village Babalpur under Bhandaripokhari Tahasil of Bhadrak District of Odisha.,M/S LAXMI NARAYAN BRICKS,EC Granted,EC,
5,5,SIA/OR/MIS/265294/2022,265294/81-MIS/04-2022,"Proposal For Environmental Clearance of Residential Building at Kalarahanga, Bhubaneswar.",DEVAVRAT HOMES PRIVATE LIMITED,Rejection Letter Granted,EC,
6,6,SIA/OR/MIN/266509/2022,266509/629-MINB1/04-2022,"For the grant of EC of Bichhakhandi Black Stone quarry No-17(Cluster Serial No-4B/5), (Khata No-389, Plot No-1826) over an area of 11.00 acres or 4.653 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.",TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER),EC Granted,EC,
7,7,SIA/OR/MIN/279758/2022,,"Dumuripadar Morrum Quarry over an area of 3.72 acers or 1.506 Ha having Khata No. 130 Plot No. 87/2 in the village Dumuripadar, Tahasil Koraput in district Koraput, State Odisha",TAHASILDAR KORAPUT,Pending at PP due to eds,EC,
8,8,SIA/OR/MIN/279760/2022,279760/309-MINB2/06-2022,"Ambagaon Morrum Quarry over an area of 5.00 acers or 2.024 Ha having Khata No. 103 Plot No. 500 in the village Ambagaon, Tahasil Koraput in district Koraput, State Odisha.",TAHASILDAR KORAPUT,EC Granted,EC,
9,9,SIA/OR/MIN/279599/2022,279599/308-MINB2/06-2022,"PROPOSAL FOR FRESH EC OF PUTU STONE QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES HAVING KHATA NO.433 & PLOT NO.2020, AT VILLAGE PUTU UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA OF SRI BANSIDHAR GOUDA",BANSIDHAR GOUDA,EC Granted,EC,
10,10,SIA/OR/MIN/279935/2022,279935/325-MINB2/07-2022,"For the grant of EC of Sodamal sand Bed-D (Khata No-491, Plot No-1(p)) over an area of 12.30 acres or 4.977 hacters in village Sodamal under Kolabira Tahasil of Jharsuguda District, Odisha.",TAHASILDAR KOLABIRA(ON BEHALF OF SUCCESSFUL BIDDER),EC Granted,EC,
1,11,SIA/OR/MIN/272004/2022,272004/335-MINB2/07-2022,PROPOSAL FOR FRESH EC OF GHODADIAN ROAD METAL QUARRY OVER AN AREA OF 5.62 ACRES OR 2.274 HECTARES AT VILLAGE GHODADIAN UNDER ODAPADA TAHASIL OF DHENKANAL DISTRICT ODISHA,PRAMODA PARIDA,EC Granted,EC,
2,12,SIA/OR/MIN/252485/2022,252485/209-MINB2/01-2022,Uperbeda Stone Quarry Over an area of 5.76 Acre or 2.331 Hectares in village Uperbeda under Kusumi Tahasil of Mayurbhanj District of Odisha.,GAYATRI TRADERS,EC Granted,EC,
3,13,SIA/OR/MIN/71368/2021,71368/633-MINB1/04-2022,"Environmental Clearance for production of 19426 Cum/annum of river sand by Quarrying over Sanawaubari Devi Nadi Sand Quarry (ML area 8.093 ha) in village Sanawaubari, Biridi Tahsil of Jagatsinghpur District, Odisha by Smt. Krishna Das, W/o- Rasabihari Das At- Maindipur, Ps- Biridi, Jagatsinghpur, Odisha",TAHASILDAR BIRIDI,EC Granted,EC,
4,14,SIA/OR/MIN/59702/2021,59702/189-MINB1/01-2022,"Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",JAGANNATH CORPORATION PROJECTS PRIVATE LIMITED,EC Granted,EC,
5,15,SIA/OR/MIN/273575/2022,273575/275-MINB2/05-2022,Baradiha Murrum Quarry Over an area of 2.47 Acre or 0.999 Hectares in village Baradiha under Jaleswar Tahasil of Balasore District of Odisha.,MANOJ BALABANTARAY,EC Granted,EC,
6,16,SIA/OR/MIN/273852/2022,273852/280-MINB2/05-2022,Bigapadar Sand Source over an area of 9.489 acre or 3.840 hectare in village Bigapadar under Khondamals Tahasil of Kandhamal District of Odisha.,DINAMANI NAIK,EC Granted,EC,
7,17,SIA/OR/MIS/104066/2019,104066/03-MIS/05-2019,Proposed Multistoried Residential Building “Assotech Pride” of M/s. Assotech Sun Growth Abode LLP,ASSOTECH SUN GROWTH ABODE LLP,EC Granted,EC,
