,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/OR/IND2/22582/2018,22582/247-IND2/03-2018,Sahajbahal ‘K’ O.S. Shop,DINESH PR SAHU,EC Granted,EC,
2,2,SIA/OR/MIS/48564/2017,48564/03-MIS/12-2019,"Establishment of Common Bio-Medical Waste Treatment Facility (CBWTF) of capacity 7 TPD at Village: Amsaranga, Majhapada,  District: Sundargarh, Odisha",MEDIAID MARKETING SERVICES,EC Granted,EC,
3,3,SIA/OR/MIN/50687/2016,50687/1522-NCM/03-2016,"Balangir Sand Quarry Over lease area of 15.00 acres/6.070 ha located at Village- Balangir, Tahasil- Jharbandh, District- Bargarh",NABIN PRADHAN,EC Granted - Processed offline,EC,
4,4,SIA/OR/MIN/50691/2016,50691/1576-NCM/04-2016,"Bhatakumarada Stone Quarry-D Over lease area of 13.00 acres located at Village- Bhatakumarada, Tahasil- Purushottampur, District- Ganjam",RABINARAYAN PATRA,EC Granted,EC,
5,5,SIA/OR/MIN/50812/2016,50812/1647-NCM/05-2016,"Raikala Stone Quarry Over lease area of 14.910 acres/6.034 ha located at Village- Raikala, Tahasil- Patna, District- Keonjhar",SATYENDRA KUMAR MISHRA,EC Granted,EC,
6,6,SIA/OR/IND2/29039/2018,29039/541-IND2/09-2018,"Production of 0.540 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Mankadpada Main Out Still Shop at Gayalamara Village, Tehsil-Udala , Dist –Mayurbhanj, Odisha",MANAS KUMAR MOHANTY,EC Granted,EC,
7,7,SIA/OR/IND2/29041/2018,29041/542-IND2/09-2018,"Production of 0.54 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Badadalima Main Out Still Shop at Badadalima Village, Tehsil-Tiring , Dist –Mayurbhanj, Odisha",MANAS KUMAR MOHANTY,EC Granted,EC,
8,8,SIA/OR/IND2/28843/2018,28843/527-IND2/09-2018,"Proposed Production of 1.080 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sinapali Main Out Still Shop at Sinapali, Tahasil- Sinapali, Dist-Nuapada",RAJESHKUMAR SAHU,EC Granted,EC,
9,9,SIA/OR/NCP/86475/2018,,"ISPAT POST GRADUATE INSTITUTE 
&
 SUPER SPECIALTY HOSPITAL 
At : Sector-19, Rourkela, Sundargarh ,Odisha",STEEL AUTHORITY OF INDIA LIMITED,Delisted,EC,
10,10,SIA/OR/MIN/72104/2018,72104/1945-NCM/01-2018,RUDRAPUR SAND QUARRY,AJIT KUMAR SINGH,EC Granted,EC,
1,11,SIA/OR/IND2/23300/2018,23300/355-IND2/04-2018,Golabandh O.S. Shop of Sri Anjan Kumar Sahu,ANJAN KUMAR SAHOO,EC Granted,EC,
2,12,SIA/OR/IND2/24081/2018,24081/373-IND2/04-2018,Gurkhapala O.S. Shop,BHOLANATH SAHOO,EC Granted,EC,
3,13,SIA/OR/MIN/22028/2018,22028/1965-NCM/02-2018,Champrei Sand Bed,TAPAS KUMAR DASH,EC Granted,EC,
4,14,SIA/OR/IND2/72542/2018,,LUTHURPANK O.S. SHOP,SARJAN SAHU,Delisted,EC,
5,15,SIA/OR/IND2/72544/2018,,MENDA O.S. SHOP,SARJAN SAHU,Delisted,EC,
6,16,SIA/OR/IND2/26033/2018,26033/402-IND2/05-2018,Brahmani O.S. Shop,AVINASH ANAND,EC Granted,EC,
7,17,SIA/OR/MIN/237288/2021,237288/59-MINB2/11-2021,"Badakamar Sand Quarry located in village Badakamar, over an area of 5.15 Acres/ 2.084Ha. (Khata No-246 and Plot No.-982) under Parjang Tahasil of district Dhenkanal, Odisha.","TAHSILDAR, PARJANG",EC Granted,EC,
8,18,SIA/OR/MIN/235901/2021,235901/38-MINB2/10-2021,"Kathabaunsili Stone Quarry -ll over an area of 3.40 Acres / 1.376 Hectares in village - Kathabaunsuli in Keonjhar Tahasil, Keonjhar District, Odisha","OFICE OF THE TAHASILDAR, KEONJHAR",EC Granted,EC,
9,19,SIA/OR/MIN/243798/2021,243798/107-MINB2/12-2021,Jamudiha Morrum Quarry Over an area of 1.50 Acre or 0.607 Hectares in village Jamudiha under Nilgiri Tahasil of Balasore District of Odisha.,TAHASILDAR NILGIRI,EC Granted,EC,
10,20,SIA/OR/MIN/77232/2020,77232/291-MINB2/05-2022,"For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.of Jajpur District, Odisha.",TAHASILDAR DHARMASLA (ON BEHALF OF SUCCESSFUL BIDDER),EC Granted,EC,
1,21,SIA/OR/MIS/30292/2017,,"Integrated Solid waste Management facility Project at Village Bhitargarh, Tehsil-Kujanga, District-Jagatsinghapur, State-Odisha",PARADEEP MUNICIPALITY,Delisted,EC,
2,22,SIA/OR/IND/88597/2018,,"Chrome ore beneficiation plant and Manganese roasting unit of M/s Mohashakti Ferro Alloys pvt ltd with throughput 12000TPA & 6000TPA over an area of 1Acre at village Baragada, Po-Byree, Dist-Jajpur,Odisha.",MOHASHAKTI FERRO ALLOYS PVT LTD,Delisted,EC,
3,23,SIA/OR/IND2/20314/2017,20314/43-IND2/10-2017,825 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MOHANA OS SHOP,MONOJ KUMAR SAHU,EC Granted,EC,
4,24,SIA/OR/IND2/20883/2017,20883/61-IND2/11-2017,1788 Litres per day Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.,TRINATH SAHU,EC Granted,EC,
5,25,SIA/OR/MIN/20016/2017,20016/1902-NCM/08-2017,ALARIGADA STONE QUARRY,RABINDRANATH SAHU,EC Granted,EC,
6,26,SIA/OR/MIN/74955/2018,74955/1982-NCM/05-2018,APAMARA SAND QUARRY,SURESH MAHAKUR,EC Granted,EC,
