,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/OR/MIS/102253/2019,,Orissa,Khordha,Khordha,Date of Submission for TOR: ,Date of Submission for EC: 25 Apr 2019 ,INFRA-2,ASSOTECH SUN GROWTH ABODE LLP,Delisted
1,SIA/OR/MIN/256402/2022,256402/566-MINB2/02-2022,Delhi,South West,Najafgarh,Date of Submission for EC: 12 Feb 2022 ,Date of Ec Granted : 07 Sep 2022,Non-Coal Mining,SUKANTI SAHU,EC Granted
2,SIA/OR/MIN/242968/2021,242968/97-MINB2/12-2021,Orissa,Angul,Kaniha,Date of Submission for EC: 04 Dec 2021 ,Date of Ec Granted : 18 Jul 2022,Non-Coal Mining,RASHMI RANJAN PATRA,EC Granted
3,SIA/OR/MIS/236603/2021,,Orissa,Cuttack,Cuttack Sadar,Date of Submission for TOR: ,Date of Submission for EC: 28 May 2022 ,INFRA-2,M/S EASTERN ESTATES  CONSTRUCTION AND DEVELOPERS PVT LTD,Delisted
4,SIA/OR/MIN/236790/2021,,Orissa,Sambalpur,Kochinda,Date of Submission for TOR: ,Date of Submission for EC: 01 Nov 2021 ,Non-Coal Mining,LASSASANDQUARRY.KUCHINDA,WithdrawEC
5,SIA/OR/MIN/234397/2021,234397/103-MINB2/12-2021,Orissa,Balasore,basta,Date of Submission for EC: 06 Dec 2021 ,Date of Ec Granted : 30 Apr 2022,Non-Coal Mining,TAHASILDAR BASTA BALASORE,EC Granted
6,SIA/OR/MIN/251640/2022,251640/571-MINB2/02-2022,Orissa,Kendrapara,Pattamundai,Date of Submission for EC: 14 Feb 2022 ,Date of Ec Granted : 06 May 2022,Non-Coal Mining,TAHASILDAR PATTAMUNDAI,EC Granted
7,SIA/OR/MIN/272118/2022,272118/737-MINB2/05-2022,Orissa,Balangir,Tushura,Date of Submission for EC: 10 May 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,TAHASILDAR DEOGAON,EC Granted
8,SIA/OR/MIN/60636/2021,60636/750-MINB1/05-2022,Orissa,Ganjam,Chhatrapur,Date of Submission for TOR: ,Date of Submission for EC: 13 May 2022 ,Non-Coal Mining,TAHASILDAR CHHATRAPUR,Deferred by SEIAA
9,SIA/OR/MIN/239675/2021,239675/127-MINB2/12-2021,Orissa,Angul,Anugul,Date of Submission for EC: 17 Dec 2021 ,Date of Ec Granted : 03 Jan 2022,Non-Coal Mining,NAGEN KUMAR SAHU,EC Granted
10,SIA/OR/RIV/272240/2022,272240/756-RIVB1/56-2022,Orissa,Debagarh,Barkot,Date of Submission for EC: 27 May 2022 ,Date of Ec Granted : 17 Jan 2023,River Valley and Hydroelectric Projects,CHIEF ENGINEER PROJECT PLANNING FORMULATION AND INVESTIGATION,EC Granted
