,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,SIA/OR/MIS/102253/2019,SIA/OR/MIS/102253/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,SIA/OR/MIN/256402/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,SIA/OR/MIN/242968/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,SIA/OR/MIS/236603/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,SIA/OR/MIN/236790/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,SIA/OR/MIN/234397/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,SIA/OR/MIN/251640/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,SIA/OR/MIN/272118/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,SIA/OR/MIN/60636/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,SIA/OR/MIN/239675/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SIA/OR/RIV/272240/2022,SIA/OR/RIV/272240/2022,SIA/OR/RIV/272240/2022,SIA/OR/RIV/272240/2022,SIA/OR/RIV/272240/2022,SIA/OR/RIV/272240/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,SIA/OR/MIN/234562/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,SIA/OR/MIN/237702/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,SIA/OR/MIN/252093/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,SIA/OR/MIN/251933/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021,SIA/OR/MIN/59702/2021
16,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,SIA/OR/MIN/272469/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SIA/OR/MIN/59616/2019,SIA/OR/MIN/59616/2019,SIA/OR/MIN/59616/2019,SIA/OR/MIN/59616/2019,SIA/OR/MIN/59616/2019,SIA/OR/MIN/59616/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SIA/OR/MIS/149248/2020,SIA/OR/MIS/149248/2020,SIA/OR/MIS/149248/2020,SIA/OR/MIS/149248/2020,SIA/OR/MIS/149248/2020,SIA/OR/MIS/149248/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,SIA/OR/MIN/246314/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,SIA/OR/MIN/245878/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,SIA/OR/MIN/72996/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,SIA/OR/MIN/226937/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,SIA/OR/MIN/250507/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,SIA/OR/MIN/251689/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,SIA/OR/MIN/251684/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,SIA/OR/MIN/251686/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,SIA/OR/MIN/271411/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,SIA/OR/MIN/271738/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
