,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/27936/2018,27936/475-IND2/06-2018,1202 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED GARABANDHA MAIN O S SHOP,Orissa,Gajapati,Parlakhemundi,28 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,TRIPATI SAHUKAR,MoveToTORtoECL
2,SIA/OR/IND2/27934/2018,27934/474-IND2/06-2018,4807 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PARLAKHEMUNDI MAIN O S SHOP,Orissa,Gajapati,Parlakhemundi,28 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,TRIPATI SAHUKAR,DelistedL
3,SIA/OR/IND2/27933/2018,27933/473-IND2/06-2018,2747 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED KASINAGAR MAIN O S SHOP,Orissa,Gajapati,Kashinagara,28 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,TRIPATI SAHUKAR,DelistedL
4,SIA/OR/IND2/27932/2018,27932/472-IND2/06-2018,2404 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED HADUBHANGI MAIN O S SHOP,Orissa,Gajapati,Kashinagara,28 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,TRIPATI SAHUKAR,MoveToTORtoECL
5,SIA/OR/IND2/27931/2018,27931/471-IND2/06-2018,1202 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED CHELLIGADA MAIN O S SHOP,Orissa,Gajapati,R.Udaygiri,28 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,TRIPATI SAHUKAR,MoveToTORtoECL
6,SIA/OR/IND2/27930/2018,27930/470-IND2/06-2018,490 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NARAYANPUR MAIN O S  SHOP,Orissa,Gajapati,Rayagada,27 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,BULU PATRA,DelistedL
7,SIA/OR/IND2/27914/2018,27914/469-IND2/06-2018,Sapsilet O.S. liquor Shop,Orissa,Kalahandi,Kegaon,27 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
8,SIA/OR/IND2/27912/2018,27912/468-IND2/06-2018,Mahaling O.S. liquor Shop,Orissa,Kalahandi,Kegaon,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
9,SIA/OR/IND2/27910/2018,27910/467-IND2/06-2018,Kutrabahali O.S. liquor Shop,Orissa,Kalahandi,Kegaon,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
10,SIA/OR/IND2/27911/2018,27911/466-IND2/06-2018,Lahunipada O.S. Shop,Orissa,Sundargarh,Lahunipara,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,KISHORE CHANDRA DASH,Rejected - Processed offlineL
11,SIA/OR/IND2/27906/2018,27906/465-IND2/06-2018,1032 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PUNADA (GHATAGAON) MAIN  O S SHOP,Orissa,Ganjam,Hinjili,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,DURGAMADHAB SAHU,DelistedL
12,SIA/OR/IND2/27904/2018,27904/464-IND2/06-2018,1032LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED KALASANDHAPUR MAIN O S  SHOP,Orissa,Ganjam,Asika,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,BISHNUPRIYA SAHU,DelistedL
13,SIA/OR/IND2/27901/2018,27901/463-IND2/06-2018,Mahua Flower Based Country Liquor Manufacturing unit with Licensed Deck capacity of 3780 Liters (Consisting of 2 numbers of 1890 Liters capacity Stills) of Kuarmunda OS Shop,Orissa,Sundargarh,Biramitrapur,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,SANJAY KUMAR JAISWAL,Rejected - Processed offlineL
14,SIA/OR/IND2/27898/2018,27898/462-IND2/06-2018,khaliakani Out-Still Shop,Orissa,Kalahandi,Dharamgarh,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
15,SIA/OR/IND2/27899/2018,27899/461-IND2/06-2018,Mahua Flower Based Country Liquor Manufacturing unit with Licensed Deck capacity of 17550 Liters (Consisting of 9 numbers of stills of capacity 1620 Liters and 2 numbers of stills of capacity 1485 Liters) of Rourkela OS Shop.,Orissa,Sundargarh,Biramitrapur,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,SANJAY KUMAR JAISWAL,DelistedL
16,SIA/OR/IND2/27896/2018,27896/460-IND2/06-2018,Gurjung Out-Still Shop,Orissa,Kalahandi,Kegaon,26 Jun 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
