,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/OR/IND2/20825/2017,20825/50-IND2/10-2017,600 LITERS PER DAY PRODUCTION CAPACITY IF MAHUA FLOWER BASED GOKHARKUDA MAIN O S SHOP,KAILASH MAHAPATRA,Delisted,TOR,
2,2,SIA/OR/MIN/52168/2020,To be assigned,"River bed sand mining at Kotadwar Ghat on River Mahanadi over an area of 20.235Ha (50Acre) in village Patugadadharpur under Banki Tahasil Cuttack district, Odisha.",ABHISEK MOHANTY,Delisted,TOR,
3,3,SIA/OR/MIN/52175/2020,52175/21-MINB1/03-2020,"Environmental  Clearance  for  Bhagabnpur  Decorative  Stone  Deposit  of  Sri  Sobhan Kumar Mahapatra, located at Village-Bhagabanpur, Tahasil-Kukudakhandi, Dist- Ganjam, Odisha, spread over an area of 17.547 Ha. for production of Decorative Stone @ 6,000 cum / annum.",SRI SOBHAN KUMAR MAHAPATRA,TOR Granted,TOR,
4,4,SIA/OR/IND2/20861/2017,To be assigned,1788 ltrs Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.,PODAMARI MAIN OUT STILL LIQUOR SHOP,Delisted,TOR,
5,5,SIA/OR/MIN/52602/2020,52602/10-MINB1/03-2020,"Cluster-8 mine which is constituted of Sahanidiha hillocks over an area of 49.62 Acres or 20.08 Hectares located in villages Sahanidiha of Tahasil Dharmasala & District Jajpur, Odisha.",DHARMASALA TAHASIL,TOR Granted,TOR,
6,6,SIA/OR/IND2/20891/2017,20891/52-IND2/11-2017,1032 LITER PER DAY PRODUCTION CAPACITY OF MAHUA FLOWER BASED COUNTRY LIQUOR BHUTASARSINGI (BADA KHARIDA)MAIN O.S.SHOP,PREMANADA SAHU,MoveToTORtoEC,TOR,
7,7,SIA/OR/IND2/20898/2017,20898/53-IND2/11-2017,2748 LITER PER DAY PRODUCTION CAPACITY OF MAHUA FLOWER BASED COUNTRY LIQUOR AT MUDULIPALLI MAIN O.S.SHOP,SANJAYA PRASAD,MoveToTORtoEC,TOR,
8,8,SIA/OR/MIN/20913/2017,20913/1943-NCM/01-2018,KHALIAPARA & DANGARPARA DECORATIVE STONE DEPOSIT,AMBAJI ROCKS AND MINERALS,TOR Granted - Processed offline,TOR,
9,9,SIA/OR/MIN/50636/2020,50636/05-MINB1/03-2020,Sidhua River Jaripada Sand Quarry over an area of 25.00 Acre or 10.11 Ha in village Jaripada under Sadar Tahasil of Cuttack district Odisha,PRANAKRUSHNA NAYAK,TOR Granted,TOR,
10,10,SIA/OR/MIN/52455/2020,52455/08-MINB1/03-2020,"Cluster-1 mine which is constituted of Anjira, Makundpur hillocks over an area of 137.86Acres or 55.79 Hectares located in villages Anjira & Makundpur of Tahasil Dharmasala & District Jajpur, Odisha including 15 nos of mining lease.",DHARMASALA TAHASIL,TOR Granted,TOR,
