,0,id,absolute_path
0,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22411/2018&pid=New,SIA/OR/IND2/22411/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22411/2018&pid=New
1,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22409/2018&pid=New,SIA/OR/IND2/22409/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22409/2018&pid=New
2,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22393/2018&pid=New,SIA/OR/IND2/22393/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22393/2018&pid=New
3,writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_134738520872LT9IV22393.pdf,SIA/OR/IND2/22393/2018,https://environmentclearance.nic.in/writereaddata/Formb/TOR/TOR_letter/05_Jan_2021_134738520872LT9IV22393.pdf
4,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22348/2018&pid=New,SIA/OR/IND2/22348/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22348/2018&pid=New
5,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22336/2018&pid=New,SIA/OR/IND2/22336/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22336/2018&pid=New
6,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22397/2018&pid=New,SIA/OR/IND2/22397/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22397/2018&pid=New
7,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22337/2018&pid=New,SIA/OR/IND2/22337/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22337/2018&pid=New
8,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22328/2018&pid=New,SIA/OR/IND2/22328/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22328/2018&pid=New
9,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22327/2018&pid=New,SIA/OR/IND2/22327/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/22327/2018&pid=New
