Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/OR/IND2/20825/2017,20825/50-IND2/10-2017,Orissa,Ganjam,Chhatrapur,Date of Submission : 27 Oct 2017,No Date,Industrial Projects - 2,KAILASH MAHAPATRA,Delisted
1,SIA/OR/MIN/52168/2020,To be assigned,Orissa,Cuttack,Banki,Date of Submission : 27 Mar 2020,No Date,Non-Coal Mining,ABHISEK MOHANTY,Delisted
2,SIA/OR/MIN/52175/2020,52175/21-MINB1/03-2020,Orissa,Ganjam,Kodala,Date of Submission : 07 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,SRI SOBHAN KUMAR MAHAPATRA,TOR Granted
3,SIA/OR/IND2/20861/2017,To be assigned,Orissa,Ganjam,Digapahandi,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,PODAMARI MAIN OUT STILL LIQUOR SHOP,Delisted
4,SIA/OR/MIN/52602/2020,52602/10-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 20 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
5,SIA/OR/IND2/20891/2017,20891/52-IND2/11-2017,Orissa,Ganjam,Purusottampur,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,PREMANADA SAHU,MoveToTORtoEC
6,SIA/OR/IND2/20898/2017,20898/53-IND2/11-2017,Orissa,Ganjam,Bhanjanagar,Date of Submission : 03 Nov 2017,No Date,Industrial Projects - 2,SANJAYA PRASAD,MoveToTORtoEC
7,SIA/OR/MIN/20913/2017,20913/1943-NCM/01-2018,Orissa,Balangir,Titlagarh,Date of Submission : 02 Jan 2018,Date of TOR Granted : 21 Dec 2018,Non-Coal Mining,AMBAJI ROCKS AND MINERALS,TOR Granted - Processed offline
8,SIA/OR/MIN/50636/2020,50636/05-MINB1/03-2020,Orissa,Cuttack,Cuttack Sadar,Date of Submission : 16 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,PRANAKRUSHNA NAYAK,TOR Granted
9,SIA/OR/MIN/52455/2020,52455/08-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 19 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
10,SIA/OR/MIN/52472/2020,52472/07-MINB1/03-2020,Orissa,Jajpur,Dharmasala,Date of Submission : 19 Mar 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,DHARMASALA TAHASIL,TOR Granted
