,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/PB/MIN/42052/2019,,Brick earth excavation project by M/s Sharma & Company BKO,M/S SHARMA & COMPANY BKO,Pending at PP due to eds,EC,
2,2,SIA/PB/IND3/74889/2021,SEIAA/PB/IND/2022/EC/13,New Formaldehyde Resin and Glue manufacturing unit namely Ms PHEONYX POLYCHEM,M/S PHEONYX POLYCHEM,EC Granted,EC,
3,3,SIA/PB/IND2/176029/2020,SEIAA/PB/IND2/EC/06,"Expansion of Chemicals and APIs production unit at Village Fatehgarh Channa, Mansa Road District Barnala – 148101, Punjab By IOL Chemicals and Pharmaceuticals Limited",IOL CHEMICALS AND PHARMACEUTICALS LIMITED,EC Granted,EC,
4,4,SIA/PB/MIS/244741/2021,SEIAA/PB/MIS/2021/EC(Exp)/07,PRESTIGE TOWER,VERA DEVELOPERS PVT LTD,Delisted,EC,
5,5,SIA/PB/MIS/95485/2019,SEIAA/PB/NCP/EC/2019/04,"GBP CAM,ELLIA RISE",GUPTA BUILDERS AND PROMOTERS PVT LIMITED,Delisted,EC,
6,6,SIA/PB/MIN/151329/2020,,"Maulana Gravel Mine” Block No. – 1, Hadbast No. –110, having total area of 1.30 hectare (Non- Forest), proposed production 32612.26MT Khasra No.–21//6/2, 15, 16/1, 22//10/2, 11, 20/1.  in Village – Ma",RAKESH GRAVEL MINE,Delisted,EC,
7,7,SIA/PB/IND2/206890/2021,SEIAA/PB/IND/2021/EC/19,"Proposed Expansion of API and Intermediate Bulk Drug Manufacturing Unit by M/S Nectar Lifesciences Ltd (Unit-II), at Village- Saidpura, Tehsil-Dera Bassi, Dera Bassi, District- S.A.S. Nagar, Punjab.",M/S NECTOR LIFESCIENCES LTD.,EC Granted,EC,
8,8,SIA/PB/IND/36904/2018,SEIAA/PB/IND/EC/2019/16,M/s Hansco Iron & Steel (P) Limited,HANSCO IRON AND STEEL PVT LIMITED,EC Granted,EC,
9,9,SIA/PB/IND/22234/2018,SEIAA/PB/IND/2019/EIA/10,Increasing the production capacity from 78 TPD to 250 TPD for Steel Manufacturing Unit namely Taksus Steels Pvt. Ltd.,TAKSUS STEELS PVT. LTD.,EC Granted,EC,
10,10,SIA/PB/MIS/163830/2020,,Sarb Sukh Hotels,SARABJIT SINGH S/O GURBAX SINGH,WithdrawEC,EC,
1,11,SIA/PB/IND2/204489/2021,,"Proposed installation of 200 KLPD grain based Ethanol Plant (Biofuel) and 10 MW of Power Cogeneration at the existing grain based distillery plant located at Village Machhana and Sangat Kalan, Tehsil Sangat, District Bathinda, Punjab",BCL INDUSTRIES LTD.,Delisted,EC,
2,12,SIA/PB/IND2/176029/2020,SEIAA/PB/IND2/EC/06,"Expansion of Chemicals and APIs production unit at Village Fatehgarh Channa, Mansa Road District Barnala – 148101, Punjab By IOL Chemicals and Pharmaceuticals Limited",IOL CHEMICALS AND PHARMACEUTICALS LIMITED,EC Granted,EC,
