"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/PB/MIS/154129/2020","SEIAA/PB/MIS/EC/2020/14","Group Housing Project namely “Gold Homes” located at Sector-116, Village Sante Majra, Kharar-Landran Road, Distt. SAS Nagar (Mohali), Punjab by M/s Shubham Builders","M/S SHUBHAM BUILDERS","EC Granted","EC",NA
"2",2,"SIA/PB/IND3/246448/2021","SEIAA/PB/IND/2022/EC/06","M/s Akums Life Sciences Ltd. at Free Enterprise Zone in Village Sundran, Mubarakpur, Derabassi, Punjab, India","AKUMS LIFESCIENCES LIMITED","EC Granted","EC",NA
"3",3,"SIA/PB/MIN/179934/2020","SEIAA/PB/MIN/EC/2020/31","Sand Mine Project at Village Midda Haji Area 3.47 ha","PRIME VISION INDUSTRIES PVT LTD","EC Granted","EC",NA
"4",4,"SIA/PB/MIN/178165/2020","","Kale ke hittar Sand mining Project","PRIME VISION INDUSTRIES PVT LTD","Delisted","EC",NA
"5",5,"SIA/PB/IND2/206078/2021","SEIAA/PB/IND2/EC/07","Proposed Expansion of API And Intermediate Bulk Drug Manufacturing Unit  namely ""M/S Saurav Chemicals Limited"" at Village- Baghwanpura, Derabassi-Barwala Road, Derabassi, Distt. Sahibzada Ajit Singh Nagar, Punjab","M/S SOURAV CHEMICALS LIMITED","EC Granted","EC",NA
"6",6,"SIA/PB/MIS/270264/2022","","Proposed construction of multistory office building for Punjab State Office, Senior Management Centre/Transit Camp building","INDIAN OIL CORPORATION LTD","Delisted","EC",NA
"7",7,"SIA/PB/IND/37379/2018","SEIAA/PB/IND/EC/2019/27","M/s Renny Strips Pvt. Ltd. (Furnace Division)","M/S RENNY STRIPS PVT. LTD. (FURNACE DIVISION)","EC Granted","EC",NA
"8",8,"SIA/PB/MIN/34406/2017","","Rana-2 sand Mining Project","RANA - 2 SAND MINING PROJECT","Pending at PP due to eds","EC",NA
"9",9,"SIA/PB/MIS/250845/2022","SEIAA/PB/MIS/2022/EC/03","The Commercial Project namely “Mohali Citi Centre” (9.78 acres) Block F, Aero City, SAS Nagar, Mohali, (Punjab) by KLG Infra.","KLG INFRA","EC Granted","EC",NA
"10",10,"SIA/PB/MIS/271700/2022","SEIAA/PB/MIS/2022/EC/21","Residential Group Housing Project by Suman Divine Homes at Village Ramgarh Bhudda Tehsil Dera Bassi District SAS Nagar Punjab","SUMAN DIVINE HOMES","EC Granted","EC",NA
