,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/PB/MIS/154129/2020,SEIAA/PB/MIS/EC/2020/14,"Group Housing Project namely “Gold Homes” located at Sector-116, Village Sante Majra, Kharar-Landran Road, Distt. SAS Nagar (Mohali), Punjab by M/s Shubham Builders",M/S SHUBHAM BUILDERS,EC Granted,EC,, 
1,2,2,SIA/PB/IND3/246448/2021,SEIAA/PB/IND/2022/EC/06,"M/s Akums Life Sciences Ltd. at Free Enterprise Zone in Village Sundran, Mubarakpur, Derabassi, Punjab, India",AKUMS LIFESCIENCES LIMITED,EC Granted,EC,, 
2,3,3,SIA/PB/MIN/179934/2020,SEIAA/PB/MIN/EC/2020/31,Sand Mine Project at Village Midda Haji Area 3.47 ha,PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
3,4,4,SIA/PB/MIN/178165/2020,,Kale ke hittar Sand mining Project,PRIME VISION INDUSTRIES PVT LTD,Delisted,EC,, 
4,5,5,SIA/PB/IND2/206078/2021,SEIAA/PB/IND2/EC/07,"Proposed Expansion of API And Intermediate Bulk Drug Manufacturing Unit  namely ""M/S Saurav Chemicals Limited"" at Village- Baghwanpura, Derabassi-Barwala Road, Derabassi, Distt. Sahibzada Ajit Singh Nagar, Punjab",M/S SOURAV CHEMICALS LIMITED,EC Granted,EC,, 
5,6,6,SIA/PB/MIS/270264/2022,,"Proposed construction of multistory office building for Punjab State Office, Senior Management Centre/Transit Camp building",INDIAN OIL CORPORATION LTD,Delisted,EC,, 
6,7,7,SIA/PB/IND/37379/2018,SEIAA/PB/IND/EC/2019/27,M/s Renny Strips Pvt. Ltd. (Furnace Division),M/S RENNY STRIPS PVT. LTD. (FURNACE DIVISION),EC Granted,EC,, 
7,8,8,SIA/PB/MIN/34406/2017,,Rana-2 sand Mining Project,RANA - 2 SAND MINING PROJECT,Pending at PP due to eds,EC,, 
8,9,9,SIA/PB/MIS/250845/2022,SEIAA/PB/MIS/2022/EC/03,"The Commercial Project namely “Mohali Citi Centre” (9.78 acres) Block F, Aero City, SAS Nagar, Mohali, (Punjab) by KLG Infra.",KLG INFRA,EC Granted,EC,, 
9,10,10,SIA/PB/MIS/271700/2022,SEIAA/PB/MIS/2022/EC/21,Residential Group Housing Project by Suman Divine Homes at Village Ramgarh Bhudda Tehsil Dera Bassi District SAS Nagar Punjab,SUMAN DIVINE HOMES,EC Granted,EC,, 
10,11,1,SIA/PB/MIS/110787/2019,SEIAA/PB/NCP/EC/2019/21,LOK AWAS,VERA DEVELOPERS PVT LTD,EC Granted,EC,, 
11,12,2,SIA/PB/MIS/68321/2021,,Mega Integrated Residential Township,MEGA INTEGRATED RESIDENTIAL TOWNSHIP,Delisted,EC,, 
12,13,3,SIA/PB/IND/36904/2018,SEIAA/PB/IND/EC/2019/16,M/s Hansco Iron & Steel (P) Limited,HANSCO IRON AND STEEL PVT LIMITED,EC Granted,EC,, 
13,14,4,SIA/PB/IND2/204489/2021,,"Proposed installation of 200 KLPD grain based Ethanol Plant (Biofuel) and 10 MW of Power Cogeneration at the existing grain based distillery plant located at Village Machhana and Sangat Kalan, Tehsil Sangat, District Bathinda, Punjab",BCL INDUSTRIES LTD.,Delisted,EC,, 
14,15,5,SIA/PB/MIS/235639/2021,SEIAA/PB/MIS/2022/EC/02,CENTRAL STREET,ALAKNANDA ENTERPRISES,EC Granted,EC,, 
15,16,6,SIA/PB/MIN/177777/2020,SEIAA/PB/MIN/EC/2020/25,Chamb Sand mining Project,PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
16,17,7,SIA/PB/MIN/42052/2019,,Brick earth excavation project by M/s Sharma & Company BKO,M/S SHARMA & COMPANY BKO,Pending at PP due to eds,EC,, 
17,18,8,SIA/PB/MIN/149047/2020,SEIAA/PB/MIN/EC/2020/11,"Environment Clearance of Mining lease Located at Village- Jama Rakhaiya Uttar, Tehsil & District- Ferozepur on the Agricultural Land having an area of  1.65 ha",PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
18,19,9,SIA/PB/IND/63738/2020,SEIAA/PB/IND/EC/14,"Expansion in the existing Steel Manufacturing Unit ""M/s Sharu Special Alloys Pvt. Ltd. Unit-II"" located at Village- Mehlon, Kohara-Lakhowal road, District- Ludhiana< Punjab",M/S SHARU SPECIAL ALLOYS PVT. LTD. UNIT-II,EC Granted,EC,, 
19,20,10,SIA/PB/IND3/248344/2021,SEIAA/PB/IND/2022/EC(EXP)/01,"Proposed Expansion in API Drug Manufacturing Unit namely ""M/s Infinity Laboratories Private Limited ""at Village-Behra, Gulabgarh-Behra road, Tehsil-Derabassi, District-SAS Nagar, State-Punjab.",INFINITY LABORATORIES PRIVATE LIMITED,EC Granted,EC,, 
20,21,7,SIA/PB/MIS/272060/2022,SEIAA/PB/MIS/2022/EC/22,"Commercial Project namely “Medallion 68” located at Plot No. 2 & 3, Sector 68, Distt. SAS Nagar, Mohali, (Punjab) by M/s Turnstone Realty LLP.",M/S TURNSTONE REALTY LLP,EC Granted,EC,, 
21,22,8,SIA/PB/MIS/201862/2021,SEIAA/PB/MIS/EC/02,Mohali Citi Centre,M/S KLG JEWELLERS,EC Granted,EC,, 
22,23,10,SIA/PB/IND/256882/2022,SEIAA/PB/IND/2022/EC/10,Expansion of steel manufacturing unit namely JMK Industries,JMK INDUSTRIES,EC Granted,EC,, 
23,24,1,SIA/PB/IND2/203524/2021,SEIAA/PB/IND2/EC/13,M/s. MR PHARMACHEM,M/S. MR PHARMACHEM,EC Granted,EC,, 
24,25,2,SIA/PB/MIS/179894/2020,,"Expansion of Pragma Medical Institute at Dabwali Road, Bathinda, Punjab by Pragma Medical Institute (A Unit of Gill Medicare Private Limited)",PRAGMA MEDICAL INSTITUTE (A UNIT OF GILL MEDICARE PRIVATE LIMITED),WithdrawEC,EC,, 
