,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/PB/MIS/154129/2020,SEIAA/PB/MIS/EC/2020/14,"Group Housing Project namely “Gold Homes” located at Sector-116, Village Sante Majra, Kharar-Landran Road, Distt. SAS Nagar (Mohali), Punjab by M/s Shubham Builders",Punjab,SAS Nagar,Kharar,Date of Submission for EC: 24 Sep 2020 ,Date of Ec Granted : 05 Nov 2020,INFRA-2,M/S SHUBHAM BUILDERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/154129/2020&pid=105999,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/154129/2020&type=EC&ID=105999
1,SIA/PB/IND3/246448/2021,SEIAA/PB/IND/2022/EC/06,"M/s Akums Life Sciences Ltd. at Free Enterprise Zone in Village Sundran, Mubarakpur, Derabassi, Punjab, India",Punjab,SAS Nagar,Derabassi,Date of Submission for EC: 10 Mar 2022 ,Date of Ec Granted : 25 Apr 2022,Industrial Projects - 3, AKUMS LIFESCIENCES LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/IND3/246448/2021&pid=195372,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND3/246448/2021&type=EC&ID=195372
2,SIA/PB/MIN/179934/2020,SEIAA/PB/MIN/EC/2020/31,Sand Mine Project at Village Midda Haji Area 3.47 ha,Punjab,Firozpur,Firozepur,Date of Submission for EC: 21 Oct 2020 ,Date of Ec Granted : 05 Nov 2020,Non-Coal Mining,PRIME VISION INDUSTRIES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/179934/2020&pid=139065,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/179934/2020&type=EC&ID=139065
3,SIA/PB/MIN/178165/2020,,Kale ke hittar Sand mining Project,Punjab,Firozpur,Firozepur,Date of Submission for TOR: ,Date of Submission for EC: 08 Oct 2020 ,Non-Coal Mining,PRIME VISION INDUSTRIES PVT LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/178165/2020&pid=137686,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/178165/2020&type=EC&ID=137686
4,SIA/PB/IND2/206078/2021,SEIAA/PB/IND2/EC/07,"Proposed Expansion of API And Intermediate Bulk Drug Manufacturing Unit  namely ""M/S Saurav Chemicals Limited"" at Village- Baghwanpura, Derabassi-Barwala Road, Derabassi, Distt. Sahibzada Ajit Singh Nagar, Punjab",Punjab,SAS Nagar,Derabassi,Date of Submission for EC: 26 Mar 2021 ,Date of Ec Granted : 07 Jun 2021,Industrial Projects - 2,M/S SOURAV CHEMICALS LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/IND2/206078/2021&pid=175317,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND2/206078/2021&type=EC&ID=175317
5,SIA/PB/MIS/270264/2022,,"Proposed construction of multistory office building for Punjab State Office, Senior Management Centre/Transit Camp building",Punjab,SAS Nagar,S.A.S.Nagar (Mohali),Date of Submission for TOR: ,Date of Submission for EC: 01 Feb 2023 ,INFRA-2, INDIAN OIL CORPORATION LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/270264/2022&pid=202699,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/270264/2022&type=EC&ID=202699
6,SIA/PB/IND/37379/2018,SEIAA/PB/IND/EC/2019/27,M/s Renny Strips Pvt. Ltd. (Furnace Division),Punjab,Ludhiana,Ludhiana (East),Date of Submission for EC: 01 Nov 2019 ,Date of Ec Granted : 20 May 2020,Industrial Projects - 1,M/S RENNY STRIPS PVT. LTD. (FURNACE DIVISION),EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/IND/37379/2018&pid=56416,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/37379/2018&type=EC&ID=56416
7,SIA/PB/MIN/34406/2017,,Rana-2 sand Mining Project,Punjab,Fazilka,Fazilka,Date of Submission for TOR: ,Date of Submission for EC: 15 Apr 2019 ,Non-Coal Mining,RANA - 2 SAND MINING PROJECT,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/34406/2017&pid=54630,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/34406/2017&type=EC&ID=54630
8,SIA/PB/MIS/250845/2022,SEIAA/PB/MIS/2022/EC/03,"The Commercial Project namely “Mohali Citi Centre” (9.78 acres) Block F, Aero City, SAS Nagar, Mohali, (Punjab) by KLG Infra.",Punjab,SAS Nagar,S.A.S.Nagar (Mohali),Date of Submission for EC: 02 Feb 2022 ,Date of Ec Granted : 02 Mar 2022,INFRA-2, KLG INFRA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/250845/2022&pid=197674,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/250845/2022&type=EC&ID=197674
9,SIA/PB/MIS/271700/2022,SEIAA/PB/MIS/2022/EC/21,Residential Group Housing Project by Suman Divine Homes at Village Ramgarh Bhudda Tehsil Dera Bassi District SAS Nagar Punjab,Punjab,SAS Nagar,Derabassi,Date of Submission for EC: 13 May 2022 ,Date of Ec Granted : 16 Jul 2022,INFRA-2, SUMAN DIVINE HOMES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/271700/2022&pid=203058,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/271700/2022&type=EC&ID=203058
