,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/AS/MIN/181629/2020,,Assam,West Karbi Anglong,Donka,Date of Submission for TOR: ,Date of Submission for EC: 02 Nov 2020 ,Non-Coal Mining,AMERICA CHAUHAN,Delisted
1,SIA/AS/MIS/185263/2020,SEIAA.1529/2021,Assam,Golaghat,Golaghat,Date of Submission for EC: 27 Nov 2020 ,Date of Ec Granted : 25 Feb 2021,INFRA-2,NUMALIGARH REFINERY LIMITED,EC Granted
2,SIA/AS/MIN/180108/2020,SEIAA.1450/2020,Assam,Golaghat,Golaghat,Date of Submission for EC: 21 Oct 2020 ,Date of Ec Granted : 25 Feb 2021,Non-Coal Mining,SRI SUNIT SAIKIA,EC Granted
3,SIA/AS/MIN/45876/2019,,Assam,Nagaon,Raha,Date of Submission for EC: 07 Nov 2019 ,Date of Ec Granted : 24 Feb 2020,Non-Coal Mining,IMAN ALI,EC Granted - Processed offline
4,SIA/AS/MIN/175722/2020,,Assam,Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 04 Mar 2021 ,Non-Coal Mining,DOR SING TERANG,Delisted
5,SIA/AS/MIN/179792/2020,SEIAA.1591/2021,Assam,Barpeta,Jalah,Date of Submission for EC: 05 Nov 2020 ,Date of Ec Granted : 10 Mar 2021,Non-Coal Mining,ANUP DAS,EC Granted
6,SIA/AS/MIN/205871/2021,SEIAA.1761/2021,Assam,Kamrup,Hajo,Date of Submission for TOR: ,Date of Submission for EC: 25 Mar 2021 ,Non-Coal Mining,SGCL,Delisted
7,SIA/AS/MIN/232690/2021,SEIAA.1893/2021,Assam,Karbi Anglong,Nilip,Date of Submission for EC: 23 Dec 2021 ,Date of Ec Granted : 07 Mar 2022,Non-Coal Mining,KENSING SINGNAR,EC Granted
8,SIA/AS/MIN/237162/2021,,Assam,Chirang,bijini,Date of Submission for TOR: ,Date of Submission for EC: 03 Nov 2021 ,Non-Coal Mining,SRI. KHODEJA KHATUM AND SRI. BASIRON KHATUM,Delisted
9,SIA/AS/MIS/132804/2019,,Assam,Sibsagar,Sibsagar,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2019 ,INFRA-2,AKHIL GOGOI,Delisted
10,SIA/AS/MIS/142815/2020,,Assam,Sibsagar,Sibsagar,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2020 ,INFRA-2,PULIN GAYAN,Delisted
11,SIA/AS/MIN/183584/2020,SEIAA.1543/2021,Assam,Baksa,Baska,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2020 ,Non-Coal Mining,SRI BIJAY MALAKAR,Delisted
12,SIA/AS/MIN/244099/2021,,Assam,Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 09 Dec 2021 ,Non-Coal Mining,SRI KAMALSING BEY,Delisted
13,SIA/AS/MIN/260117/2022,SEIAA. 2062/2022,Assam,Darrang,Sipajhar,Date of Submission for TOR: ,Date of Submission for EC: 11 Mar 2022 ,Non-Coal Mining, KAMAKHYA BIOFUELS PRIVATE LIMITED,WithdrawEC
14,SIA/AS/MIN/281079/2022,SEIAA. 3072/2022,Assam,Karbi Anglong,Langsomepi,Date of Submission for TOR: ,Date of Submission for EC: 01 Jul 2022 ,Non-Coal Mining,THONG TERON,Delisted
15,SIA/AS/MIN/281210/2022,SEIAA. 3015/2022,Assam,Sibsagar,Sibsagar,Date of Submission for TOR: ,Date of Submission for EC: 29 Aug 2022 ,Non-Coal Mining,MOHAMMED HUSSAIN,ADS by SEAC
16,SIA/AS/MIS/118722/2019,,Assam,Kamrup,Chhaygaon,Date of Submission for EC: 20 Sep 2019 ,Date of Ec Granted : 07 Jan 2020,INFRA-2,SHREE GAUTAM CONSTRUCTION CO. LTD,EC Granted - Processed offline
17,SIA/AS/MIN/186711/2020,SEIAA.1675/2021,Assam,Kamrup,Sonapur,Date of Submission for EC: 05 Dec 2020 ,Date of Ec Granted : 07 May 2021,Non-Coal Mining,"ALLIED CONSTRUCTION, GUWAHATI",EC Granted
18,SIA/AS/MIN/256830/2022,,Assam,Jorhat,Titabar,Date of Submission for TOR: ,Date of Submission for EC: 16 Feb 2022 ,Non-Coal Mining,M/S MBF (MEZENGA) BRICK FIELD,Delisted
19,SIA/AS/MIN/177436/2020,SEIAA.1574/2021,Assam,Nagaon,Koliabor,Date of Submission for TOR: ,Date of Submission for EC: 04 Oct 2020 ,Non-Coal Mining,M/S SBF BRICKS,Delisted
20,SIA/AS/MIN/230541/2021,SEIAA.1860/2021,Assam,Kamrup,Kamalpur,Date of Submission for EC: 22 Sep 2021 ,Date of Ec Granted : 29 Jan 2022,Non-Coal Mining,NURUDDIN ALI,EC Granted
21,SIA/AS/MIN/258307/2022,SEIAA. 2051/2022,Assam,Lakhimpur,Subansiri (PT-I),Date of Submission for EC: 11 Apr 2022 ,Date of Ec Granted : 16 Jul 2022,Non-Coal Mining, SHIVAM TRANSCON PRIVATE LIMITED,EC Granted
