,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/AS/MIS/117539/2019,,"DISANG RIVER SAND MINING PERMIT AREA "" CHENGALIBARI""",JYOTI RAJKHOWA,EC Granted - Processed offline,EC,
1,2,SIA/AS/MIN/181953/2020,SEIAA.1621/2021,4.92 Ha STONE/BOULDER MINING PERMIT AREA AT BORGANG RIVER BED,M/S RAMKY-TK (JV),EC Granted,EC,
2,3,SIA/AS/MIN/252735/2022,,PATTA LAND ORDINARY EARTH MINING PERMIT AREA AT NATUN BASTI VILLAGE,AMIRUL KHAN,Delisted,EC,
3,4,SIA/AS/MIN/416839/2023,SEIAA. 3172/2022,"Proposed River bed mining project of Gumrah Stone Minor Mineral Unit No 1(A) Mining Permit Area Gumrah River Bed  located at Digarkhal  Village of Cachar district of Assam under Kalain Range of Karimganj Forest Division, Dharakuna, Assam",PURNAM DEB,EC Granted,EC,
4,5,SIA/AS/MIN/224201/2021,SEIAA.1834/2021,Deopani Parghat (Dhansiri River) Sand Mahal,BIREN LEKTHE,EC Granted,EC,
5,6,SIA/AS/MIS/128243/2019,,SELECTED SAND EXTRACTION PLOT AT BANTANA MAJULI,E-3 EMGINEERING,EC Granted - Processed offline,EC,
6,7,SIA/AS/MIN/195418/2021,SEIAA.1632/2021,Sila P.P. Land Earth Mining Permit Area,JITU BORO,EC Granted,EC,
7,8,SIA/AS/MIN/199447/2021,,Borgaon Sand Mahal (Dhansiri),SONJIT LEKTHE,WithdrawEC,EC,
8,9,SIA/AS/MIN/288767/2022,SEIAA.3128/2022,Sila P.P. Land Earth Mining Permit Area,BIRAJ NATH,EC Granted,EC,
9,10,SIA/AS/MIN/415160/2023,SEIAA. 3349/2023,BARNADI SAND-GRAVEL & STONE MAHAL NO. 7,BAKSA FOREST DIVISION MUSHALPUR,EC Granted,EC,
0,11,SIA/AS/MIS/121409/2019,,Buroi River Sand and Gravel Mining Permit Area,BINOD SHARMA,EC Granted - Processed offline,EC,
1,12,SIA/AS/MIN/172208/2020,SEIAA.1358/2020,Gopeswar Ordinary Earth Mining Permit Area,BHARAT DEKA,EC Granted,EC,
2,13,SIA/AS/MIN/240465/2021,SEIAA.1998/2022,DHANSIRI RIVER (BAM SINGIMARI) MPA,RICKY BORAH,EC Granted,EC,
3,14,SIA/AS/MIN/244099/2021,,REKA PAHAR STONE MINING PERMIT AREA  AT GOTIBARI (GOVT. LAND),SRI KAMALSING BEY,Delisted,EC,
4,15,SIA/AS/MIN/253159/2022,,Kuwarijan Ordinary Earth Mining Permit Area,SIRAJUL HOQUE,Delisted,EC,
5,16,SIA/AS/MIN/409424/2022,SEIAA. 3241/2022,KW/19 GOHALKONA(2022-29) SAND GRAVEL MCA AT BOKO RIVER,ASSAM MINERAL DEVELOPMENT CORPORATION LIMITED,EC Granted,EC,
6,17,SIA/AS/MIN/414516/2023,SEIAA. 3389/2023,CHUKRUNGBARI VILLAGE PATTA LAND SAND GRAVEL AND GRAVEL MINING PERMIT AREA,MITHUN BASUMATARY,Deferred by SEAC,EC,
7,18,SIA/AS/MIN/184188/2020,,FATASIL NC VILLAGE ORDINARY EARTH AND WEATHERED ROCKS MINING PERMIT AREA,SRI KRISHNA CHOUDHURY,WithdrawEC,EC,
8,19,SIA/AS/MIS/141974/2020,,Sreegram Part-VI Sildanga Brick Earth Mining Permit Area,M/S NATUN NAYAN BRICK FIELD,Delisted,EC,
9,20,SIA/AS/MIN/232690/2021,SEIAA.1893/2021,Deihori P.P. Land Stone M.C. Area,KENSING SINGNAR,EC Granted,EC,
0,21,SIA/AS/MIN/234119/2021,SEIAA.1874/2021,THAISUBALI SAND MINING UNIT,MR HASAN SHAHRUK AHMED,EC Granted,EC,
1,22,SIA/AS/MIN/229647/2021,,KHATUWAL BRICK EARTH PERMIT AREA,MAINUDDIN FARAJI,Delisted,EC,
2,23,SIA/AS/MIN/247146/2021,SEIAA.1965/2021,Pranpri Anglong P.P. Land Stone & GSB Permit Area,"EXECUTIVE ENGINEER ( P.W.D., KOHORA ROAD DIVISION)",EC Granted,EC,
3,24,SIA/AS/MIN/241762/2021,,Laharighat Brick Earth Permit Area,T.A.J INDUSTRY,Delisted,EC,
4,25,SIA/AS/MIN/257438/2022,,Disang River Sand Mining Permit Area (Borpatra Ghat),DHRUBAJIT CHETIA,Delisted,EC,
5,26,SIA/AS/MIN/416746/2023,SEIAA. 3337/2023,DIG/U Sand Mining Contract Area of 2022-29,"DIVISIONAL FOREST OFFICER, DIGBOI DIVISION",EC Granted,EC,
6,27,SIA/AS/MIS/139437/2020,,TARANGAPUR (PT-I) PATTA LAND ORDINARY EARTH MINING PERMIT AREA,MD. ABBAS ALI,EC Granted - Processed offline,EC,
7,28,SIA/AS/MIN/217666/2021,SEIAA.1796/2021,SONAI RIVER MINOR MINERAL UNIT - 2 (CLAY),MD. NASIR UDDIN LASKAR,EC Granted,EC,
8,29,SIA/AS/MIN/235257/2021,,Lokso Tokbi Gaon P.P. Land Stone Quarry,SKYLARK INFRA ENGINEERING PVT LTD,Delisted,EC,
9,30,SIA/AS/MIN/415729/2023,SEIAA. 3347/2023,"Sand, Gravel & Boulder Mahal at Huthuti River (Balagari Village)",TAMESWAR BASUMATARY,Delisted,EC,
0,31,SIA/AS/MIN/149728/2020,SEIAA.1263/2020,Boginadi Mining Contract Area,HIMANTA GUWALA,EC Granted,EC,
1,32,SIA/AS/MIS/165216/2020,SEIAA.1359/2020,Mining Permit Arear No. DBR / 15 / Buridihing / Gamon/Sand/MPA of 2019-21 at Bhogamur Gaon near Kotoha,ANANTA BORGOHAIN,EC Granted,EC,
2,33,SIA/AS/MIN/254444/2022,SEIAA. 2028/2022,3.0 Gravel Mining Permit Area at Borgang River,SHREE GAUTAM CONSTRUCTION CO. LTD,EC Granted,EC,
3,34,SIA/AS/MIN/216748/2021,SEIAA.1794/2021,Koroibari Stone Permit Area,MAINUL HOQUE,EC Granted,EC,
4,35,SIA/AS/MIS/211683/2021,SEIAA.1786/2021,Nopani PP Land Stone,BIDYA SING ENGTI,EC Granted,EC,
5,36,SIA/AS/MIN/403248/2022,SEIAA. 3284/2022,EXTRACTION OF ORDINARY CLAY FROM OUTSIDE DOKHOW RIVER MINING PERMIT AREA AT PACCAGHAT,UTPAL SARMAH,WithdrawEC,EC,
6,37,SIA/AS/MIN/225047/2021,SEIAA.1837/2021,Bholukaguri Gaon Brick Earth Mining Permit Area,M/S S.B.I. BRICK FIELD,EC Granted,EC,
7,38,SIA/AS/MIN/257593/2022,SEIAA. 3001/2022,KANAIGHAT MINERAL CONCESSION AREA FOR SAND,BEDANTA PRATIM HAZARIKA,EC Granted,EC,
8,39,SIA/AS/MIN/401675/2022,SEIAA. 3139/2022,RUKNI RIVER MINOR MINERAL UNIT SAND MINING PERMIT AREA,DFO CACHAR,EC Granted,EC,
9,40,SIA/AS/MIS/115989/2019,,Numaligarh Dhansiri River (Parghat Area) Silt Mining Area 2,BHARTIA MAHAABALA JV,EC Granted - Processed offline,EC,
