,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/JH/MIN/202781/2021,EC/SEIAA/2021-22/2370/2021,Jharkhand,Giridih,Gawan,Date of Submission for EC: 23 Jul 2021 ,Date of Ec Granted : 14 Aug 2021,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
1,SIA/JH/MIN/250232/2022,EC/SEIAA/2021-22/2467/2021,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 25 Feb 2022 ,Date of Ec Granted : 21 Apr 2022,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
2,SIA/JH/MIN/413927/2023,EC/SEIAA/2022-23/2741/2023,Jharkhand,,,Date of Submission for EC: 20 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,ASMITA KIRO,EC Granted
3,SIA/JH/IND/21810/2009,EC/SEIAA/2017-18/2068/2017,Jharkhand,Ramgarh,Patratu,Date of Submission for EC: 26 Mar 2018 ,Date of Ec Granted : 05 Nov 2018,Industrial Projects - 1,MS BURNPUR CEMENT LIMITED,EC Granted
4,SIA/JH/MIN/228078/2021,EC/SEIAA/2021-22/2418/2021,Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 09 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,M/S MAHAKALESHWAR STONE  MINES,EC Granted
5,SIA/JH/MIN/209763/2021,EC/SEIAA/2021-22/2347/2021,Jharkhand,Dumka,Shikaripara,Date of Submission for TOR: ,Date of Submission for EC: 17 Jun 2021 ,Non-Coal Mining,POKHARIA STONE MINE OF M/S MEWAR ENTERPRISES,Delisted
6,SIA/JH/MIS/288017/2022,EC/SEIAA/2022-23/2564/2022,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 28 Sep 2022 ,Date of Ec Granted : 02 Mar 2023,INFRA-2,GEMINI SWAVLAMBI SAHKARI SAMITI PVT LTD,EC Granted
7,SIA/JH/MIS/287892/2022,EC/SEIAA/2022-23/2629/2022,Jharkhand,Ranchi,Bero,Date of Submission for EC: 22 Aug 2022 ,Date of Ec Granted : 09 Sep 2022,INFRA-2, MOTI INFRAHEIGHTS PRIVATE LIMITED,EC Granted
8,SIA/JH/MIN/413559/2023,EC/SEIAA/2022-23/2716/2023,Jharkhand,,,Date of Submission for EC: 17 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,MOHSIN RAJA,EC Granted
9,SIA/JH/MIN/413532/2023,,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 07 Jan 2023 ,Non-Coal Mining,UMLESH OJHA,Query raised by SEIAA and pending at PP
