,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/JH/MIN/61699/2017,,"Sand Mining Project at Naudiha ghat, on Gowai river",SRI OM KALANI,Delisted,EC,
1,2,SIA/JH/MIN/88895/2018,,Narayanpur Sand Mine,JHARKHAND STATE  MINERAL DEVELOPMENT CORPORATION LTD,Delisted,EC,
2,3,SIA/JH/NCP/74878/2018,EC/SEIAA/2078-19/2150/2019,"Construction of 500 bedded Government Hospital,
Hazaribagh, Jharkhand",JHARKHAND STATE BUILDING CONSTRUCTION CORPORATION LIMITED,Delisted,EC,
3,4,SIA/JH/MIN/74896/2018,,SHERUA SAND GHAT,Jharkhand State Mineral Development Corporation Limited,WithdrawEC,EC,
4,5,SIA/JH/MIN/74906/2018,EC/SEIAA/2017-18/2075/2017,"Kudri, Okra, Simla & Dorma Sand Deposit
(Area- 12.48 Acre / 5.04 Ha)",MS JSMDC RANCHI,EC Granted,EC,
5,6,SIA/JH/MIN/66941/2017,,"Chapandey Stone Mine
(Minor Mineral), Area 6.33 Acres (2.56 ha)",MS RP SHARMA AND SONS,Delisted,EC,
6,7,SIA/JH/MIN/228078/2021,EC/SEIAA/2021-22/2418/2021,MUNKERI STONE MINE,M/S MAHAKALESHWAR STONE  MINES,EC Granted,EC,
7,8,SIA/JH/MIN/18399/2013,,Sl. No. - III,Jharkhand State Mineral Development Corporation Limited,WithdrawEC,EC,
8,9,SIA/JH/MIS/252716/2022,EC/SEIAA/2021-22/2477/2021,Proposed Residential Building “ BASARGARH HERITAGE” by NEWQONETIC TRADECOM LLP,MANOJ SINGH,EC Granted,EC,
9,10,SIA/JH/MIN/204200/2021,,"Madhavpur Brick Clay Mining M/s Balajee Bricks Brick Clay Mining ProjectVillage-Madhavpur, P.S. Boram, District- East- Singhbhum, Jharkhand.",M/S BALAJEE  BRICKS,Delisted,EC,
10,11,SIA/JH/MIN/413658/2023,EC/SEIAA/2022-23/2724/2023,SINGARI STONE DEPOSIT,ABHISHEK ANAND,EC Granted,EC,
11,12,SIA/JH/MIN/225115/2021,EC/SEIAA/2021-22/2508/2022,BRICK SOIL MINING FOR M/S TAJ BRICKS IN MOUZA CHORA (2.37 ACRES),CRYSTAL CONSULTANTS,EC Granted,EC,
12,13,SIA/JH/MIN/225168/2021,EC/SEIAA/2021-22/2407/2021,Dhowadangal Stone Deposit Project,DHOWADANGAL STONE DEPOSIT PROJECT,EC Granted,EC,
13,14,SIA/JH/MIN/45547/2019,EC/SEIAA/2018-19/2278/2019,"Brick Soil Mining For M/s Naam, Bricks in Mouza  Hochar",CRYSTAL CONSULTANTS,EC Granted,EC,
14,15,SIA/JH/MIN/46213/2019,EC/SEIAA/2020-21/2314/2021,"Brick Soil Mining For M/s Jai Mata Di Bricks (J.M.D.), in Mouza – Sugnu",CRYSTAL CONSULTANTS,EC Granted,EC,
15,16,SIA/JH/IND/73492/2018,EC/SEIAA/2016-17/2001/2017,"Expansion of Cement Grinding Unit from 4.6 to 6.6 MTPA at Jojobera Cement Plant, Village: Jojobera, P.O. Rahargora Jamshedpur, District: East Singhbum (Jharkhand) by M/s. Nuvoco Vistas Corp. Ltd. (Formerly Lafarge India Limited)",NUVOCO VISTAS CORPORATION LIMITED,EC Granted,EC,
16,17,SIA/JH/MIS/224569/2021,EC/SEIAA/2021-22/2403/2021,Light House Project Ranchi - Construction of 1008 DU for EWS,JUIDCO LTD.,EC Granted,EC,
