,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/KA/MIN/43027/2019,SEIAA 667 MIN 2019,Karnataka,Tumkur,Kunigal,Date of Submission for EC: 19 Sep 2019 ,Date of Ec Granted : 10 Dec 2019,Non-Coal Mining,B M CHANDRAKALA,EC Granted - Processed offline
1,SIA/KA/MIN/43119/2019,SEIAA 666 MIN 2019,Karnataka,Tumkur,Kunigal,Date of Submission for EC: 19 Sep 2019 ,Date of Ec Granted : 10 Dec 2019,Non-Coal Mining,SRI MADHE GOWDA,EC Granted - Processed offline
2,SIA/KA/MIN/43130/2019,SEIAA 686 MIN 2019,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 19 Sep 2019 ,Date of Ec Granted : 13 Dec 2019,Non-Coal Mining,SRI. S. SUBRAMANYA,EC Granted - Processed offline
3,SIA/KA/NCP/10086/2015,,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 13 Feb 2016 ,INFRA-1,SALARPURIA PROPERTIES PVT LTD,Delisted
4,SIA/KA/NCP/94893/2019,SEIAA 27 CON 2019,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for TOR: ,Date of Submission for EC: 07 Feb 2019 ,INFRA-1,MS EMERALD HAVEN REALTY LIMITED,Delisted
5,SIA/KA/MIN/94908/2019,SEIAA 150 MIN 2019,Karnataka,Bidar,Bidar,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2019 ,Non-Coal Mining,M/S. KAS M-SAND INDUSTRIES & ALLIED CEMENT PRODUCTS,Delisted
6,SIA/KA/MIN/95051/2019,SEIAA 158 MIN 2019,Karnataka,Bidar,Basavakalyana,Date of Submission for EC: 08 Feb 2019 ,Date of Ec Granted : 10 Oct 2019,Non-Coal Mining,SRI GURUPRASAD  NARASHETTY,EC Granted
7,SIA/KA/MIN/32911/2019,SEIAA 208 MIN 2019,Karnataka,Kolar,Kolar,Date of Submission for EC: 13 Mar 2019 ,Date of Ec Granted : 23 Jul 2019,Non-Coal Mining,M/S ANJANEYA QUARRY WORKS,EC Granted
8,SIA/KA/MIN/35272/2019,SEIAA 369 MIN 2019,,,,Date of Submission for EC: 25 Apr 2019 ,Date of Ec Granted : 13 Jul 2019,Non-Coal Mining,SRI. R NAVEEN KUMAR,EC Granted
9,SIA/KA/MIN/32077/2019,SEIAA 173 MIN 2019,Karnataka,Dharwad,Hubli,Date of Submission for EC: 28 Feb 2019 ,Date of Ec Granted : 13 Jun 2019,Non-Coal Mining,SRI SHIVANAND S ULLAGADDI,EC Granted
