,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/KA/IND2/60386/2021,,Divij Industry LLP,DIVIJ INDUSTRY LLP,EC Granted - Processed offline,EC,
1,2,SIA/KA/MIN/93823/2019,SEIAA 116 MIN 2019,"“Hassan Green Granite Quarry” over an extent of 4-00 Acres at Sy No: 73(P) of Siddapura Village, Belur Taluk, Hassan District, Karnataka",SMT C T CHANCHALAKUMARI,EC Granted,EC,
2,3,SIA/KA/IND2/44126/2018,SEIAA 39 IND 2019,New 60 KLPD molasses/B- heavy/ Sugarcane juice based distillery,BILAGI SUGAR MILL LTD,EC Granted,EC,
3,4,SIA/KA/NCP/69649/2017,SEIAA 85 CON 2017,Hotel Building project by M/s. Twenty Fourteen Hotels India Pvt. Ltd,TWENTY FOURTEEN HOTELS INDIA PVT. LTD,EC Granted,EC,
4,5,SIA/KA/NCP/70360/2017,SEIAA 110 CON 2017,Proposed Residential Development @ Jigani Village,SALARPURIA SATTVA GROUP,EC Granted,EC,
5,6,SIA/KA/NCP/70408/2017,SEIAA 109 CON 2017,"Proposed Residential Group Housing (Residential Apartment) Building project by M/s. Shriram Properties Pvt Ltd., at Sy. No. 11(P), of Seegehalli Village, K.R. Puram Hobli, Bangalore East Taluk, Bangalore Urban District.",MS SHRIRAM PROPERTIES PVT LTD,EC Granted,EC,
6,7,SIA/KA/NCP/70621/2017,SEIAA 118 CON 2017,"proposed Residential Apartment Project by M/s. Ankuraa Sai Nitya Ventures, at Sy. No 62/4, 5, 6, 7 & 8, of Nallurahalli Village, K.R. Puram Hobli, Bangalore East Taluk, Bangalore",MS ANKURAA SAI NITYA VENTURES,EC Granted,EC,
7,8,SIA/KA/MIN/163246/2020,SEIAA 258 MIN 2020,Ornamental Granite Quarry Project of Smt. C.J. Prema,CJPREMA,EC Granted - Processed offline,EC,
8,9,SIA/KA/NCP/71722/2017,SEIAA 150 CON 2017,"Proposed Residential Apartment project by M/s. Saranya Properties Pvt Ltd., at Khatha No. 1316, Sy. No 63/1, of Thubarahalli Village, Varthur Hobli, Bangalore East Taluk, Bangalore Urban District.",MS SARANYA PROPERTIES PVT LTD,EC Granted,EC,
9,10,SIA/KA/NCP/71794/2017,,"EC for Residential Project at
Sy.No.42/1 ,42/2,42/3,43/1,43/2,43/3 ,46/13A,46/13B,44,4 7 and 70,Bilekahalli
Village.Begur Hobali, Bangalore South Taluk",MR ANAND AND OTHERS,Delisted,EC,
10,11,SIA/KA/MIN/2322/2015,SEIAA 1163 MIN 2015,Buiding Stone Quarry (QL No.2590),CHANNAMALLIKARJUNA SWAMY BUILDING MATERIAL SUPPLIERS,EC Granted,EC,
11,12,SIA/KA/MIN/561/2015,SEIAA 889 MIN 2015,Building stone quarry of padmashekar jain,KRSE,EC Granted,EC,
12,13,SIA/KA/MIN/892/2015,SEIAA 927 MIN 2015,“Building Stone Quarry” of A V Gayathri,A V GAYATHRI,EC Granted,EC,
13,14,SIA/KA/MIN/761/2015,SEIAA 917 MIN 2015,Building Stone Quarry,MUDDUMALLU B P,EC Granted,EC,
14,15,SIA/KA/MIN/1092/2015,SEIAA 954 MIN 2015,Building Stone Quarry,SURYANARAYANA BHAT,EC Granted,EC,
15,16,SIA/KA/MIN/1099/2015,SEIAA 956 MIN 2015,Building Stone,B SURESH SHETTY,EC Granted,EC,
16,17,SIA/KA/MIN/2258/2015,SEIAA 1154 MIN 2015,River Sand Mining,DISTRICT SAND MONITORING COMMITTEE BELGAUM,EC Granted,EC,
