,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/KL/MIN/71043/2017,1168/EC/SEIAA/KL/2017,Kerala,Ernakulam,Muvattupuzha,Date of Submission for TOR: ,Date of Submission for EC: 20 Nov 2017 ,Non-Coal Mining,HANNA ROCK PRODUCTS PVT LTD,Accepted By SEAC - EC ISSUED IN 81 SEIAA
1,SIA/KL/IND2/19689/2016,1064/EC3/2016/SEIAA,Maharashtra,Raigad,Shrivardhan,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2017 ,Industrial Projects - 2,INDIAN OIL CORPORATION KERALA STATE OFFICE,Accepted By SEAC - EC ISSUED IN 79 SEIAA
2,SIA/KL/MIN/44123/2019,1495/EC2/2019/SEIAA,Kerala,Kottayam,Kanjirappally,Date of Submission for EC: 23 Nov 2019 ,Date of Ec Granted : 19 Jul 2022,Non-Coal Mining,THOMSUN AGGREGATES,EC Granted
3,SIA/KL/MIN/193502/2021,,Kerala,Malappuram,Ernad,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2021 ,Non-Coal Mining,CHALIYAR RIVER BASIN,Delisted
4,SIA/KL/MIN/166510/2020,1811/EC3/2020/SEIAA,Kerala,Ernakulam,Muvattupuzha,Date of Submission for EC: 19 Oct 2020 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,M/S CHATTUPARA GRANITES PRIVATE LIMITED,EC Granted
5,SIA/KL/MIN/208451/2021,(Old ToR Proposal No./File No.SIA/KL/MIN/39525/201,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 12 Apr 2021 ,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF MR HUSSAIN,Rejection Letter Granted
6,SIA/KL/MIN/267633/2022,2026/EC3/2022/SEIAA,Kerala,Ernakulam,Kunnathunad,Date of Submission for EC: 09 May 2022 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,KARAKKATTIL MUHAMMED,EC Granted
7,SIA/KL/MIN/413609/2023,2204/EC1/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2023 ,Non-Coal Mining,SUHAIB KUNNAN,For further consideration(SEAC)
8,SIA/KL/NCP/69876/2017,1155/EC/SEIAA/KL/2017,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2017 ,INFRA-1,MALABAR INSTITUTE OF MEDICAL SCIENCES LTD.,Accepted By SEAC - EC ISSUED IN 93 SEIAA
9,SIA/KL/MIN/165193/2020,1941/EC2/SEIAA/2022,Kerala,Kasaragod,Hosdurg,Date of Submission for TOR: ,Date of Submission for EC: 01 Nov 2021 ,Non-Coal Mining,M/S. MALOM CRUSHERS,For further consideration(SEAC)
10,SIA/KL/INFRA2/416126/2023,2223/EC1/2023/SEIAA,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Feb 2023 ,INFRA-2, OCEANUS DWELLINGS PVT LTD,For further consideration(SEAC)
11,SIA/KL/MIN/134011/2019,1629/EC2/2020/SEIAA,Kerala,Kasaragod,Kasaragod,Date of Submission for EC: 13 May 2020 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,BUILDING STONE QUARRY OF SRI.NARAYANAN.K,EC Granted
12,SIA/KL/NCP/63451/2017,,Kerala,Pathanamthitta,Thiruvalla,Date of Submission for TOR: ,Date of Submission for EC: 24 Mar 2017 ,INFRA-1,ST. GREGORIOS INTERNATIONAL CANCER CARE CENTRE,WithdrawEC
13,SIA/KL/MIN/141204/2020,1802/EC6/2020/SEIAA,Kerala,Malappuram,Perinthalmanna,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2020 ,Non-Coal Mining,MUHAMMED SHAFI C T,Rejection Letter Granted
14,SIA/KL/MIN/169720/2020,1433/EC1/2019/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 09 Oct 2020 ,Date of Ec Granted : 29 Jun 2022,Non-Coal Mining,BUILDING STONE QUARRY OF MR MUHAMMED SALEEM V,EC Granted
15,SIA/KL/MIN/239769/2021,2062/EC3/2022/SEIAA,Kerala,Idukki,Thodupuzha,Date of Submission for EC: 21 May 2022 ,Date of Ec Granted : 18 Feb 2023,Non-Coal Mining,SABU KURIAKOSE,EC Granted
16,SIA/KL/MIN/44831/2019,1488/EC3/2019/SEIAA,Kerala,Malappuram,Tirurangadi,Date of Submission for EC: 12 Nov 2019 ,Date of Ec Granted : 19 Jul 2022,Non-Coal Mining,SEBASTIAN QUARRY,EC Granted
17,SIA/KL/MIN/93970/2019,1253/EC1/2019/SEIAA,Kerala,Wayanad,Vythiri,Date of Submission for EC: 02 Feb 2019 ,Date of Ec Granted : 21 Oct 2019,Non-Coal Mining,GLOBAL ENVIRONMENT AND MINING SERVICES,EC Granted - Processed offline
18,SIA/KL/MIN/159524/2020,1442/EC2/2019/SEIAA,Kerala,Thrissur,Thalapilly,Date of Submission for EC: 22 Jun 2020 ,Date of Ec Granted : 20 Jul 2022,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF MR VIJAYAKUMAR,EC Granted
19,SIA/KL/NCP/53273/2016,1126/EC/SEIAA/KL/2017,Kerala,Thiruvananthapuram,Thiruvananthapuram,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2017 ,INFRA-1,SOWPARNIKA PROJECTS AND INFRASTRUCTURE PVT LTD,Delisted
20,SIA/KL/MIN/158875/2020,1751/EC1/2020/SEIAA,Kerala,Palakkad,Ottappalam,Date of Submission for EC: 17 Aug 2020 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,OTTAPPALAM TALUK KARINKAL QUARRY,EC Granted
