,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/KL/MIS/124274/2019,1478/EC1/2019/SEIAA,Environmen,PRIME PROPERTY DEVELOPERS,EC Granted,EC,
1,2,SIA/KL/MIN/46108/2019,1536/EC2/2019/SEIAA,Granite Bu,MS PULPALLY STONE CRUSHERS,Rejection Letter Granted,EC,
2,3,SIA/KL/MIN/63191/2017,1131/EC/SEIAA/KL/2017,Building Stone Quarry Of Mr. Shajith V.P,QUARRY OF MR SHAJITH,Site Visit by SEAC - EC ISSUED BY 80 SEIAA,EC,
3,4,SIA/KL/MIN/171945/2020,1844/EC1/2020/SEIAA,O S Granites,O.S. GRANITES,Agenda Uploaded by SEAC,EC,
4,5,SIA/KL/MIN/61795/2019,1894/EC6/2021/SEIAA,"Building Stone Minor Mineral Mining (Quarry) project of Mr. Manoj K. at Kannamangalam Village, Thirurangadi Taluk, Malappuram District, Kerala for an area of 0.9524 hectors.",MANOJ K.,EC Granted,EC,
5,6,SIA/KL/MIN/50343/2016,,"Quarry project of Mr. George Joseph at Survey Nos. 132/3-1, 132/3, 132/5, 132/5-1, 132/6, 132/7, 132/2, 129/3, Njeezhoor Village, Vaikom Taluk, Kottayam District, Kerala for an area of 3.3355 hectares",GEORGE JOSEPH,TransferToDEIAA,EC,
6,7,SIA/KL/MIN/143958/2020,1598/EC4/2020/SEIAA,Laterite building stone of Mr Ramachandran P,LATERITE BUILDING STONE QUARRY OF MR. RAMACHANDRAN P.,Delisted,EC,
7,8,SIA/KL/MIN/67004/2017,1148/EC/SEIAA/KL/2017,"Stone Quarry (Minor Mineral) project of M/s Jas Granite Aggregates Pvt. Ltd. is situated at Survey Nos. 366/1, 367/1, 367/1, 368, 369/1, 382/1, 382/2, 383/1, 383/2, 387/3, 384/1, 384/1, 382/3, 382/3, 387/2 of Peringome Village, Peringome-Vayakkara Pa",JAS GRANITE AGGREGATES PVT LTD,Accepted By SEAC - EC ISSUED IN 78 SEIAA,EC,
8,9,SIA/KL/MIN/173261/2020,1431/EC3/SEIAA/2019,Conversion TOR to EC Granite Building Stone Quarry of Mr. rajeevan P V,BUILDING STONE QUARRY OF MR RAJEEVAN PV,EC Granted,EC,
9,10,SIA/KL/NCP/53273/2016,1126/EC/SEIAA/KL/2017,"Proposed construction of Multistoried Residential Apartment “Sowparnika City” at Nemom Village, Thiruvananthapuram Taluk & District, Kerala by M/s. Sowparnika Projects and Infrastructure Pvt. Ltd.",SOWPARNIKA PROJECTS AND INFRASTRUCTURE PVT LTD,Delisted,EC,
10,11,SIA/KL/NCP/65445/2017,1138/EC/SEIAA/KL/2017,Environmental Clearance for expansion of existing hospital campus Project developed by M/s Jubilee Mission Medical College & Research Institute,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,Delisted,EC,
11,12,SIA/KL/NCP/65628/2017,1140/EC/SEIAA/KL/2017,Amendment to Environmental Clearance for the Proposed Residential Project to be developed by M/s Malabar Developers Pvt. Ltd.,M/S MALABAR DEVELOPERS PRIVATE LIMITED,Delisted,EC,
12,13,SIA/KL/MIN/127562/2019,1522/EC3/2019/SEIAA,Maneesh P Mohanan Quarry,MANEESH P   MOHANAN,EC Granted,EC,
13,14,SIA/KL/MIN/142553/2020,1686/EC3/2020/SEIAA,Laterite Building Stone Quarry of Anilkumar P S,LATERITE BUILDING STONE OF ANILKUMAR P S,EC Granted,EC,
14,15,SIA/KL/MIN/181786/2020,,Bharathapuzha River Basin Kadavu 12,BHARATHAPUZHA RIVER BASIN,Delisted,EC,
15,16,SIA/KL/MIN/129289/2019,1535/EC3/2019/SEIAA,LUKHMAN,LUKHMAN,Delisted,EC,
16,17,SIA/KL/MIN/278375/2022,2078/EC4/2022/SEIAA,HARIS.C,HARIS,ADS by SEAC,EC,
17,18,SIA/KL/MIN/278920/2022,2091/EC6/2022/SEIAA,GRANITE BUILDING STONE QUARRY OF Mr. SAJEER. K. T,SAJEER KODITHODIKA,For further consideration(SEAC),EC,
18,19,SIA/KL/MIN/148469/2020,1710/EC6/2020/SEIAA,Laterite Building Stone of Ali N,LATERITE BUILDING STONE OF ALI N,EC Granted,EC,
19,20,SIA/KL/MIN/154284/2020,1736/EC4/2020/SEIAA,"Building Stone Mine ( Quarry, Minor Mineral Mining ) project of M/s Star Granites situated at Re-Sy. No. 2/1B, Re-Sy. Block No. 5, of Kedavoor Village, Thamarassery Taluk, Kozhikode District, Kerala f","M/S STAR GRANITES,",Delisted,EC,
20,21,SIA/KL/MIN/90054/2018,1203/EC2/2018/SEIAA,Building stone quarry of Mr. Alexander K J,HARITHA CONSULTANTS,WithdrawEC,EC,
