,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/RJ/MIN/52698/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,SHYAMLAL,Under examination of SEIAA - Processed offline
1,SIA/RJ/MIN/52709/2016,,Rajasthan,Bikaner,Kolayat,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,INDER CHAND,Under examination of SEIAA - Processed offline
2,SIA/RJ/MIN/39482/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,HASRAT BEGAM,Under examination of SEIAA - Processed offline
3,SIA/RJ/MIN/270339/2022,16788,Rajasthan,chittorgarh,Bhadesar,Date of Submission for EC: 29 Apr 2022 ,Date of Ec Granted : 19 Oct 2022,Non-Coal Mining,SHRI TANMAY SINGHWI,EC Granted
4,SIA/RJ/MIN/39514/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,RAMKANYA,Under examination of SEIAA - Processed offline
5,SIA/RJ/MIN/39526/2016,,Rajasthan,Pali,Pali,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,RASAL KANWAR,Under examination of SEIAA - Processed offline
6,SIA/RJ/MIN/39537/2016,,Rajasthan,Bikaner,Kolayat,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,ASHOK KUMAR,Under examination of SEIAA - Processed offline
7,SIA/RJ/MIN/39556/2016,,Rajasthan,Bikaner,Kolayat,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,VIJENDRA SINGH,TransferToDEIAA
8,SIA/RJ/MIN/39565/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,FARID KHAN,Under examination of SEIAA - Processed offline
9,SIA/RJ/MIN/39570/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,MR HEMRAJ MALI,Under examination of SEIAA - Processed offline
10,SIA/RJ/MIN/38227/2019,12116,Rajasthan,Ajmer,Kekri,Date of Submission for EC: 04 Jul 2019 ,Date of Ec Granted : 10 Feb 2020,Non-Coal Mining,M/S SATYA  SUMAN MARBLE & GRANITE,EC Granted - Processed offline
11,SIA/RJ/MIN/38302/2019,,Rajasthan,Barmer,shiv,Date of Submission for TOR: ,Date of Submission for EC: 18 Jul 2019 ,Non-Coal Mining,SHANKAR LAL,Delisted
12,SIA/RJ/MIN/38468/2019,11818,Rajasthan,Dungarpur,Sagwara,Date of Submission for EC: 01 Jul 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,M/S GURUVAR GLOBAL MINERALS,EC Granted - Processed offline
13,SIA/RJ/MIN/147225/2020,13796,Rajasthan,Bhilwara,Asind,Date of Submission for EC: 04 Mar 2020 ,Date of Ec Granted : 01 Feb 2021,Non-Coal Mining,SHRI VINOD KUMAR MEWARA,EC Granted - Processed offline
14,SIA/RJ/MIN/163696/2020,14111,Rajasthan,Udaipur,Mavli,Date of Submission for EC: 16 Jul 2020 ,Date of Ec Granted : 21 Jun 2021,Non-Coal Mining,PREMLAL MEGHWAL,EC Granted - Processed offline
15,SIA/RJ/MIN/178918/2020,14477,Rajasthan,Pratapgarh,Dhariawad,Date of Submission for TOR: ,Date of Submission for EC: 19 Oct 2020 ,Non-Coal Mining,SH. SATISH GOEL,Delisted
16,SIA/RJ/IND2/52459/2007,,,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Mar 2020 ,Industrial Projects - 2,UNITED SPIRITS LIMITED ALWAR,Query raised by SEIAA and pending at PP
17,SIA/RJ/MIN/52639/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2016 ,Non-Coal Mining,MANESH KUMAR,Under examination of SEIAA - Processed offline
18,SIA/RJ/MIN/52691/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,KANCHAN DEVI,Under examination of SEIAA - Processed offline
19,SIA/RJ/MIN/52696/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,SHYAMLAL,Under examination of SEIAA - Processed offline
20,SIA/RJ/MIN/48551/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
21,SIA/RJ/MIN/48607/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
22,SIA/RJ/MIN/48613/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
23,SIA/RJ/MIN/48614/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
24,SIA/RJ/MIN/48618/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
25,SIA/RJ/MIN/48623/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
26,SIA/RJ/MIN/48646/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
27,SIA/RJ/MIN/48650/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
28,SIA/RJ/MIN/48656/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
29,SIA/RJ/MIN/48660/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
30,SIA/RJ/MIN/48662/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
31,SIA/RJ/MIN/48665/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
32,SIA/RJ/MIN/36168/2015,,Rajasthan,Alwar,Behror,Date of Submission for TOR: ,Date of Submission for EC: 26 Dec 2015 ,Non-Coal Mining,MANOJ,TransferToDEIAA
33,SIA/RJ/MIN/36177/2015,,Rajasthan,Alwar,Tijara,Date of Submission for TOR: ,Date of Submission for EC: 26 Dec 2015 ,Non-Coal Mining,KUSUM,TransferToDEIAA
34,SIA/RJ/MIN/40252/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,LAXMI NARAYAN,Under examination of SEIAA - Processed offline
35,SIA/RJ/MIN/40274/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
36,SIA/RJ/MIN/52639/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2016 ,Non-Coal Mining,MANESH KUMAR,Under examination of SEIAA - Processed offline
37,SIA/RJ/MIN/52691/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,KANCHAN DEVI,Under examination of SEIAA - Processed offline
38,SIA/RJ/MIN/52696/2016,,Rajasthan,Pali,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,SHYAMLAL,Under examination of SEIAA - Processed offline
39,SIA/RJ/MIN/52711/2016,,Rajasthan,Dausa,Dausa,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2016 ,Non-Coal Mining,RAM KISHOR GURJAR,Under examination of SEIAA - Processed offline
40,SIA/RJ/MIN/40277/2016,,Rajasthan,Udaipur,Kherwara,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,SAI MINERALS,TransferToDEIAA
41,SIA/RJ/MIN/40293/2016,,Rajasthan,Bharatpur,Nagar,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,GIRIRAJ SINGH,Under examination of SEIAA - Processed offline
42,SIA/RJ/MIN/40305/2016,,Rajasthan,Bharatpur,Weir,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MITTAL GRIT UDYOG,TransferToDEIAA
43,SIA/RJ/MIN/40309/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MR LAXMAN SINGH,Under examination of SEIAA - Processed offline
44,SIA/RJ/MIN/40317/2016,,Rajasthan,Udaipur,Sarada,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MYNORES INDIA,Under examination of SEIAA - Processed offline
45,SIA/RJ/MIN/39298/2019,12009,Rajasthan,Barmer,Pachpadra,Date of Submission for EC: 23 Jul 2019 ,Date of Ec Granted : 13 Sep 2019,Non-Coal Mining,SHRE ASHOK KUMAR,EC Granted - Processed offline
46,SIA/RJ/MIN/39338/2019,11996,Rajasthan,Jodhpur,Luni,Date of Submission for EC: 20 Jul 2019 ,Date of Ec Granted : 06 Sep 2019,Non-Coal Mining,PHUSA RAM,EC Granted - Processed offline
