,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/RJ/MIN/199740/2021,15082,"Masonry Stone Mining Project, M.L. No. 20/2007",SH. BHAGWAN LAL GAMETI,EC Granted - Processed offline,EC,
1,2,SIA/RJ/MIN/41184/2019,12289,"Masonry Stone Mining Project  Plot No. 06, Area –1.15 Ha. Production capacity of mine: 100000 TPA (ROM)  Near village – Sanjay Nagar, Tehsil– Khetri, District – Jhunjhunu (Rajasthan)",M/S AARADHYA PROJECTS,EC Granted - Processed offline,EC,
2,3,SIA/RJ/MIN/93954/2019,,"Marble Mine, ML NO. - 141/2006",SH KUNAL SINGH,Delisted,EC,
3,4,SIA/RJ/MIN/48551/2016,,QL. NO. 976 KERU SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
4,5,SIA/RJ/MIN/48607/2016,,QL. NO. 327 PALDI-A SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
5,6,SIA/RJ/MIN/48613/2016,,QL. NO. 324 PALDI-A SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
6,7,SIA/RJ/MIN/48614/2016,,QL NO. 291 PALDI-A SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
7,8,SIA/RJ/MIN/48618/2016,,QL. NO. 287 PABUMAGRA SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
8,9,SIA/RJ/MIN/48623/2016,,QL. NO. 279 PALDI-A SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
9,10,SIA/RJ/MIN/48646/2016,,QL NO. 322 PALDI-A SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
10,11,SIA/RJ/MIN/39528/2016,,Manpura old ql area (plot no 670),GOPI LAL,Under examination of SEIAA - Processed offline,EC,
11,12,SIA/RJ/MIN/39549/2016,,MANPURA OLD LIMESTONE KHANDA FARSI (PLOT NO.-593),FAYAZ KHA,Under examination of SEIAA - Processed offline,EC,
12,13,SIA/RJ/MIN/39569/2016,,Sawa old ql area (plot no. 259),KOMAL SINGH,Under examination of SEIAA - Processed offline,EC,
13,14,SIA/RJ/MIN/174589/2020,14388,"Environmental Clearance for Masonry Stone Mining Project (M.L. Area-1.00 ha and M.L. No.-10/2009) with production capacity of 84,336.5 TPA (ROM) located at Near Village-Killa, Tehsil-Riyanbadi, Distt.-Nagaur (Rajasthan) by Shri Mohammad Hussain S/o S",SHRI MOHAMMED HUSSAIN,Delisted,EC,
14,15,SIA/RJ/MIN/44388/2015,12901,"Ball Clay, Silica Sand, Bajri/ Gravel Mining Project, M.L. No. 44/2011)",JAI CHANDLAL DAGA,Rejected - Processed offline,EC,
15,16,SIA/RJ/MIN/49016/2016,,SAWA NEW LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-20,BHERU LAL,Under examination of SEIAA - Processed offline,EC,
16,17,SIA/RJ/MIN/49026/2016,,MANPURA LIMESTONE KHANDA FASRI Q.L. AREA PLOT NO.-287,ANIL TIWARI,Under examination of SEIAA - Processed offline,EC,
17,18,SIA/RJ/MIN/49040/2016,,MANPURA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-171,ANIL TIWARI,Under examination of SEIAA - Processed offline,EC,
18,19,SIA/RJ/MIN/52647/2016,,"Limestone (Flooring) Mine, ML No. 392/2005",RAMA MEHRA,Under examination of SEIAA - Processed offline,EC,
19,20,SIA/RJ/MIN/52706/2016,,Selwara MArble Mine Project (M.L. No. 107/94) area 1.00 Hectt.,HANSRAJ AGARWAL,Under examination of SEIAA - Processed offline,EC,
20,21,SIA/RJ/MIN/52696/2016,,Masonary Stone Mine ( M L NO. 291/2009 ),SHYAMLAL,Under examination of SEIAA - Processed offline,EC,
21,22,SIA/RJ/MIN/52711/2016,,Masonary Stone Mine ( M L NO. 65/2001 ),RAM KISHOR GURJAR,Under examination of SEIAA - Processed offline,EC,
22,23,SIA/RJ/MIN/52719/2016,,Masonary Stone Mine ( M L NO. 210/2003 ),BABU LAL SHARMA,Under examination of SEIAA - Processed offline,EC,
23,24,SIA/RJ/MIN/39457/2016,,Shitla Ka Chora Patti Katla Quarry licence Area (Q.L. No-70),SMT GEETA DEVI BHIL,Under examination of SEIAA - Processed offline,EC,
24,25,SIA/RJ/MIN/39476/2016,,Sawa old ql area (plot no 171),RAJMAL,Under examination of SEIAA - Processed offline,EC,
25,26,SIA/RJ/MIN/39478/2016,,sawa old ql area (plot no 163),PORWAR MEENA,Under examination of SEIAA - Processed offline,EC,
26,27,SIA/RJ/MIN/39486/2016,,"MASONARY STONE MINE
M.L. NO - 25/1998
AREA - 1.0 HECTARE
N/V - RUNDH RAJAURA
TEHSIL - SAIPAU
DISTRICT - DHOLPUR",TOTARAM SHARMA,TransferToDEIAA,EC,
27,28,SIA/RJ/MIN/270307/2022,16958,"Proposed  Masonry Stone Mining Project;  Plot No.- 41/2021; Area: 1.00 Hect. ; {Charagah Land (Govt.Land)};  Khasra No.-4497, Near Village:- Nikumbh, Tehsil:- Badisadari, District:- Chittorgarh (Raj.) in favor of M/s. Rare Mining Pvt. Ltd.",RARE MINING PRIVATE LIMITED,Delisted,EC,
28,29,SIA/RJ/MIN/39510/2016,,MANPURA OLD LIMESTONE KHANDA FARSI (PLOT NO.-748),RESHMA ALI,Under examination of SEIAA - Processed offline,EC,
29,30,SIA/RJ/MIN/39515/2016,,"Proposed Bentonite Mining Project,M.L.No-19/2012,Production Capacity-37,848 TPA,M.L.Area-3.5245 Ha",MS MONT MORILLON MINES PVT LTD,Under examination of SEIAA - Processed offline,EC,
30,31,SIA/RJ/MIN/40381/2016,,"Sandstone Area, QL NO. 02/2010",GANPAT SINGH INDA,Under examination of SEIAA - Processed offline,EC,
31,32,SIA/RJ/MIN/40393/2016,,Bikriya Patti katla Quarry Licence Area (Q.L. No-14),SH GULAB CHAND MALI,Under examination of SEIAA - Processed offline,EC,
32,33,SIA/RJ/MIN/40413/2016,,"Silica Send minning Project
ML No.-9/03
Area-4.2682Hect.
Lessee-Sushil Kumar Bhardwaj",SUSHIL KUMAR BHARADWAJ,Under examination of SEIAA - Processed offline,EC,
33,34,SIA/RJ/MIN/40432/2016,,"BHARSHINGO MASONRY STONE MINE
M.L. NO. – 10/2015
SH. NARAYAN RAM VISNOI.",UDR MINTECH,Under examination of SEIAA - Processed offline,EC,
34,35,SIA/RJ/MIN/199740/2021,15082,"Masonry Stone Mining Project, M.L. No. 20/2007",SH. BHAGWAN LAL GAMETI,EC Granted - Processed offline,EC,
35,36,SIA/RJ/MIN/41184/2019,12289,"Masonry Stone Mining Project  Plot No. 06, Area –1.15 Ha. Production capacity of mine: 100000 TPA (ROM)  Near village – Sanjay Nagar, Tehsil– Khetri, District – Jhunjhunu (Rajasthan)",M/S AARADHYA PROJECTS,EC Granted - Processed offline,EC,
36,37,SIA/RJ/MIN/93954/2019,,"Marble Mine, ML NO. - 141/2006",SH KUNAL SINGH,Delisted,EC,
37,38,SIA/RJ/MIN/48551/2016,,QL. NO. 976 KERU SANDSTONE,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,EC,
