,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/CG/MIN/52634/2016,,Chhattisgarh,Durg,Dhamdha,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2016 ,Non-Coal Mining,MS ANIL KUMAR AGRAWAL BRICK EARTH MINE,Delisted
1,SIA/CG/MIN/31618/2015,OL/EC/SANDMINE/BILASPUR/46,Chhattisgarh,Bilaspur,Pendraroad,Date of Submission for EC: 08 Oct 2015 ,Date of Ec Granted : 02 Dec 2015,Non-Coal Mining,SACHIV VILLAGE AMERITIKARA,EC Granted
2,SIA/CG/MIN/76070/2018,OL/EC/MIN/DURG/736,Chhattisgarh,Durg,Dhamdha,Date of Submission for EC: 26 Sep 2018 ,Date of Ec Granted : 11 Feb 2019,Non-Coal Mining,TEKENDRA CHANDRAKAR,EC Granted
3,SIA/CG/MIN/40977/2016,OL/EC/CLAYMINE/BILASPUR/309,Chhattisgarh,Bilaspur,Takhatpur,Date of Submission for EC: 14 Jan 2016 ,Date of Ec Granted : 05 Jul 2016,Non-Coal Mining,PAWAN KUMAR AGRAWAL,EC Granted
4,SIA/CG/IND/87271/2018,OL/EC/IND/RAIGARH/755,Chhattisgarh,Raigarh,Gharghoda,Date of Submission for EC: 01 Jan 2019 ,Date of Ec Granted : 10 Jun 2019,Industrial Projects - 1,SHREE BANKE BIHARI ISAPT PVT LIMITED,EC Granted
5,SIA/CG/MIN/48408/2018,OL/EC/MIN/DURG/735B,Chhattisgarh,Durg,Dhamdha,Date of Submission for EC: 14 Dec 2019 ,Date of Ec Granted : 17 Nov 2020,Non-Coal Mining,SANJAY AGRAWAL NANDINI KHUNDINI LIMESTONE MINE,EC Granted
6,SIA/CG/MIN/194726/2021,OL/EC/MIN/RAIGARH/1536,Chhattisgarh,Raigarh,Raigarh,Date of Submission for EC: 24 Jan 2021 ,Date of Ec Granted : 09 Jun 2021,Non-Coal Mining,TARAPUR SAND MINE,EC Granted
7,SIA/CG/MIN/197220/2021,OL/EC/MIN/DURG/1551,Chhattisgarh,Durg,Patan,Date of Submission for EC: 26 May 2021 ,Date of Ec Granted : 19 Dec 2022,Non-Coal Mining,ASHISH PALIWAL LIMESTONE QUARRY,EC Granted
8,SIA/CG/MIN/72180/2020,OL/EC/MIN/RAJNANDGAON/1392,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for TOR: ,Date of Submission for EC: 08 Jun 2022 ,Non-Coal Mining,SHRICHAND  CHACHRA,Awaiting EC
9,SIA/CG/MIN/72086/2019,OL/EC/MIN/RANJANDGAON/1005,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for TOR: ,Date of Submission for EC: 16 Mar 2022 ,Non-Coal Mining,SMT RAKHI TURHATE,Awaiting EC
10,SIA/CG/MIN/58988/2016,,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 13 Sep 2016 ,Non-Coal Mining,SARPANCH KUMHARIC,Delisted
11,SIA/CG/MIN/261543/2022,OL/EC/MIN/SUKMA/1964,Chhattisgarh,Sukma,No Data,Date of Submission for EC: 13 Mar 2022 ,Date of Ec Granted : 02 Jan 2023,Non-Coal Mining,SHEIKH HUSSAIN,EC Granted
12,SIA/CG/MIS/71199/2020,,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 18 Jan 2022 ,INFRA-2,M/S. SMS WATERGRACE ENVIROPROTECT PVT. LTD.,WithdrawEC
13,SIA/CG/MIN/31467/2015,,Chhattisgarh,Raipur,Tilda,Date of Submission for TOR: ,Date of Submission for EC: 02 Oct 2015 ,Non-Coal Mining,Ashish Kumar Agrawal,Delisted
14,SIA/CG/MIN/31495/2015,OL/EC/SANDMINE/BALOD/33,Chhattisgarh,Durg,Gunderdehi,Date of Submission for EC: 05 Oct 2015 ,Date of Ec Granted : 26 Nov 2015,Non-Coal Mining,SARPANCH,EC Granted
15,SIA/CG/MIN/415260/2023,,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2023 ,Non-Coal Mining, TIRUPATI BUILD-CON PRIVATE LIMITED,Request for withdraw
16,SIA/CG/MIN/411932/2022,OL/EC/MIN/KORIYA/2241,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2022 ,Non-Coal Mining,DEV PATEL,Rejection Letter Granted
17,SIA/CG/MIN/52750/2016,,Chhattisgarh,Balod,Dondi,Date of Submission for TOR: ,Date of Submission for EC: 11 Apr 2016 ,Non-Coal Mining,MS DINESH CHAND NAKHAT LIME STONE MINE,Delisted
18,SIA/CG/MIN/52837/2016,OL/EC/SANDMINE/RAJNANDGAON/441,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 13 Apr 2016 ,Date of Ec Granted : 04 Jul 2016,Non-Coal Mining,SARPANCH MAGARDHOKHRA,EC Granted
19,SIA/CG/MIN/134085/2019,OL/EC/SAND_MIN/DANTEWADA/1087,Chhattisgarh,Dantewada,Dantewada,Date of Submission for TOR: ,Date of Submission for EC: 18 May 2020 ,Non-Coal Mining,DEVNDRA SING DESHMUKH,Rejection Letter Granted
20,SIA/CG/MIN/57836/2020,OL/EC/MIN/RAIPUR/1446,Chhattisgarh,Raipur,Tilda,Date of Submission for EC: 02 Feb 2022 ,Date of Ec Granted : 05 Apr 2023,Non-Coal Mining,JITENDRA AGRAWAL,EC Granted
21,SIA/CG/MIN/39314/2016,OL/EC/LIMESTONE_MINE/BILASPUR/298,Chhattisgarh,Bilaspur,Bilha,Date of Submission for TOR: ,Date of Submission for EC: 09 Jan 2016 ,Non-Coal Mining,MAHESH SHARMA,Rejection Letter Granted
22,SIA/CG/CMIN/16994/2012,OL/EC/COAL_MINING/SURAJPUR/477,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 13 Aug 2016 ,Date of Ec Granted : 27 Jan 2017,Coal Mining,HIND MULTI SERVICES PRIVATE LIMITED,EC Granted
23,SIA/CG/MIN/67413/2017,OL/EC/LIME_STONE/BALODA_BAZAAR/629,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 15 Sep 2017 ,Date of Ec Granted : 22 Jan 2018,Non-Coal Mining,SAURABH AGRAWAL BHALUKONA LIMESTONE MINE,EC Granted
24,SIA/CG/IND2/21665/2016,OL/EC/IND2/RAIPUR/502,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 16 Jan 2018 ,Date of Ec Granted : 25 Feb 2019,Industrial Projects - 2,"INDIAN OIL CORPORATION LTD. RAIPUR, CG",EC Granted
25,SIA/CG/MIN/202107/2021,OL/EC/MIN/KABIRDHAM/1585,Chhattisgarh,Kabirdham,kawardha,Date of Submission for EC: 06 Mar 2021 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,MUDGHUSRI ORDINARY STONE MINE OF PRAVIN KESHARWANI,EC Granted - Processed offline
26,SIA/CG/MIN/40988/2019,OL/EC/MIN/MAHASAMUND/951,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for TOR: ,Date of Submission for EC: 25 Nov 2019 ,Non-Coal Mining,MOHAN LAL  SAHU,WithdrawEC
27,SIA/CG/MIN/42470/2019,OL/EC/MIN/RAJNANDGAON/972,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 26 Dec 2019 ,Date of Ec Granted : 08 May 2020,Non-Coal Mining,BHAGCHAND  JAIN,EC Granted
28,SIA/CG/MIN/274153/2022,,Chhattisgarh,Rajnandgaon,Mohla,Date of Submission for TOR: ,Date of Submission for EC: 24 May 2022 ,Non-Coal Mining,GAJADHAR RAM,Delisted
29,SIA/CG/MIN/275341/2022,OL/EC/MIN/RAJNANDGAON/2094,Chhattisgarh,Rajnandgaon,Dongargaon,Date of Submission for EC: 27 Jun 2022 ,Date of Ec Granted : 16 Mar 2023,Non-Coal Mining,BHEESHAM CHAKRADHARI,EC Granted
30,SIA/CG/MIN/65622/2017,OL/EC/SAND_MINE/JANJGIR_CHAMPA/615,Chhattisgarh,Janjgir - Champa,Nawagarh,Date of Submission for TOR: ,Date of Submission for EC: 19 Jul 2017 ,Non-Coal Mining,BHOGHAPARA SAND,Delisted
31,SIA/CG/MIS/53362/2020,OL/EC/MIS/RAIGARH/1313,Chhattisgarh,Raigarh,Tamnar,Date of Submission for EC: 26 Nov 2021 ,Date of Ec Granted : 26 Jul 2023,INFRA-2,V M TECHNO SOFT PVT LTD,EC Granted
32,SIA/CG/MIN/72885/2021,OL/EC/MIN/RAIGARH/1670,Chhattisgarh,Raigarh,Sarangarh,Date of Submission for EC: 06 Mar 2022 ,Date of Ec Granted : 21 Sep 2022,Non-Coal Mining,SHIV AGRAWAL,EC Granted
33,SIA/CG/MIN/175738/2020,OL/EC/MIN/DANTEWADA/1408,Chhattisgarh,Dantewada,Dantewada,Date of Submission for EC: 07 Dec 2020 ,Date of Ec Granted : 31 Mar 2021,Non-Coal Mining,ASHISH KUMAR CHAUHAN,EC Granted
34,SIA/CG/MIN/60196/2016,OL/EC/Quartzite Quarry/MAHASAMUND/520,Chhattisgarh,Mahasamund,Saraipali,Date of Submission for EC: 07 Nov 2016 ,Date of Ec Granted : 23 Oct 2017,Non-Coal Mining,ASHOK KUMAR JOHN,EC Granted
35,SIA/CG/MIN/56913/2016,,Chhattisgarh,Kanker,Narharpur,Date of Submission for TOR: ,Date of Submission for EC: 30 Jun 2016 ,Non-Coal Mining,V V CRUSHER STONES ORDINARY STONE QUARRY,Delisted
36,SIA/CG/MIN/33218/2018,OL/EC/MIN/RAJNANDGAON/793,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 04 May 2019 ,Date of Ec Granted : 10 Jul 2019,Non-Coal Mining,GIRDHARI LAL TALREJA,EC Granted
37,SIA/CG/MIN/33384/2019,OL/EC/MIN/MAHASAMUND/791,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for EC: 20 Mar 2019 ,Date of Ec Granted : 18 Jul 2019,Non-Coal Mining,SACHIV BARBASPUR,EC Granted
38,SIA/CG/MIN/33539/2019,OL/EC/MIN/BEMETARA/799,Chhattisgarh,Bemetara,Berla,Date of Submission for TOR: ,Date of Submission for EC: 25 Nov 2019 ,Non-Coal Mining,SARPANCH KANDRAKA,Rejection Letter Granted
39,SIA/CG/MIN/128496/2019,OL/EC/MIN/BIJAPUR/1042,Chhattisgarh,Bijapur,No Data,Date of Submission for EC: 01 Dec 2019 ,Date of Ec Granted : 25 Feb 2020,Non-Coal Mining,PEDAKODEPAL SAND MINE,EC Granted
40,SIA/CG/MIN/168941/2020,OL/EC/MIN/SUKMA/1372,Chhattisgarh,Sukma,No Data,Date of Submission for EC: 20 Aug 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,MURTONDA ORDINARY STONE QUARRY,EC Granted
41,SIA/CG/MIN/143461/2020,OL/EC/MIN/RAIGARH/1179,Chhattisgarh,Raigarh,Raigarh,Date of Submission for EC: 15 Feb 2020 ,Date of Ec Granted : 23 Feb 2021,Non-Coal Mining,DHRUV KUMAR AGRAWAL,EC Granted
42,SIA/CG/MIN/175743/2020,OL/EC/MIN/BALRAMPUR/1409,Chhattisgarh,Balrampur,ramanujganj,Date of Submission for EC: 27 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,TALKESHWARPUR SAND MINE OF RAMESH PATEL,EC Granted
